"Index" "USD.EGP"
2014-12-16 7.1499
2014-12-17 7.1502
2014-12-18 7.15
2014-12-19 7.1499
2014-12-20 7.1524
2014-12-21 7.1528
2014-12-22 7.1498
2014-12-23 7.1502
2014-12-24 7.151
2014-12-25 7.1419
2014-12-26 7.154
2014-12-27 7.1548
2014-12-28 7.1625
2014-12-29 7.1538
2014-12-30 7.1502
2014-12-31 7.1502
2015-01-01 7.1696
2015-01-02 7.158
2015-01-03 7.1561
2015-01-04 7.1568
2015-01-05 7.1603
2015-01-06 7.1469
2015-01-07 7.1498
2015-01-08 7.1512
2015-01-09 7.1498
2015-01-10 7.1494
2015-01-11 7.1467
2015-01-12 7.1463
2015-01-13 7.1507
2015-01-14 7.1507
2015-01-15 7.1509
2015-01-16 7.1503
2015-01-17 7.1496
2015-01-18 7.1503
2015-01-19 7.2074
2015-01-20 7.275
2015-01-21 7.3247
2015-01-22 7.3757
2015-01-23 7.4
2015-01-24 7.4085
2015-01-25 7.4391
2015-01-26 7.4326
2015-01-27 7.4394
2015-01-28 7.4544
2015-01-29 7.5342
2015-01-30 7.59
2015-01-31 7.5906
2015-02-01 7.5878
2015-02-02 7.6003
2015-02-03 7.6231
2015-02-04 7.6285
2015-02-05 7.6283
2015-02-06 7.6302
2015-02-07 7.6374
2015-02-08 7.6381
2015-02-09 7.629
2015-02-10 7.6286
2015-02-11 7.6215
2015-02-12 7.6281
2015-02-13 7.6263
2015-02-14 7.6338
2015-02-15 7.6311
2015-02-16 7.6236
2015-02-17 7.6291
2015-02-18 7.6306
2015-02-19 7.6297
2015-02-20 7.6294
2015-02-21 7.6341
2015-02-22 7.6205
2015-02-23 7.6312
2015-02-24 7.6286
2015-02-25 7.6257
2015-02-26 7.6288
2015-02-27 7.6307
2015-02-28 7.6284
2015-03-01 7.6306
2015-03-02 7.6339
2015-03-03 7.6302
2015-03-04 7.6305
2015-03-05 7.6302
2015-03-06 7.6308
2015-03-07 7.6326
2015-03-08 7.6339
2015-03-09 7.6314
2015-03-10 7.6304
2015-03-11 7.6297
2015-03-12 7.6283
2015-03-13 7.6283
2015-03-14 7.6211
2015-03-15 7.6287
2015-03-16 7.6217
2015-03-17 7.6292
2015-03-18 7.6286
2015-03-19 7.6288
2015-03-20 7.6301
2015-03-21 7.6287
2015-03-22 7.6153
2015-03-23 7.6294
2015-03-24 7.6296
2015-03-25 7.6294
2015-03-26 7.6303
2015-03-27 7.6298
2015-03-28 7.6318
2015-03-29 7.6326
2015-03-30 7.6345
2015-03-31 7.6289
2015-04-01 7.6289
2015-04-02 7.6289
2015-04-03 7.57
2015-04-04 7.5608
2015-04-05 7.5578
2015-04-06 7.5269
2015-04-07 7.6125
2015-04-08 7.6303
2015-04-09 7.6308
2015-04-10 7.6288
2015-04-11 7.629
2015-04-12 7.6257
2015-04-13 7.6302
2015-04-14 7.6306
2015-04-15 7.6285
2015-04-16 7.6305
2015-04-17 7.6298
2015-04-18 7.6301
2015-04-19 7.6281
2015-04-20 7.6315
2015-04-21 7.6299
2015-04-22 7.6301
2015-04-23 7.6299
2015-04-24 7.6272
2015-04-25 7.6278
2015-04-26 7.6347
2015-04-27 7.6316
2015-04-28 7.6284
2015-04-29 7.6295
2015-04-30 7.6303
2015-05-01 7.6195
2015-05-02 7.6523
2015-05-03 7.6537
2015-05-04 7.6394
2015-05-05 7.6307
2015-05-06 7.629
2015-05-07 7.6293
2015-05-08 7.6303
2015-05-09 7.6382
