"Index" "PE.Open" "PE.High" "PE.Low" "PE.Close" "PE.Volume" "PE.Adjusted"
2014-10-17 18.219999 18.889999 17.639999 18.030001 2424600 18.030001
2014-10-20 18.059999 18.25 17.75 17.940001 812900 17.940001
2014-10-21 18.120001 18.389999 17.379999 18.25 1364900 18.25
2014-10-22 18.48 18.48 17.030001 17.07 1329900 17.07
2014-10-23 17.35 17.700001 16.764 17.49 1588400 17.49
2014-10-24 17.360001 17.525 17.120001 17.309999 688600 17.309999
2014-10-27 16.48 16.48 14.875 16.01 2225400 16.01
2014-10-28 16.1 16.844999 16 16.709999 891000 16.709999
2014-10-29 16.83 17.32 16.67 17.129999 905300 17.129999
2014-10-30 16.940001 17.219999 16.521 16.889999 1023500 16.889999
2014-10-31 16.940001 17.129999 16.43 16.969999 1244300 16.969999
2014-11-03 17 17.690001 16.48 16.6 1260900 16.6
2014-11-04 16.24 16.360001 15.09 15.46 1055800 15.46
2014-11-05 15.64 15.88 15.2 15.83 1180200 15.83
2014-11-06 15.69 15.89 15.34 15.82 722200 15.82
2014-11-07 15.88 16.775 15.82 16.42 1391000 16.42
2014-11-10 16.610001 16.959999 16.309999 16.459999 1035700 16.459999
2014-11-11 16.459999 16.67 16.08 16.440001 1401300 16.440001
2014-11-12 17.370001 18.719999 16.940001 17.91 4460900 17.91
2014-11-13 17.77 18.18 17.360001 17.65 1627100 17.65
2014-11-14 17.74 18.41 17.65 17.950001 1444300 17.950001
2014-11-17 17.84 18 16.691999 16.860001 1205200 16.860001
2014-11-18 16.889999 17.219999 16.26 16.51 1426900 16.51
2014-11-19 16.549999 16.940001 16.18 16.549999 1370000 16.549999
2014-11-20 16.540001 17.76 16.389999 17.700001 1384800 17.700001
2014-11-21 17.9 18.254999 17.83 17.9 1490900 17.9
2014-11-24 17.84 17.889999 17.1 17.5 1451100 17.5
2014-11-25 17.540001 17.780001 17.16 17.33 1182800 17.33
2014-11-26 17.25 17.450001 16.690001 16.83 709200 16.83
2014-11-28 15.45 15.49 12.6 12.64 2269800 12.64
2014-12-01 12.41 12.77 12.31 12.7 3437000 12.7
2014-12-02 12.55 13.22 12.46 12.96 1896500 12.96
2014-12-03 13.05 14.05 12.9 13.72 1863200 13.72
2014-12-04 13.5 13.75 13.02 13.14 1470800 13.14
