"Index" "FH.Open" "FH.High" "FH.Low" "FH.Close" "FH.Volume" "FH.Adjusted"
2014-10-08 4.15 4.15 4.15 4.15 500 3.81164
2014-10-09 4.15 4.15 4.15 4.15 0 3.81164
2014-10-13 4.2 4.2 4.2 4.2 0 3.85756
2014-10-14 3.9 3.9 3.85 3.85 93700 3.5361
2014-10-15 4.2 4.2 4.2 4.2 2000 3.85756
2014-10-16 4.2 4.2 4.2 4.2 0 3.85756
2014-10-20 4 4 3.82 3.82 1100 3.50854
2014-10-21 4.2 4.2 4.2 4.2 2000 3.85756
2014-10-22 4.2 4.2 4.2 4.2 0 3.85756
2014-10-23 4.2 4.8 4.18999 4.18999 110800 3.84837
2014-10-27 4.25 4.25 4.25 4.25 0 3.90348
2014-10-28 3.9 4.05 3.9 4.05 88100 3.71979
2014-10-29 4.05 4.05 4.05 4.05 0 3.71979
2014-10-30 4.05 4.05 4.05 4.05 0 3.71979
2014-11-03 3.9 3.9 3.83 3.9 61500 3.58202
2014-11-04 4.15 4.15 4.15 4.15 61500 3.81164
2014-11-05 3.85 4.14 3.85 4.14 24600 3.80245
2014-11-06 3.84 4.14 3.84 4.14 25100 3.80245
2014-11-10 4.14 4.14 4.14 4.14 0 3.80245
2014-11-11 4.13 4.13 4.13 4.13 54300 3.79327
2014-11-12 4.13 4.13 4.13 4.13 0 3.79327
2014-11-13 4.13 4.13 4.13 4.13 0 3.79327
2014-11-17 4.13 4.13 4.13 4.13 0 3.79327
2014-11-18 4.15 4.15 4.15 4.15 100 3.81164
2014-11-19 4.15 4.15 4.15 4.15 0 3.81164
2014-11-20 4.15 4.15 4.15 4.15 0 3.81164
2014-11-24 4.15 4.15 4.15 4.15 0 3.81164
2014-11-25 4.15 4.15 4.15 4.15 0 3.81164
2014-11-26 3.86 3.9 3.79 3.86 51200 3.54528
2014-11-27 3.75 4.08 3.68 4.08 62700 3.74735
2014-12-01 4.14 4.55 4 4.18999 69100 3.84837
2014-12-02 4.18999 4.18999 4.18999 4.18999 0 3.84837
2014-12-03 4.18999 4.18999 4.18999 4.18999 0 3.84837
2014-12-04 4.18999 4.18999 4.18999 4.18999 0 3.84837
2014-12-08 4.18999 4.18999 4.18999 4.18999 0 3.84837
2014-12-09 4.18999 4.18999 4.18999 4.18999 0 3.84837
2014-12-10 3.85 4.07 3.84 4.07 97000 3.73816
2014-12-11 3.83 3.83 3.77 3.83 33100 3.51773
2014-12-15 3.83 3.83 3.83 3.83 0 3.51773
2014-12-16 3.41 3.41 3.4 3.4 34800 3.12278
2014-12-17 3.89 3.89 3.89 3.89 10200 3.57283
2014-12-18 3.89 3.89 3.89 3.89 0 3.57283
2014-12-22 3.89 3.89 3.89 3.89 0 3.57283
2014-12-23 3.89 3.89 3.89 3.89 0 3.57283
2014-12-24 3.89 3.89 3.89 3.89 0 3.57283
2014-12-25 3.89 3.89 3.89 3.89 0 3.57283
2014-12-29 3.89 3.89 3.89 3.89 0 3.57283
2014-12-30 3.89 3.89 3.89 3.89 0 3.57283
2014-12-31 3.53 3.53 3.51 3.53 13900 3.24219
2015-01-01 3.53 3.53 3.53 3.53 0 3.24219
2015-01-05 3.55 3.55 3.55 3.55 2600 3.26055
2015-01-06 3.55 3.55 3.55 3.55 15300 3.26055
2015-01-07 3.55 3.55 3.55 3.55 0 3.26055
