"Index" "RG.Open" "RG.High" "RG.Low" "RG.Close" "RG.Volume" "RG.Adjusted"
2014-08-19 329.11 329.11 329.11 329.11 0 329.11
2014-08-20 330.31 330.31 330.31 330.31 0 330.31
2014-08-21 331.98 331.98 331.98 331.98 0 331.98
2014-08-22 331.8 331.8 331.8 331.8 0 331.8
2014-08-25 334.24 334.24 334.24 334.24 0 334.24
2014-08-26 331.32 331.32 331.32 331.32 0 331.32
2014-08-27 330.31 330.31 330.31 330.31 0 330.31
2014-08-28 329.17 329.17 329.17 329.17 0 329.17
2014-08-29 326.09 326.09 326.09 326.09 0 326.09
2014-09-01 327.21 327.21 327.21 327.21 0 327.21
2014-09-02 330.28 330.28 330.28 330.28 0 330.28
2014-09-03 331.81 331.81 331.81 331.81 0 331.81
2014-09-04 333.14 333.14 333.14 333.14 0 333.14
2014-09-05 332.28 332.28 332.28 332.28 0 332.28
2014-09-08 333.01 333.01 333.01 333.01 0 333.01
2014-09-09 329.51 329.51 329.51 329.51 0 329.51
2014-09-10 327.89 327.89 327.89 327.89 0 327.89
2014-09-11 327.85 327.85 327.85 327.85 0 327.85
2014-09-12 326 326 326 326 0 326
2014-09-15 325.04 325.04 325.04 325.04 0 325.04
2014-09-16 325.04 325.04 325.04 325.04 0 325.04
2014-09-17 326.27 326.27 326.27 326.27 0 326.27
2014-09-18 325.15 325.15 325.15 325.15 0 325.15
2014-09-19 326.86 326.86 326.86 326.86 0 326.86
2014-09-22 322.7 322.7 322.7 322.7 0 322.7
2014-09-23 322.89 322.89 322.89 322.89 0 322.89
2014-09-24 322.98 322.98 322.98 322.98 0 322.98
2014-09-25 320.74 320.74 320.74 320.74 0 320.74
2014-09-26 320.18 320.18 320.18 320.18 0 320.18
2014-09-29 321.11 321.11 321.11 321.11 0 321.11
2014-09-30 321.66 321.66 321.66 321.66 0 321.66
2014-10-01 320.45 320.45 320.45 320.45 0 320.45
2014-10-02 321.13 321.13 321.13 321.13 0 321.13
2014-10-03 324.07 324.07 324.07 324.07 0 324.07
2014-10-06 323.73 323.73 323.73 323.73 0 323.73
2014-10-07 321.99 321.99 321.99 321.99 0 321.99
2014-10-08 322.02 322.02 322.02 322.02 0 322.02
2014-10-09 319.83 319.83 319.83 319.83 0 319.83
2014-10-10 315.99 315.99 315.99 315.99 0 315.99
2014-10-13 315.82 315.82 315.82 315.82 0 315.82
2014-10-14 316.42 316.42 316.42 316.42 0 316.42
2014-10-15 312.39 312.39 312.39 312.39 0 312.39
2014-10-16 313.19 313.19 313.19 313.19 0 313.19
2014-10-17 317.83 317.83 317.83 317.83 0 317.83
2014-10-20 319.87 319.87 319.87 319.87 0 319.87
2014-10-21 322.95 322.95 322.95 322.95 0 322.95
2014-10-22 322.16 322.16 322.16 322.16 0 322.16
2014-10-23 322.21 322.21 322.21 322.21 0 322.21
2014-10-24 321.22 321.22 321.22 321.22 0 321.22
2014-10-27 321.09 321.09 321.09 321.09 0 321.09
2014-10-28 321.63 321.63 321.63 321.63 0 321.63
2014-10-29 321.24 321.24 321.24 321.24 0 321.24
2014-10-30 321.89 321.89 321.89 321.89 0 321.89
