"Index" "SEK.Open" "SEK.High" "SEK.Low" "SEK.Close" "SEK.Volume" "SEK.Adjusted"
2014-03-04 7.5 7.5 7.5 7.5 0 6.82
2014-03-05 7.65 7.9 7.55 7.55 2100 6.86
2014-03-06 7.85 7.85 7.65 7.65 200 6.95
2014-03-07 7.85 8.1 7.55 7.55 1000 6.86
2014-03-10 7.84 8 7.65 8 2200 7.27
2014-03-11 8.1 8.1 8 8 1700 7.27
2014-03-12 8 8 7.5 7.5 800 6.82
2014-03-13 7.5 8.15 7.5 7.7 800 7
2014-03-14 7.95 7.95 7.5 7.85 4100 7.13
2014-03-17 7.99 8.09 7.99 8.09 1300 7.35
2014-03-18 8.09 8.3 8.09 8.25 1200 7.5
2014-03-19 8.59 8.59 8.21 8.4 1900 7.63
2014-03-20 8.59 9.39 8.59 8.8 6000 8
2014-03-21 9 9.19 8.7 9.05 1200 8.22
2014-03-24 9.3 9.39 9.1 9.38 900 8.52
2014-03-25 9.37 9.37 9.3 9.3 300 8.45
2014-03-26 9.28 9.28 9.2 9.2 0 8.36
2014-03-27 9.15 9.3 9 9 800 8.18
2014-03-28 8.88 8.98 8.51 8.98 200 8.16
2014-03-31 8.98 8.98 8.81 8.81 200 8.01
2014-04-01 8.81 8.81 8.5 8.5 1500 7.72
2014-04-02 8.65 8.7 8.65 8.65 800 7.86
2014-04-03 8.65 8.65 8.65 8.65 400 7.86
2014-04-04 8.9 8.9 8.9 8.9 0 8.09
2014-04-07 8.9 8.9 8.71 8.9 900 8.09
2014-04-08 8.9 8.9 8.8 8.8 0 8
2014-04-09 8.75 8.85 8.75 8.85 500 8.04
2014-04-10 8.9 8.9 8.9 8.9 300 8.09
2014-04-11 8.9 8.9 8.9 8.9 100 8.09
2014-04-14 8.95 8.95 8.61 8.7 2800 7.91
2014-04-15 8.7 8.7 8.7 8.7 300 7.91
2014-04-16 8.79 8.8 8.78 8.8 4100 8
2014-04-17 8.8 8.8 8.7 8.8 300 8
2014-04-18 8.8 8.8 8.8 8.8 0 8
2014-04-21 8.8 8.8 8.8 8.8 0 8
2014-04-22 8.78 8.78 8.7 8.7 2500 7.91
2014-04-23 8.78 8.78 8.7 8.7 1900 7.91
2014-04-24 8.69 8.69 8.01 8.17 1200 7.42
2014-04-25 8.26 8.26 8.26 8.26 0 7.51
2014-04-28 8.3 8.6 8.3 8.6 0 7.82
2014-04-29 8.6 8.6 8.6 8.6 0 7.82
2014-04-30 8.6 8.6 8.6 8.6 0 7.82
2014-05-01 8.6 8.6 8.6 8.6 0 7.82
2014-05-02 8.6 8.6 8.6 8.6 0 7.82
2014-05-05 8.57 8.57 8.5 8.5 0 7.72
2014-05-06 8.5 8.5 8.5 8.5 0 7.72
2014-05-07 8.5 8.5 8.3 8.3 0 7.54
2014-05-08 8.3 8.3 8.3 8.3 0 7.54
