"Index" "EPN.Open" "EPN.High" "EPN.Low" "EPN.Close" "EPN.Volume" "EPN.Adjusted"
2013-12-05 31.693 31.693 31.693 31.693 0 29.798
2013-12-06 32.27 32.27 32.27 32.27 0 30.341
2013-12-09 32.215 32.215 32.215 32.215 0 30.289
2013-12-10 32.445 32.445 32.445 32.445 0 30.505
2013-12-11 32.481 32.481 32.481 32.481 0 30.539
2013-12-12 32.215 32.215 32.215 32.215 0 30.289
2013-12-13 32.087 32.087 32.087 32.087 0 30.169
2013-12-16 32.239 32.239 32.239 32.239 0 30.312
2013-12-17 32.527 32.527 32.527 32.527 0 30.582
2013-12-18 32.122 32.122 32.122 32.122 0 30.202
2013-12-19 32.254 32.254 32.254 32.254 0 30.326
2013-12-20 32.039 32.039 32.039 32.039 0 30.124
2013-12-23 32.012 32.012 32.012 32.012 0 30.098
2013-12-24 32.012 32.012 32.012 32.012 0 30.098
2013-12-25 32.012 32.012 32.012 32.012 0 30.098
2013-12-26 32.012 32.012 32.012 32.012 0 30.098
2013-12-27 31.608 31.608 31.608 31.608 0 29.718
2013-12-30 32.382 32.382 32.382 32.382 0 30.446
2013-12-31 32.382 32.382 32.382 32.382 0 30.446
2014-01-01 32.382 32.382 32.382 32.382 0 30.446
2014-01-02 32.319 32.319 32.319 32.319 0 30.387
2014-01-03 31.916 31.916 31.916 31.916 0 30.008
2014-01-06 32.293 32.293 32.293 32.293 0 30.362
2014-01-07 31.639 31.639 31.639 31.639 0 29.747
2014-01-08 31.885 31.885 31.885 31.885 0 29.979
2014-01-09 31.902 31.902 31.902 31.902 0 29.995
2014-01-10 31.472 31.472 31.472 31.472 0 29.59
2014-01-13 31.118 31.118 31.118 31.118 0 29.258
2014-01-14 31.123 31.123 31.123 31.123 0 29.262
2014-01-15 31.033 31.033 31.033 31.033 0 29.178
2014-01-16 31.208 31.208 31.208 31.208 0 29.342
2014-01-17 31.376 31.376 31.376 31.376 0 29.5
2014-01-20 32.387 32.387 32.387 32.387 0 30.451
2014-01-21 32.51 32.51 32.51 32.51 0 30.566
2014-01-22 31.921 31.921 31.921 31.921 0 30.207
2014-01-23 32.07 32.07 32.07 32.07 0 30.348
2014-01-24 31.266 31.266 31.266 31.266 0 29.587
2014-01-27 30.423 30.423 30.423 30.423 0 28.79
2014-01-28 29.487 29.487 29.487 29.487 0 27.904
2014-01-29 29.674 29.674 29.674 29.674 0 28.081
2014-01-30 28.787 28.787 28.787 28.787 0 27.241
2014-01-31 28.448 28.448 28.448 28.448 0 26.921
2014-02-03 28.476 28.476 28.476 28.476 0 26.947
2014-02-04 27.937 27.937 27.937 27.937 0 26.437
2014-02-05 28.149 28.149 28.149 28.149 0 26.638
2014-02-06 27.984 27.984 27.984 27.984 0 26.481
2014-02-07 28.306 28.306 28.306 28.306 0 26.786
2014-02-10 29.144 29.144 29.144 29.144 0 27.579
2014-02-11 29.215 29.215 29.215 29.215 0 27.646
2014-02-12 29.597 29.597 29.597 29.597 0 28.008
2014-02-13 29.894 29.894 29.894 29.894 0 28.289
2014-02-14 30.049 30.049 30.049 30.049 0 28.436
2014-02-17 31.057 31.057 31.057 31.057 0 29.389
2014-02-18 31.131 31.131 31.131 31.131 0 29.459
2014-02-19 30.437 30.437 30.437 30.437 0 28.803
2014-02-20 29.457 29.457 29.457 29.457 0 27.875
2014-02-21 29.962 29.962 29.962 29.962 0 28.353
2014-02-24 29.784 29.784 29.784 29.784 0 28.185
2014-02-25 29.494 29.494 29.494 29.494 0 27.91
2014-02-26 29.341 29.341 29.341 29.341 0 27.766
2014-02-27 29.462 29.462 29.462 29.462 0 27.88
2014-02-28 29.507 29.507 29.507 29.507 0 27.923
2014-03-03 29.26 29.26 29.26 29.26 0 27.689
2014-03-04 29.673 29.673 29.673 29.673 0 28.08
2014-03-05 29.8 29.8 29.8 29.8 0 28.2
2014-03-06 29.293 29.293 29.293 29.293 0 27.72
2014-03-07 29.536 29.536 29.536 29.536 0 27.95
2014-03-10 28.407 28.407 28.407 28.407 0 26.882
2014-03-11 27.982 27.982 27.982 27.982 0 26.48
2014-03-12 28.513 28.513 28.513 28.513 0 26.982
2014-03-13 28.154 28.154 28.154 28.154 0 26.642
2014-03-14 28.23 28.23 28.23 28.23 0 26.714
2014-03-17 27.952 27.952 27.952 27.952 0 26.451
2014-03-18 27.842 27.842 27.842 27.842 0 26.347
2014-03-19 29.087 29.087 29.087 29.087 0 27.525
2014-03-20 28.803 28.803 28.803 28.803 0 27.256
2014-03-21 28.997 28.997 28.997 28.997 0 27.44
2014-03-24 28.869 28.869 28.869 28.869 0 27.319
2014-03-25 29.31 29.31 29.31 29.31 0 27.736
2014-03-26 30.294 30.294 30.294 30.294 0 28.667
2014-03-27 30.194 30.194 30.194 30.194 0 28.573
2014-03-28 30.962 30.962 30.962 30.962 0 29.3
2014-03-31 31.368 31.368 31.368 31.368 0 29.684
2014-04-01 31.269 31.269 31.269 31.269 0 29.59
2014-04-02 31.469 31.469 31.469 31.469 0 29.779
2014-04-03 31.782 31.782 31.782 31.782 0 30.076
2014-04-04 31.419 31.419 31.419 31.419 0 29.732
2014-04-07 31.24 31.24 31.24 31.24 0 29.563
2014-04-08 31.712 31.712 31.712 31.712 0 30.009
2014-04-09 32.332 32.332 32.332 32.332 0 30.596
2014-04-10 32.522 32.522 32.522 32.522 0 30.776
2014-04-11 32.242 32.242 32.242 32.242 0 30.511
2014-04-14 32.36 32.36 32.36 32.36 0 30.623
2014-04-15 32.419 32.419 32.419 32.419 0 30.678
2014-04-16 32.394 32.394 32.394 32.394 0 30.655
2014-04-17 32.361 32.361 32.361 32.361 0 30.623
2014-04-18 32.361 32.361 32.361 32.361 0 30.623
2014-04-21 32.361 32.361 32.361 32.361 0 30.623
2014-04-22 32.166 32.166 32.166 32.166 0 30.439
2014-04-23 31.853 31.853 31.853 31.853 0 30.143
2014-04-24 32.016 32.016 32.016 32.016 0 30.297
2014-04-25 31.88 31.88 31.88 31.88 0 30.168
2014-04-28 30.665 30.665 30.665 30.665 0 29.019
2014-04-29 31.191 31.191 31.191 31.191 0 29.516
2014-04-30 31.4 31.4 31.4 31.4 0 29.714
2014-05-01 31.4 31.4 31.4 31.4 0 29.714
2014-05-02 31.55 31.55 31.55 31.55 0 29.856
2014-05-05 31.459 31.459 31.459 31.459 0 29.77
2014-05-06 31.201 31.201 31.201 31.201 0 29.526
2014-05-07 30.129 30.392 30.129 30.392 0 29.677
2014-05-08 30.304 30.304 30.304 30.304 0 29.591
2014-05-09 30.699 30.699 30.699 30.699 0 29.976
2014-05-12 30.932 30.932 30.932 30.932 0 30.204
2014-05-13 31.658 31.658 31.658 31.658 0 30.913
2014-05-14 32.685 32.685 32.685 32.685 0 31.916
2014-05-15 32.93 32.93 32.93 32.93 0 32.155
