"Index" "NS.Open" "NS.High" "NS.Low" "NS.Close" "NS.Volume" "NS.Adjusted"
2013-12-27 51 51.18 50.099998 50.990002 367800 43.703549
2013-12-30 50.990002 51 50.529999 50.650002 211900 43.412135
2013-12-31 50.5 51.130001 50.400002 50.990002 271600 43.703549
2014-01-02 50.799999 52 50.799999 50.93 289700 43.652122
2014-01-03 50.880001 51.040001 50.25 50.619999 124500 43.38642
2014-01-06 51.07 51.41 50.619999 50.630001 207000 43.394993
2014-01-07 51.09 51.119999 49.889999 50.580002 328200 43.352138
2014-01-08 49.75 50.759998 49.68 49.700001 353400 42.597889
2014-01-09 49.75 49.759998 49.02 49.73 238600 42.623601
2014-01-10 49.619999 49.799999 49.25 49.32 148300 42.27219
2014-01-13 49.490002 49.5 48.77 49.060001 182400 42.049345
2014-01-14 49.360001 49.610001 48.900002 49.610001 240100 42.52075
2014-01-15 49.880001 50.330002 49.25 50.16 236800 42.992154
2014-01-16 50.169998 50.209999 49.709999 49.919998 586000 42.786449
2014-01-17 49.990002 49.990002 48.849998 48.950001 274100 41.955064
2014-01-21 48.959999 49.41 48.650002 48.73 246400 41.766501
2014-01-22 48.639999 49.259998 48.639999 48.959999 184200 41.963633
2014-01-23 49 49.25 48.5 48.580002 207400 41.637937
2014-01-24 48.599998 48.73 48.169998 48.23 221300 41.33795
2014-01-27 48.139999 48.889999 47.709999 48.610001 229200 41.663649
2014-01-28 48.77 48.77 48.259998 48.439999 259300 41.517941
2014-01-29 48.259998 48.799999 47.689999 48.290001 223200 41.389378
2014-01-30 48.330002 48.639999 48.310001 48.509998 162900 41.577937
2014-01-31 48.400002 49.849998 48.259998 49.5 235600 42.426468
2014-02-03 49.34 49.91 48.630001 49.299999 351600 42.255047
2014-02-04 49.560001 49.75 47.509998 48.610001 655000 41.663649
2014-02-05 49 52.84 47.990002 51.25 2462500 43.926394
2014-02-06 51.080002 52.400002 50.919998 51.919998 596100 45.4722
2014-02-07 52.209999 53 51.599998 52.82 358200 46.260433
2014-02-10 52.98 52.990002 51.830002 51.889999 233700 45.445927
2014-02-11 52.34 52.380001 51.25 52.080002 725000 45.612334
2014-02-12 52.110001 52.790001 51.77 52.139999 218500 45.66488
2014-02-13 52.060001 52.84 52.060001 52.619999 306900 46.08527
2014-02-14 52.860001 52.860001 51.970001 52.310001 335400 45.81377
2014-02-18 52 52.200001 51.27 51.939999 453500 45.489717
2014-02-19 52 52.400002 51.5 51.779999 220900 45.349587
2014-02-20 52.189999 52.189999 50.470001 50.799999 324500 44.491291
2014-02-21 50.889999 51.720001 50.34 51.150002 710700 44.797828
2014-02-24 51.099998 51.25 50.25 50.66 582700 44.368678
2014-02-25 50.560001 50.650002 49.169998 49.490002 464400 43.343978
2014-02-26 49.43 49.759998 48.75 49.509998 478200 43.361492
2014-02-27 49.490002 50.02 49.110001 49.34 475400 43.212605
2014-02-28 49.169998 50.200001 48.830002 49.919998 540300 43.720575
2014-03-03 49.259998 51 49.259998 50.900002 500400 44.578874
2014-03-04 50.75 51.23 50.549999 50.939999 803900 44.613904
2014-03-05 51.16 51.68 50.689999 51.450001 530200 45.060571
2014-03-06 52.349998 53.139999 52 52.59 996700 46.058997
2014-03-07 52.900002 52.990002 52.349998 52.610001 345400 46.076513
2014-03-10 52.599998 52.599998 51.599998 51.939999 284500 45.489717
2014-03-11 51.779999 52.119999 51.459999 51.529999 194000 45.130634
2014-03-12 51.619999 52.240002 51.259998 52.16 204900 45.682397
2014-03-13 52.110001 52.599998 51.860001 52.139999 130200 45.66488
2014-03-14 53.240002 54 53 53.889999 529000 47.197553
2014-03-17 54 54.689999 53.619999 54.189999 396800 47.460296
2014-03-18 54.509998 55.150002 54.290001 54.900002 1050000 48.082126
2014-03-19 54.619999 54.869999 53.099998 53.419998 423200 46.78592
2014-03-20 53.5 53.75 52.75 52.950001 372900 46.37429
2014-03-21 52.75 54.200001 52.630001 53.779999 1021100 47.101213
2014-03-24 53.68 53.98 53.02 53.68 337900 47.013633
2014-03-25 53.98 54.720001 53.369999 54.540001 365600 47.766832
2014-03-26 54.630001 54.669998 53.919998 54.549999 579300 47.775589
2014-03-27 54.369999 54.68 54.049999 54.650002 323300 47.863172
2014-03-28 54.799999 55 54.490002 55 344100 48.169706
2014-03-31 54.759998 55.049999 54.669998 54.950001 279100 48.125916
2014-04-01 54.759998 55 54.18 54.810001 571500 48.003302
2014-04-02 54.959999 55.150002 54.5 55.07 992700 48.231012
2014-04-03 55.02 55.349998 54.630001 55.259998 331400 48.397415
2014-04-04 55.25 55.450001 54.889999 55.279999 322700 48.414932
2014-04-07 54.990002 55.18 53.759998 53.93 238800 47.232586
