"Index" "CUS.Open" "CUS.High" "CUS.Low" "CUS.Close" "CUS.Volume" "CUS.Adjusted"
2013-08-09 2.852 2.852 2.852 2.852 0 2.852
2013-08-12 2.852 2.852 2.852 2.852 0 2.852
2013-08-13 2.881 2.881 2.881 2.881 0 2.881
2013-08-14 3.013 3.013 3.013 3.013 0 3.013
2013-08-15 3.05 3.05 3.05 3.05 0 3.05
2013-08-16 3.05 3.05 3.05 3.05 0 3.05
2013-08-19 2.959 2.959 2.959 2.959 0 2.959
2013-08-20 2.941 2.941 2.941 2.941 0 2.941
2013-08-21 3.017 3.017 3.017 3.017 0 3.017
2013-08-22 3.243 3.243 3.243 3.243 0 3.243
2013-08-23 3.301 3.301 3.301 3.301 0 3.301
2013-08-26 3.263 3.263 3.263 3.263 0 3.263
2013-08-27 3.271 3.271 3.271 3.271 0 3.271
2013-08-28 3.102 3.102 3.102 3.102 0 3.102
2013-08-29 3.144 3.144 3.144 3.144 0 3.144
2013-08-30 3.451 3.451 3.451 3.451 0 3.451
2013-09-02 3.372 3.372 3.372 3.372 0 3.372
2013-09-03 3.388 3.388 3.388 3.388 0 3.388
2013-09-04 3.351 3.351 3.351 3.351 0 3.351
2013-09-05 3.339 3.339 3.339 3.339 0 3.339
2013-09-06 3.33 3.33 3.33 3.33 0 3.33
2013-09-09 3.291 3.291 3.291 3.291 0 3.291
2013-09-10 3.307 3.307 3.307 3.307 0 3.307
2013-09-11 3.272 3.272 3.272 3.272 0 3.272
2013-09-12 3.174 3.174 3.174 3.174 0 3.174
2013-09-13 3.174 3.174 3.174 3.174 0 3.174
2013-09-16 3.26 3.26 3.26 3.26 0 3.26
2013-09-17 3.207 3.207 3.207 3.207 0 3.207
2013-09-18 3.207 3.207 3.207 3.207 0 3.207
2013-09-19 3.189 3.189 3.189 3.189 0 3.189
2013-09-20 3.221 3.221 3.221 3.221 0 3.221
2013-09-23 3.201 3.201 3.201 3.201 0 3.201
2013-09-24 3.189 3.189 3.189 3.189 0 3.189
2013-09-25 3.174 3.174 3.174 3.174 0 3.174
2013-09-26 3.174 3.174 3.174 3.174 0 3.174
2013-09-27 3.239 3.239 3.239 3.239 0 3.239
2013-09-30 3.17 3.17 3.17 3.17 0 3.17
2013-10-01 3.287 3.287 3.287 3.287 0 3.287
2013-10-02 3.287 3.287 3.287 3.287 0 3.287
2013-10-03 3.38 3.38 3.38 3.38 0 3.38
2013-10-04 3.33 3.33 3.33 3.33 0 3.33
2013-10-07 3.173 3.173 3.132 3.132 100 3.132
2013-10-08 3.09 3.09 3.09 3.09 0 3.09
2013-10-09 2.873 2.873 2.873 2.873 0 2.873
