"Index" "CNH.Open" "CNH.High" "CNH.Low" "CNH.Close" "CNH.Volume" "CNH.Adjusted"
2013-10-25 28.447 28.447 28.447 28.447 0 26.7609
2013-10-28 28.749 28.749 28.749 28.749 0 27.045
2013-10-29 29.299 29.299 29.299 29.299 0 27.5624
2013-10-30 29.465 29.465 29.465 29.465 0 27.7185
2013-10-31 29.248 29.248 29.248 29.248 0 27.5144
2013-11-01 29.881 29.881 29.881 29.881 0 28.1099
2013-11-04 29.868 29.868 29.868 29.868 0 28.0976
2013-11-05 29.892 29.892 29.892 29.892 0 28.1202
2013-11-06 29.885 29.885 29.885 29.885 0 28.1136
2013-11-07 29.845 29.845 29.845 29.845 0 28.2652
2013-11-08 29.636 29.636 29.636 29.636 0 28.0672
2013-11-11 30.226 30.226 30.226 30.226 0 28.626
2013-11-12 30.297 30.297 30.297 30.297 0 28.6932
2013-11-13 29.72 29.72 29.72 29.72 0 28.1468
2013-11-14 30.152 30.152 30.152 30.152 0 28.5559
2013-11-15 30.291 30.291 30.291 30.291 0 28.6875
2013-11-18 30.21 30.21 30.21 30.21 0 28.6108
2013-11-19 30.179 30.179 30.179 30.179 0 28.5815
2013-11-20 30.214 30.214 30.214 30.214 0 28.6146
2013-11-21 30.278 30.278 30.278 30.278 0 28.6752
2013-11-22 30.48 30.48 30.48 30.48 0 28.8665
2013-11-25 30.522 30.522 30.522 30.522 0 28.9063
2013-11-26 30.807 30.807 30.807 30.807 0 29.1762
2013-11-27 30.528 30.528 30.528 30.528 0 28.912
2013-11-28 30.412 30.602 30.412 30.602 0 28.9821
2013-11-29 30.358 30.358 30.358 30.358 0 28.751
2013-12-02 30.443 30.443 30.443 30.443 0 28.8315
2013-12-03 30.302 30.302 30.302 30.302 0 28.698
2013-12-04 30.174 30.174 30.174 30.174 0 28.5767
2013-12-05 29.965 29.965 29.965 29.965 0 28.3788
2013-12-06 29.913 29.913 29.913 29.913 0 28.3296
2013-12-09 30.153 30.153 30.153 30.153 0 28.5569
2013-12-10 30.196 30.196 30.196 30.196 0 28.5976
