"Index" "CNH.Open" "CNH.High" "CNH.Low" "CNH.Close" "CNH.Volume" "CNH.Adjusted"
2014-08-21 28.778 28.778 28.778 28.778 0 27.956
2014-08-22 28.975 28.975 28.975 28.975 0 28.1474
2014-08-25 28.974 28.974 28.974 28.974 0 28.1464
2014-08-26 29.13 29.13 29.13 29.13 0 28.298
2014-08-27 29.262 29.262 29.262 29.262 0 28.4262
2014-08-28 29.184 29.184 29.184 29.184 0 28.3504
2014-08-29 29.14 29.14 29.14 29.14 0 28.3077
2014-09-01 29.429 29.429 29.429 29.429 0 28.5885
2014-09-02 29.477 29.477 29.477 29.477 0 28.6351
2014-09-03 29.404 29.404 29.404 29.404 0 28.5642
2014-09-04 29.256 29.256 29.256 29.256 0 28.4204
2014-09-05 29.662 29.662 29.662 29.662 0 28.8148
2014-09-08 29.567 29.567 29.567 29.567 0 28.7225
2014-09-09 29.563 29.563 29.563 29.563 0 28.7186
2014-09-10 29.219 29.219 29.219 29.219 0 28.3844
2014-09-11 29.45 29.45 29.45 29.45 0 28.6089
2014-09-12 29.449 29.449 29.449 29.449 0 28.6079
2014-09-15 29.167 29.167 29.167 29.167 0 28.3339
2014-09-16 29.38 29.38 29.38 29.38 0 28.5408
2014-09-17 29.349 29.349 29.349 29.349 0 28.5107
2014-09-18 29.697 29.697 29.697 29.697 0 28.8488
2014-09-19 30.253 30.253 30.253 30.253 0 29.3889
