"Index" "XSC.Open" "XSC.High" "XSC.Low" "XSC.Close" "XSC.Volume" "XSC.Adjusted"
2013-12-12 41.985 41.985 41.985 41.985 0 41.985
2013-12-13 41.57 41.57 41.57 41.57 0 41.57
2013-12-16 41.38 42.195 41.38 42.195 0 42.195
2013-12-17 41.68 41.68 41.68 41.68 0 41.68
2013-12-18 42.05 42.05 42.05 42.05 0 42.05
2013-12-19 42.935 42.935 42.935 42.935 0 42.935
2013-12-20 42.58 42.58 42.58 42.58 0 42.58
2013-12-23 42.585 42.585 42.585 42.585 0 42.585
2013-12-24 42.585 42.585 42.585 42.585 0 42.585
2013-12-25 42.585 42.585 42.585 42.585 0 42.585
2013-12-26 42.585 42.585 42.585 42.585 0 42.585
2013-12-27 43.095 43.095 43.095 43.095 0 43.095
2013-12-30 43.26 43.26 43.26 43.26 0 43.26
2013-12-31 43.26 43.26 43.26 43.26 0 43.26
2014-01-01 43.26 43.26 43.26 43.26 0 43.26
2014-01-02 43.245 43.245 43.245 43.245 0 43.245
2014-01-03 43.545 43.545 43.545 43.545 0 43.545
2014-01-06 43.125 43.125 43.125 43.125 0 43.125
2014-01-07 41.965 42.87 41.965 42.87 0 42.87
2014-01-08 42.335 42.335 42.335 42.335 0 42.335
2014-01-09 42.025 42.025 42.025 42.025 0 42.025
2014-01-10 41.725 41.725 41.725 41.725 0 41.725
2014-01-13 42.175 42.175 42.175 42.175 0 42.175
2014-01-14 41.24 41.24 41.24 41.24 0 41.24
2014-01-15 41.52 41.52 41.52 41.52 0 41.52
2014-01-16 41.17 41.17 41.17 41.17 0 41.17
2014-01-17 41.085 41.085 41.085 41.085 0 41.085
2014-01-20 41.305 41.305 41.305 41.305 0 41.305
2014-01-21 41.495 41.495 41.495 41.495 0 41.495
2014-01-22 41.88 41.955 41.88 41.955 0 41.955
2014-01-23 41.77 41.77 41.77 41.77 0 41.77
2014-01-24 41.075 41.075 41.075 41.075 0 41.075
2014-01-27 40.4 40.4 40.4 40.4 0 40.4
2014-01-28 40.28 40.28 40.28 40.28 0 40.28
2014-01-29 41.42 41.42 41.42 41.42 0 41.42
2014-01-30 40.535 40.535 40.535 40.535 0 40.535
2014-01-31 40.965 40.965 40.965 40.965 0 40.965
2014-02-03 40.385 40.385 40.385 40.385 0 40.385
2014-02-04 38.525 38.525 38.525 38.525 0 38.525
