"Index" "WCC.Open" "WCC.High" "WCC.Low" "WCC.Close" "WCC.Volume" "WCC.Adjusted"
2014-04-03 87.110001 87.809998 86.519997 87.739998 447300 87.739998
2014-04-04 88.389999 89.489998 86.389999 86.5 684800 86.5
2014-04-07 86.059998 86.389999 84.5 85.379997 413900 85.379997
2014-04-08 85.25 86.389999 84.910004 86.040001 364900 86.040001
2014-04-09 86.199997 87.629997 86.029999 87.540001 486000 87.540001
2014-04-10 88.529999 90.400002 86.389999 86.629997 715800 86.629997
2014-04-11 86 86.769997 85.120003 85.220001 560000 85.220001
2014-04-14 85.769997 86.25 84.580002 85.25 288800 85.25
2014-04-15 85.639999 86.730003 84.739998 86.5 568000 86.5
2014-04-16 87 87.120003 85.559998 85.800003 632500 85.800003
2014-04-17 85.82 87.059998 85.519997 86.709999 463400 86.709999
2014-04-21 86.779999 87.120003 85.870003 85.959999 374000 85.959999
2014-04-22 86.099998 87.199997 85.849998 86.620003 369000 86.620003
2014-04-23 86.57 86.949997 85.669998 85.720001 546500 85.720001
2014-04-24 86.720001 89.169998 85 88.57 775000 88.57
2014-04-25 88.510002 88.510002 87.349998 88.120003 728700 88.120003
2014-04-28 88.32 88.68 86.290001 87.449997 556500 87.449997
2014-04-29 87.550003 88.18 86.720001 87.019997 453900 87.019997
2014-04-30 86.949997 87.970001 86.139999 87.779999 411600 87.779999
2014-05-01 87.830002 88.940002 87.550003 88.309998 382500 88.309998
2014-05-02 88.32 89.230003 87.699997 87.769997 345600 87.769997
2014-05-05 86.199997 86.970001 85.410004 86.349998 461000 86.349998
2014-05-06 86.07 86.300003 85.370003 85.93 315100 85.93
2014-05-07 86.25 86.540001 85.169998 85.839996 414400 85.839996
2014-05-08 85.889999 86.93 85.550003 85.980003 265600 85.980003
2014-05-09 85.82 85.82 84.75 85.199997 288600 85.199997
2014-05-12 85.459999 87.389999 85.449997 87.080002 247900 87.080002
2014-05-13 86.199997 87.459999 86.099998 86.610001 290600 86.610001
2014-05-14 86.529999 86.849998 85 85.199997 346900 85.199997
2014-05-15 85.169998 85.449997 83.480003 84.760002 314000 84.760002
2014-05-16 84.779999 85.410004 84.059998 85.360001 283200 85.360001
2014-05-19 85.339996 86.629997 85.160004 86 537700 86
2014-05-20 85.849998 85.849998 83.959999 84.400002 254900 84.400002
2014-05-21 84.519997 85.589996 84.519997 85.279999 366700 85.279999
2014-05-22 85.440002 85.809998 84.889999 85.220001 374700 85.220001
2014-05-23 85.230003 85.610001 84.769997 84.849998 849000 84.849998
2014-05-27 85.129997 85.82 84.760002 85.029999 1020800 85.029999
2014-05-28 85.139999 85.809998 84.660004 85.419998 710900 85.419998
2014-05-29 85.989998 86.639999 84.720001 85.699997 616800 85.699997
2014-05-30 85.68 85.849998 85.029999 85.419998 290700 85.419998
2014-06-02 85.410004 86.010002 84.510002 85.970001 390300 85.970001
2014-06-03 85.660004 86.559998 85.449997 86.449997 302200 86.449997
2014-06-04 86.550003 87.93 86.470001 87.580002 328400 87.580002
2014-06-05 87.610001 89.790001 87.489998 89.540001 659700 89.540001
2014-06-06 89.839996 91.239998 89.839996 91.199997 362300 91.199997
2014-06-09 91.199997 92.879997 90.629997 92.610001 518000 92.610001
2014-06-10 92.690002 93.07 91.809998 93.07 534600 93.07
2014-06-11 92.620003 92.739998 91.980003 92.529999 290100 92.529999
2014-06-12 92.339996 92.739998 90.43 90.739998 638300 90.739998
2014-06-13 90.5 90.949997 90.260002 90.519997 311600 90.519997
2014-06-16 90.489998 90.889999 89.709999 90.199997 267000 90.199997
2014-06-17 89.800003 90.470001 89.529999 89.980003 389600 89.980003
2014-06-18 90.040001 90.830002 89.75 90.779999 185300 90.779999
2014-06-19 90.720001 90.739998 89.510002 89.739998 376500 89.739998
2014-06-20 89.550003 90.360001 89.209999 90.330002 216100 90.330002
2014-06-23 90.449997 90.559998 89.169998 89.419998 227800 89.419998
2014-06-24 89.32 89.470001 87.57 87.690002 379400 87.690002
2014-06-25 87.690002 88.239998 87.129997 87.660004 442400 87.660004
2014-06-26 87.650002 87.959999 86.57 87.349998 316100 87.349998
2014-06-27 87.160004 87.730003 86.589996 86.800003 312100 86.800003
2014-06-30 86.739998 87 86.139999 86.379997 493000 86.379997
2014-07-01 86.690002 87.300003 86.339996 87.029999 605500 87.029999
2014-07-02 86.440002 87.080002 86.150002 86.339996 400400 86.339996
2014-07-03 86.339996 88.309998 86.290001 87.860001 564700 87.860001
2014-07-07 87.989998 88.059998 86.529999 86.650002 448300 86.650002
2014-07-08 86.190002 86.650002 85.309998 85.889999 405400 85.889999
2014-07-09 85.82 86.150002 85.190002 85.68 296400 85.68
2014-07-10 84.199997 85.160004 83.220001 84.970001 495000 84.970001
2014-07-11 84.510002 84.510002 83 83.379997 469100 83.379997
2014-07-14 84.010002 84.279999 83.660004 84.099998 411000 84.099998
2014-07-15 83.709999 84.309998 83.599998 84.059998 292300 84.059998
2014-07-16 84.419998 84.720001 83.989998 84.449997 239600 84.449997
2014-07-17 84.470001 84.540001 82.970001 83.029999 267700 83.029999
2014-07-18 83 83.68 82.739998 83.599998 330200 83.599998
2014-07-21 83.449997 83.779999 83.110001 83.639999 329500 83.639999
