"Index" "RI.Open" "RI.High" "RI.Low" "RI.Close" "RI.Volume" "RI.Adjusted"
2015-02-26 102.9 102.9 102.9 102.9 0 101.14
2015-02-27 102.9 102.9 102.9 102.9 0 101.14
2015-03-02 102.9 102.9 102.9 102.9 0 101.14
2015-03-03 102.9 102.9 102.9 102.9 0 101.14
2015-03-04 102.9 102.9 102.9 102.9 0 101.14
2015-03-05 102.9 102.9 102.9 102.9 0 101.14
2015-03-06 102.9 102.9 102.9 102.9 0 101.14
2015-03-09 102.9 102.9 102.9 102.9 0 101.14
2015-03-10 102.9 102.9 102.9 102.9 0 101.14
2015-03-11 102.9 102.9 102.9 102.9 0 101.14
2015-03-12 102.9 102.9 102.9 102.9 0 101.14
2015-03-13 102.9 102.9 102.9 102.9 0 101.14
2015-03-16 102.9 102.9 102.9 102.9 0 101.14
2015-03-17 102.9 102.9 102.9 102.9 0 101.14
2015-03-18 102.9 102.9 102.9 102.9 0 101.14
2015-03-19 102.9 102.9 102.9 102.9 0 101.14
2015-03-20 102.9 102.9 102.9 102.9 0 101.14
2015-03-23 102.9 102.9 102.9 102.9 0 101.14
2015-03-24 102.9 102.9 102.9 102.9 0 101.14
2015-03-25 102.9 102.9 102.9 102.9 0 101.14
2015-03-26 102.9 102.9 102.9 102.9 0 101.14
2015-03-27 102.9 102.9 102.9 102.9 0 101.14
2015-03-30 102.9 102.9 102.9 102.9 0 101.14
2015-03-31 102.9 102.9 102.9 102.9 0 101.14
2015-04-01 102.9 102.9 102.9 102.9 0 101.14
2015-04-02 102.9 102.9 102.9 102.9 0 101.14
2015-04-03 102.9 102.9 102.9 102.9 0 101.14
2015-04-06 102.9 102.9 102.9 102.9 0 101.14
2015-04-07 102.9 102.9 102.9 102.9 0 101.14
2015-04-08 102.9 102.9 102.9 102.9 0 101.14
2015-04-09 102.9 102.9 102.9 102.9 0 101.14
2015-04-10 102.9 102.9 102.9 102.9 0 101.14
2015-04-13 102.9 102.9 102.9 102.9 0 101.14
2015-04-14 102.9 102.9 102.9 102.9 0 101.14
2015-04-15 102.9 102.9 102.9 102.9 0 101.14
2015-04-16 102.9 102.9 102.9 102.9 0 101.14
2015-04-17 102.9 102.9 102.9 102.9 0 101.14
2015-04-20 102.9 102.9 102.9 102.9 0 101.14
2015-04-21 102.9 102.9 102.9 102.9 0 101.14
2015-04-22 102.9 102.9 102.9 102.9 0 101.14
2015-04-23 102.9 102.9 102.9 102.9 0 101.14
2015-04-24 102.9 102.9 102.9 102.9 0 101.14
2015-04-27 102.9 102.9 102.9 102.9 0 101.14
2015-04-28 102.9 102.9 102.9 102.9 0 101.14
2015-04-29 102.9 102.9 102.9 102.9 0 101.14
2015-04-30 102.9 102.9 102.9 102.9 0 101.14
2015-05-01 102.9 102.9 102.9 102.9 0 101.14
2015-05-04 102.9 102.9 102.9 102.9 0 101.14
2015-05-05 102.9 102.9 102.9 102.9 0 101.14
2015-05-06 102.9 102.9 102.9 102.9 0 101.14
2015-05-07 102.9 102.9 102.9 102.9 0 101.14
2015-05-08 102.9 102.9 102.9 102.9 0 101.14
2015-05-11 102.9 102.9 102.9 102.9 0 101.14
2015-05-12 102.9 102.9 102.9 102.9 0 101.14
2015-05-13 102.9 102.9 102.9 102.9 0 101.14
2015-05-14 102.9 102.9 102.9 102.9 0 101.14
2015-05-15 102.9 102.9 102.9 102.9 0 101.14
2015-05-18 102.9 102.9 102.9 102.9 0 101.14
2015-05-19 102.9 102.9 102.9 102.9 0 101.14
2015-05-20 102.9 102.9 102.9 102.9 0 101.14
2015-05-21 102.9 102.9 102.9 102.9 0 101.14
2015-05-22 102.9 102.9 102.9 102.9 0 101.14
2015-05-25 102.9 102.9 102.9 102.9 0 101.14
2015-05-26 102.9 102.9 102.9 102.9 0 101.14
2015-05-27 102.9 102.9 102.9 102.9 0 101.14
2015-05-28 102.9 102.9 102.9 102.9 0 101.14
2015-05-29 102.9 102.9 102.9 102.9 0 101.14
2015-06-01 102.9 102.9 102.9 102.9 0 101.14
2015-06-02 114.6 114.6 114.6 114.6 300 112.64
2015-06-03 114.6 114.6 114.6 114.6 0 112.64
2015-06-04 114.6 114.6 114.6 114.6 0 112.64
2015-06-05 114.6 114.6 114.6 114.6 0 112.64
2015-06-08 114.6 114.6 114.6 114.6 0 112.64
2015-06-09 114.6 114.6 114.6 114.6 0 112.64
2015-06-10 114.6 114.6 114.6 114.6 0 112.64
2015-06-11 114.6 114.6 114.6 114.6 0 112.64
2015-06-12 114.6 114.6 114.6 114.6 0 112.64
2015-06-15 114.6 114.6 114.6 114.6 0 112.64
2015-06-16 114.6 114.6 114.6 114.6 0 112.64
2015-06-17 114.6 114.6 114.6 114.6 0 112.64
2015-06-18 114.6 114.6 114.6 114.6 0 112.64
2015-06-19 114.6 114.6 114.6 114.6 0 112.64
2015-06-22 114.6 114.6 114.6 114.6 0 112.64
2015-06-23 114.6 114.6 114.6 114.6 0 112.64
2015-06-24 114.6 114.6 114.6 114.6 0 112.64
2015-06-25 114.6 114.6 114.6 114.6 0 112.64
2015-06-26 114.6 114.6 114.6 114.6 0 112.64
2015-06-29 114.6 114.6 114.6 114.6 0 112.64
2015-06-30 114.6 114.6 114.6 114.6 0 112.64
2015-07-01 114.6 114.6 114.6 114.6 0 112.64
2015-07-02 114.6 114.6 114.6 114.6 0 112.64
2015-07-03 114.6 114.6 114.6 114.6 0 112.64
2015-07-06 107.5 107.5 107.5 107.5 300 106.42
2015-07-07 107.5 107.5 107.5 107.5 0 106.42
2015-07-08 107.5 107.5 107.5 107.5 0 106.42
2015-07-09 107.5 107.5 107.5 107.5 0 106.42
2015-07-10 107.5 107.5 107.5 107.5 0 106.42
2015-07-13 107.5 107.5 107.5 107.5 0 106.42
2015-07-14 107.5 107.5 107.5 107.5 0 106.42
2015-07-15 107.5 107.5 107.5 107.5 0 106.42
2015-07-16 107.5 107.5 107.5 107.5 0 106.42
2015-07-17 107.5 107.5 107.5 107.5 0 106.42
2015-07-20 107.5 107.5 107.5 107.5 0 106.42
2015-07-21 107.5 107.5 107.5 107.5 0 106.42
2015-07-22 107.5 107.5 107.5 107.5 0 106.42
2015-07-23 107.5 107.5 107.5 107.5 0 106.42
2015-07-24 107.5 107.5 107.5 107.5 0 106.42
2015-07-27 107.5 107.5 107.5 107.5 0 106.42
2015-07-28 107.5 107.5 107.5 107.5 0 106.42
2015-07-29 107.5 107.5 107.5 107.5 0 106.42
2015-07-30 107.5 107.5 107.5 107.5 0 106.42
2015-07-31 107.5 107.5 107.5 107.5 0 106.42
2015-08-03 107.5 107.5 107.5 107.5 0 106.42
2015-08-04 107.5 107.5 107.5 107.5 0 106.42
2015-08-05 107.5 107.5 107.5 107.5 0 106.42
2015-08-06 107.5 107.5 107.5 107.5 0 106.42
2015-08-07 107.5 107.5 107.5 107.5 0 106.42
2015-08-10 107.5 107.5 107.5 107.5 0 106.42
2015-08-11 107.5 107.5 107.5 107.5 0 106.42
2015-08-12 107.5 107.5 107.5 107.5 0 106.42
2015-08-13 107.5 107.5 107.5 107.5 0 106.42
2015-08-14 107.5 107.5 107.5 107.5 0 106.42
2015-08-17 107.5 107.5 107.5 107.5 0 106.42
2015-08-18 107.5 107.5 107.5 107.5 0 106.42
2015-08-19 107.5 107.5 107.5 107.5 0 106.42
2015-08-20 107.5 107.5 107.5 107.5 0 106.42
2015-08-21 107.5 107.5 107.5 107.5 0 106.42
2015-08-24 107.5 107.5 107.5 107.5 0 106.42
2015-08-25 107.5 107.5 107.5 107.5 0 106.42
2015-08-26 107.5 107.5 107.5 107.5 0 106.42
2015-08-27 97.65 97.65 97.6 97.6 200 96.62
2015-08-28 97.6 97.6 97.6 97.6 0 96.62
2015-08-31 97.6 97.6 97.6 97.6 0 96.62
2015-09-01 97.6 97.6 97.6 97.6 0 96.62
2015-09-02 97.6 97.6 97.6 97.6 0 96.62
2015-09-03 97.6 97.6 97.6 97.6 0 96.62
2015-09-04 97.6 97.6 97.6 97.6 0 96.62
2015-09-07 97.6 97.6 97.6 97.6 0 96.62
2015-09-08 97.6 97.6 97.6 97.6 0 96.62
2015-09-09 97.6 97.6 97.6 97.6 0 96.62
2015-09-10 97.6 97.6 97.6 97.6 0 96.62
2015-09-11 97.6 97.6 97.6 97.6 0 96.62
2015-09-14 97.6 97.6 97.6 97.6 0 96.62
2015-09-15 97.6 97.6 97.6 97.6 0 96.62
2015-09-16 97.6 97.6 97.6 97.6 0 96.62
2015-09-17 97.6 97.6 97.6 97.6 0 96.62
2015-09-18 97.6 97.6 97.6 97.6 0 96.62
2015-09-21 97.6 97.6 97.6 97.6 0 96.62
2015-09-22 97.6 97.6 97.6 97.6 0 96.62
2015-09-23 97.6 97.6 97.6 97.6 0 96.62
2015-09-24 97.6 97.6 97.6 97.6 0 96.62
2015-09-25 97.6 97.6 97.6 97.6 0 96.62
2015-09-28 97.6 97.6 97.6 97.6 0 96.62
2015-09-29 97.6 97.6 97.6 97.6 0 96.62
2015-09-30 97.6 97.6 97.6 97.6 0 96.62
