"Index" "BB.Open" "BB.High" "BB.Low" "BB.Close" "BB.Volume" "BB.Adjusted"
2015-03-02 8.855 8.855 8.855 8.855 0 8.855
2015-03-03 8.855 8.855 8.855 8.855 0 8.855
2015-03-04 8.855 8.855 8.855 8.855 0 8.855
2015-03-05 8.855 8.855 8.855 8.855 0 8.855
2015-03-06 8.855 8.855 8.855 8.855 0 8.855
2015-03-09 8.855 8.855 8.855 8.855 0 8.855
2015-03-10 8.855 8.855 8.855 8.855 0 8.855
2015-03-11 8.855 8.855 8.855 8.855 0 8.855
2015-03-12 8.855 8.855 8.855 8.855 0 8.855
2015-03-13 8.855 8.855 8.855 8.855 0 8.855
2015-03-16 8.855 8.855 8.855 8.855 0 8.855
2015-03-17 8.855 8.855 8.855 8.855 0 8.855
2015-03-18 8.855 8.855 8.855 8.855 0 8.855
2015-03-19 8.855 8.855 8.855 8.855 0 8.855
2015-03-20 8.855 8.855 8.855 8.855 0 8.855
2015-03-23 8.855 8.855 8.855 8.855 0 8.855
2015-03-24 8.855 8.855 8.855 8.855 0 8.855
2015-03-25 8.855 8.855 8.855 8.855 0 8.855
2015-03-26 8.855 8.855 8.855 8.855 0 8.855
2015-03-27 8.855 8.855 8.855 8.855 0 8.855
2015-03-30 8.855 8.855 8.855 8.855 0 8.855
2015-03-31 8.855 8.855 8.855 8.855 0 8.855
2015-04-01 8.855 8.855 8.855 8.855 0 8.855
2015-04-02 8.855 8.855 8.855 8.855 0 8.855
2015-04-03 8.855 8.855 8.855 8.855 0 8.855
2015-04-06 8.855 8.855 8.855 8.855 0 8.855
2015-04-07 8.855 8.855 8.855 8.855 0 8.855
2015-04-08 8.855 8.855 8.855 8.855 0 8.855
2015-04-09 8.855 8.855 8.855 8.855 0 8.855
2015-04-10 8.855 8.855 8.855 8.855 0 8.855
2015-04-13 8.855 8.855 8.855 8.855 0 8.855
2015-04-14 8.855 8.855 8.855 8.855 0 8.855
2015-04-15 8.855 8.855 8.855 8.855 0 8.855
2015-04-16 8.855 8.855 8.855 8.855 0 8.855
2015-04-17 8.855 8.855 8.855 8.855 0 8.855
2015-04-20 8.855 8.855 8.855 8.855 0 8.855
2015-04-21 8.855 8.855 8.855 8.855 0 8.855
2015-04-22 8.855 8.855 8.855 8.855 0 8.855
2015-04-23 8.855 8.855 8.855 8.855 0 8.855
2015-04-24 8.855 8.855 8.855 8.855 0 8.855
2015-04-27 8.855 8.855 8.855 8.855 0 8.855
2015-04-28 8.855 8.855 8.855 8.855 0 8.855
2015-04-29 8.855 8.855 8.855 8.855 0 8.855
2015-04-30 8.855 8.855 8.855 8.855 0 8.855
2015-05-01 8.855 8.855 8.855 8.855 0 8.855
2015-05-04 8.855 8.855 8.855 8.855 0 8.855
2015-05-05 8.855 8.855 8.855 8.855 0 8.855
2015-05-06 8.855 8.855 8.855 8.855 0 8.855
2015-05-07 8.855 8.855 8.855 8.855 0 8.855
2015-05-08 8.855 8.855 8.855 8.855 0 8.855
2015-05-11 8.855 8.855 8.855 8.855 0 8.855
2015-05-12 8.855 8.855 8.855 8.855 0 8.855
2015-05-13 8.855 8.855 8.855 8.855 0 8.855
2015-05-14 8.855 8.855 8.855 8.855 0 8.855
2015-05-15 8.855 8.855 8.855 8.855 0 8.855
2015-05-18 8.855 8.855 8.855 8.855 0 8.855
2015-05-19 8.855 8.855 8.855 8.855 0 8.855
2015-05-20 8.855 8.855 8.855 8.855 0 8.855
2015-05-21 8.855 8.855 8.855 8.855 0 8.855
2015-05-22 8.855 8.855 8.855 8.855 0 8.855
2015-05-25 8.855 8.855 8.855 8.855 0 8.855
2015-05-26 8.855 8.855 8.855 8.855 0 8.855
2015-05-27 8.855 8.855 8.855 8.855 0 8.855
2015-05-28 8.855 8.855 8.855 8.855 0 8.855
2015-05-29 8.855 8.855 8.855 8.855 0 8.855
2015-06-01 8.855 8.855 8.855 8.855 0 8.855
2015-06-02 8.855 8.855 8.855 8.855 0 8.855
2015-06-03 8.855 8.855 8.855 8.855 0 8.855
2015-06-04 8.855 8.855 8.855 8.855 0 8.855
2015-06-05 8.855 8.855 8.855 8.855 0 8.855
2015-06-08 8.855 8.855 8.855 8.855 0 8.855
2015-06-09 8.855 8.855 8.855 8.855 0 8.855
2015-06-10 8.855 8.855 8.855 8.855 0 8.855
2015-06-11 8.855 8.855 8.855 8.855 0 8.855
2015-06-12 8.855 8.855 8.855 8.855 0 8.855
2015-06-15 8.855 8.855 8.855 8.855 0 8.855
2015-06-16 8.855 8.855 8.855 8.855 0 8.855
2015-06-17 8.855 8.855 8.855 8.855 0 8.855
2015-06-18 8.855 8.855 8.855 8.855 0 8.855
2015-06-19 8.855 8.855 8.855 8.855 0 8.855
2015-06-22 8.855 8.855 8.855 8.855 0 8.855
2015-06-23 8.9 8.9 8.5 8.5 6700 8.5
2015-06-24 8.5 8.5 8.5 8.5 0 8.5
2015-06-25 8.5 8.5 8.5 8.5 0 8.5
2015-06-26 8.5 8.5 8.5 8.5 0 8.5
2015-06-29 8.5 8.5 8.5 8.5 0 8.5
2015-06-30 8.5 8.5 8.5 8.5 0 8.5
2015-07-01 8.5 8.5 8.5 8.5 0 8.5
2015-07-02 8.5 8.5 8.5 8.5 0 8.5
2015-07-03 8.5 8.5 8.5 8.5 0 8.5
2015-07-06 8.5 8.5 8.5 8.5 0 8.5
2015-07-07 8.5 8.5 8.5 8.5 0 8.5
2015-07-08 8.5 8.5 8.5 8.5 0 8.5
2015-07-09 8.5 8.5 8.5 8.5 0 8.5
2015-07-10 8.5 8.5 8.5 8.5 0 8.5
2015-07-13 8.5 8.5 8.5 8.5 0 8.5
2015-07-14 8.5 8.5 8.5 8.5 0 8.5
2015-07-15 8.5 8.5 8.5 8.5 0 8.5
2015-07-16 8.5 8.5 8.5 8.5 0 8.5
2015-07-17 8.5 8.5 8.5 8.5 0 8.5
2015-07-20 8.5 8.5 8.5 8.5 0 8.5
2015-07-21 8.5 8.5 8.5 8.5 0 8.5
2015-07-22 8.5 8.5 8.5 8.5 0 8.5
2015-07-23 8.5 8.5 8.5 8.5 0 8.5
2015-07-24 8.5 8.5 8.5 8.5 0 8.5
2015-07-27 8.5 8.5 8.5 8.5 0 8.5
2015-07-28 8.5 8.5 8.5 8.5 0 8.5
2015-07-29 8.5 8.5 8.5 8.5 0 8.5
2015-07-30 8.5 8.5 8.5 8.5 0 8.5
2015-07-31 8.5 8.5 8.5 8.5 0 8.5
2015-08-03 8.5 8.5 8.5 8.5 0 8.5
2015-08-04 8.5 8.5 8.5 8.5 0 8.5
2015-08-05 8.5 8.5 8.5 8.5 0 8.5
2015-08-06 8.5 8.5 8.5 8.5 0 8.5
2015-08-07 8.5 8.5 8.5 8.5 0 8.5
2015-08-10 8.5 8.5 8.5 8.5 0 8.5
2015-08-11 7.415 7.415 7.415 7.415 300 7.415
2015-08-12 7.415 7.415 7.415 7.415 0 7.415
2015-08-13 7.415 7.415 7.415 7.415 0 7.415
2015-08-14 7.415 7.415 7.415 7.415 0 7.415
2015-08-17 7.415 7.415 7.415 7.415 0 7.415
2015-08-18 7.415 7.415 7.415 7.415 0 7.415
2015-08-19 7.415 7.415 7.415 7.415 0 7.415
2015-08-20 7.415 7.415 7.415 7.415 0 7.415
2015-08-21 7.415 7.415 7.415 7.415 0 7.415
2015-08-24 7.415 7.415 7.415 7.415 0 7.415
2015-08-25 7.415 7.415 7.415 7.415 0 7.415
2015-08-26 7.415 7.415 7.415 7.415 0 7.415
2015-08-27 7.415 7.415 7.415 7.415 0 7.415
2015-08-28 7.415 7.415 7.415 7.415 0 7.415
2015-08-31 7.415 7.415 7.415 7.415 0 7.415
2015-09-01 7.415 7.415 7.415 7.415 0 7.415
2015-09-02 7.415 7.415 7.415 7.415 0 7.415
2015-09-03 7.415 7.415 7.415 7.415 0 7.415
2015-09-04 7.415 7.415 7.415 7.415 0 7.415
2015-09-07 7.415 7.415 7.415 7.415 0 7.415
2015-09-08 7.415 7.415 7.415 7.415 0 7.415
2015-09-09 7.415 7.415 7.415 7.415 0 7.415
2015-09-10 7.195 7.195 7.195 7.195 100 7.195
2015-09-11 7.195 7.195 7.195 7.195 0 7.195
2015-09-14 7.195 7.195 7.195 7.195 0 7.195
2015-09-15 7.195 7.195 7.195 7.195 0 7.195
2015-09-16 7.195 7.195 7.195 7.195 0 7.195
2015-09-17 7.195 7.195 7.195 7.195 0 7.195
2015-09-18 7.195 7.195 7.195 7.195 0 7.195
2015-09-21 7.195 7.195 7.195 7.195 0 7.195
2015-09-22 7.195 7.195 7.195 7.195 0 7.195
2015-09-23 7.195 7.195 7.195 7.195 0 7.195
2015-09-24 7.195 7.195 7.195 7.195 0 7.195
2015-09-25 6.465 6.465 6.465 6.465 500 6.465
2015-09-28 6.465 6.465 6.465 6.465 0 6.465
2015-09-29 6.465 6.465 6.465 6.465 0 6.465
2015-09-30 6.465 6.465 6.465 6.465 0 6.465
2015-10-01 6.465 6.465 6.465 6.465 0 6.465
2015-10-02 6.465 6.465 6.465 6.465 0 6.465
2015-10-05 6.465 6.465 6.465 6.465 0 6.465
2015-10-06 6.465 6.465 6.465 6.465 0 6.465
2015-10-07 6.465 6.465 6.465 6.465 0 6.465
2015-10-08 6.465 6.465 6.465 6.465 0 6.465
2015-10-09 6.465 6.465 6.465 6.465 0 6.465
2015-10-12 6.465 6.465 6.465 6.465 0 6.465
2015-10-13 6.465 6.465 6.465 6.465 0 6.465
2015-10-14 6.465 6.465 6.465 6.465 0 6.465
2015-10-15 6.465 6.465 6.465 6.465 0 6.465
2015-10-16 6.465 6.465 6.465 6.465 0 6.465
2015-10-19 6.465 6.465 6.465 6.465 0 6.465
2015-10-20 6.465 6.465 6.465 6.465 0 6.465
2015-10-21 6.465 6.465 6.465 6.465 0 6.465
2015-10-22 6.465 6.465 6.465 6.465 0 6.465
2015-10-23 6.465 6.465 6.465 6.465 0 6.465
2015-10-26 6.465 6.465 6.465 6.465 0 6.465
2015-10-27 6.465 6.465 6.465 6.465 0 6.465
2015-10-28 6.465 6.465 6.465 6.465 0 6.465
2015-10-29 6.465 6.465 6.465 6.465 0 6.465
2015-10-30 6.465 6.465 6.465 6.465 0 6.465
