"Index" "UI.Open" "UI.High" "UI.Low" "UI.Close" "UI.Volume" "UI.Adjusted"
2013-08-16 0.21 0.21 0.21 0.21 0 0.21
2013-08-19 0.21 0.21 0.21 0.21 2000 0.21
2013-08-20 0.22 0.24 0.22 0.24 55000 0.24
2013-08-21 0.24 0.24 0.24 0.24 0 0.24
2013-08-22 0.24 0.24 0.24 0.24 15000 0.24
2013-08-23 0.24 0.24 0.24 0.24 0 0.24
2013-08-26 0.24 0.24 0.24 0.24 0 0.24
2013-08-27 0.24 0.24 0.24 0.24 0 0.24
2013-08-28 0.18 0.18 0.18 0.18 20500 0.18
2013-08-29 0.18 0.18 0.18 0.18 0 0.18
2013-08-30 0.2 0.21 0.15 0.15 22000 0.15
2013-09-02 0.15 0.15 0.15 0.15 0 0.15
2013-09-03 0.25 0.25 0.25 0.25 2000 0.25
2013-09-04 0.25 0.25 0.25 0.25 0 0.25
2013-09-05 0.15 0.2 0.13 0.2 39000 0.2
2013-09-06 0.2 0.2 0.2 0.2 16000 0.2
2013-09-09 0.2 0.2 0.2 0.2 0 0.2
2013-09-10 0.2 0.2 0.2 0.2 0 0.2
2013-09-11 0.2 0.2 0.2 0.2 0 0.2
2013-09-12 0.2 0.2 0.2 0.2 0 0.2
2013-09-13 0.2 0.2 0.2 0.2 0 0.2
2013-09-16 0.2 0.2 0.155 0.155 4700 0.155
2013-09-17 0.16 0.16 0.16 0.16 4000 0.16
2013-09-18 0.16 0.16 0.155 0.155 4000 0.155
2013-09-19 0.16 0.16 0.155 0.155 4000 0.155
2013-09-20 0.195 0.195 0.195 0.195 2500 0.195
2013-09-23 0.16 0.16 0.15 0.15 21500 0.15
2013-09-24 0.15 0.15 0.15 0.15 2000 0.15
2013-09-25 0.14 0.14 0.12 0.15 4000 0.15
2013-09-26 0.15 0.15 0.15 0.15 0 0.15
2013-09-27 0.15 0.15 0.15 0.15 0 0.15
2013-09-30 0.15 0.25 0.15 0.25 44000 0.25
2013-10-01 0.35 0.35 0.35 0.35 2000 0.35
2013-10-02 0.35 0.35 0.35 0.35 0 0.35
2013-10-03 0.35 0.35 0.35 0.35 0 0.35
2013-10-04 0.3 0.3 0.3 0.3 1000 0.3
2013-10-07 0.3 0.3 0.3 0.3 0 0.3
2013-10-08 0.3 0.3 0.3 0.3 0 0.3
2013-10-09 0.3 0.3 0.3 0.3 0 0.3
2013-10-10 0.3 0.3 0.3 0.3 0 0.3
2013-10-11 0.3 0.3 0.3 0.3 0 0.3
2013-10-14 0.3 0.3 0.3 0.3 0 0.3
2013-10-15 0.3 0.3 0.3 0.3 0 0.3
2013-10-16 0.3 0.3 0.3 0.3 0 0.3
2013-10-17 0.23 0.24 0.23 0.24 1000 0.24
2013-10-18 0.24 0.24 0.24 0.24 0 0.24
2013-10-21 0.24 0.24 0.24 0.24 0 0.24
2013-10-22 0.24 0.24 0.24 0.24 0 0.24
2013-10-23 0.155 0.155 0.105 0.155 19500 0.155
2013-10-24 0.125 0.125 0.125 0.125 8000 0.125
2013-10-25 0.2 0.2 0.2 0.2 900 0.2
2013-10-28 0.225 0.235 0.225 0.235 5000 0.235
2013-10-29 0.235 0.235 0.235 0.235 0 0.235
2013-10-30 0.15 0.15 0.15 0.15 2000 0.15
2013-10-31 0.24 0.24 0.24 0.24 1000 0.24
2013-11-01 0.18 0.235 0.18 0.235 67500 0.235
2013-11-04 0.17 0.17 0.17 0.17 4000 0.17
2013-11-05 0.235 0.235 0.235 0.235 500 0.235
2013-11-06 0.235 0.235 0.235 0.235 0 0.235
2013-11-07 0.235 0.235 0.235 0.235 0 0.235
2013-11-08 0.235 0.235 0.235 0.235 0 0.235
2013-11-11 0.235 0.235 0.235 0.235 0 0.235
2013-11-12 0.235 0.235 0.235 0.235 0 0.235
2013-11-13 0.235 0.235 0.235 0.235 0 0.235
2013-11-14 0.235 0.235 0.235 0.235 0 0.235
2013-11-15 0.235 0.235 0.235 0.235 0 0.235
2013-11-18 0.22 0.24 0.22 0.24 50000 0.24
2013-11-19 0.25 0.25 0.25 0.25 500 0.25
2013-11-20 0.25 0.25 0.25 0.25 0 0.25
2013-11-21 0.25 0.25 0.25 0.25 0 0.25
2013-11-22 0.25 0.25 0.25 0.25 0 0.25
2013-11-25 0.25 0.25 0.25 0.25 0 0.25
2013-11-26 0.25 0.25 0.25 0.25 0 0.25
2013-11-27 0.25 0.25 0.25 0.25 0 0.25
2013-11-28 0.25 0.25 0.25 0.25 0 0.25
2013-11-29 0.25 0.25 0.25 0.25 0 0.25
2013-12-02 0.25 0.25 0.25 0.25 9000 0.25
2013-12-03 0.25 0.25 0.25 0.25 0 0.25
2013-12-04 0.25 0.25 0.25 0.25 0 0.25
2013-12-05 0.25 0.25 0.25 0.25 0 0.25
2013-12-06 0.2 0.2 0.2 0.2 79000 0.2
2013-12-09 0.2 0.2 0.2 0.2 0 0.2
2013-12-10 0.2 0.2 0.2 0.2 0 0.2
2013-12-11 0.2 0.2 0.2 0.2 0 0.2
2013-12-12 0.2 0.2 0.2 0.2 0 0.2
2013-12-13 0.2 0.2 0.2 0.2 0 0.2
2013-12-16 0.2 0.2 0.2 0.2 0 0.2
2013-12-17 0.2 0.2 0.2 0.2 0 0.2
2013-12-18 0.2 0.2 0.2 0.2 0 0.2
2013-12-19 0.2 0.2 0.2 0.2 0 0.2
2013-12-20 0.23 0.23 0.23 0.23 12500 0.23
2013-12-23 0.23 0.23 0.23 0.23 0 0.23
2013-12-24 0.23 0.23 0.23 0.23 0 0.23
2013-12-25 0.23 0.23 0.23 0.23 0 0.23
2013-12-26 0.23 0.23 0.23 0.23 0 0.23
2013-12-27 0.23 0.23 0.23 0.23 0 0.23
2013-12-30 0.23 0.23 0.23 0.23 0 0.23
2013-12-31 0.23 0.23 0.23 0.23 0 0.23
2014-01-01 0.23 0.23 0.23 0.23 0 0.23
2014-01-02 0.23 0.23 0.23 0.23 0 0.23
2014-01-03 0.23 0.23 0.23 0.23 0 0.23
2014-01-06 0.23 0.23 0.23 0.23 0 0.23
2014-01-07 0.23 0.23 0.23 0.23 0 0.23
2014-01-08 0.23 0.23 0.23 0.23 0 0.23
2014-01-09 0.23 0.23 0.23 0.23 0 0.23
2014-01-10 0.23 0.23 0.23 0.23 0 0.23
2014-01-13 0.23 0.23 0.23 0.23 0 0.23
2014-01-14 0.23 0.23 0.23 0.23 0 0.23
2014-01-15 0.23 0.23 0.23 0.23 0 0.23
2014-01-16 0.23 0.23 0.23 0.23 0 0.23
2014-01-17 0.23 0.23 0.23 0.23 0 0.23
2014-01-20 0.23 0.23 0.23 0.23 0 0.23
2014-01-21 0.2 0.2 0.2 0.2 1000 0.2
2014-01-22 0.2 0.2 0.2 0.2 0 0.2
2014-01-23 0.2 0.2 0.2 0.2 0 0.2
2014-01-24 0.2 0.2 0.2 0.2 5000 0.2
2014-01-27 0.2 0.2 0.2 0.2 5000 0.2
2014-01-28 0.2 0.2 0.2 0.2 2000 0.2
2014-01-29 0.2 0.2 0.2 0.2 0 0.2
2014-01-30 0.2 0.2 0.2 0.2 0 0.2
2014-01-31 0.2 0.2 0.2 0.2 5000 0.2
2014-02-03 0.2 0.2 0.2 0.2 0 0.2
2014-02-04 0.2 0.2 0.2 0.2 32600 0.2
2014-02-05 0.2 0.2 0.2 0.2 0 0.2
2014-02-06 0.2 0.2 0.2 0.2 0 0.2
2014-02-07 0.2 0.2 0.2 0.2 0 0.2
2014-02-10 0.2 0.2 0.2 0.2 42000 0.2
2014-02-11 0.2 0.2 0.2 0.2 0 0.2
2014-02-12 0.2 0.2 0.2 0.2 1800 0.2
2014-02-13 0.2 0.2 0.2 0.2 7600 0.2
2014-02-14 0.2 0.2 0.2 0.2 0 0.2
2014-02-17 0.2 0.2 0.2 0.2 0 0.2
2014-02-18 0.2 0.2 0.2 0.2 8600 0.2
2014-02-19 0.2 0.2 0.2 0.2 0 0.2
2014-02-20 0.2 0.2 0.2 0.2 0 0.2
2014-02-21 0.2 0.2 0.2 0.2 0 0.2
2014-02-24 0.2 0.2 0.2 0.2 2000 0.2
2014-02-25 0.2 0.2 0.2 0.2 0 0.2
2014-02-26 0.2 0.2 0.2 0.2 0 0.2
2014-02-27 0.2 0.2 0.2 0.2 0 0.2
2014-02-28 0.2 0.2 0.2 0.2 0 0.2
2014-03-03 0.2 0.2 0.2 0.2 500 0.2
2014-03-04 0.2 0.2 0.2 0.2 0 0.2
2014-03-05 0.2 0.2 0.2 0.2 0 0.2
2014-03-06 0.2 0.2 0.2 0.2 8600 0.2
2014-03-07 0.2 0.2 0.2 0.2 0 0.2
2014-03-10 0.2 0.2 0.2 0.2 0 0.2
2014-03-11 0.2 0.2 0.2 0.2 0 0.2
