"Index" "XER.Open" "XER.High" "XER.Low" "XER.Close" "XER.Volume" "XER.Adjusted"
2014-02-06 7.581 7.581 7.581 7.581 0 7.332
2014-02-07 7.58 7.58 7.58 7.58 0 7.331
2014-02-10 7.601 7.601 7.601 7.601 0 7.351
2014-02-11 7.577 7.577 7.577 7.577 0 7.328
2014-02-12 7.708 7.708 7.708 7.708 0 7.455
2014-02-13 7.786 7.786 7.786 7.786 0 7.53
2014-02-14 7.839 7.839 7.839 7.839 0 7.582
2014-02-17 7.787 7.787 7.787 7.787 0 7.531
2014-02-18 7.78 7.78 7.78 7.78 0 7.524
2014-02-19 7.751 7.751 7.751 7.751 0 7.496
2014-02-20 7.729 7.729 7.729 7.729 0 7.475
2014-02-21 7.79 7.79 7.79 7.79 0 7.534
2014-02-24 7.777 7.777 7.777 7.777 0 7.522
2014-02-25 7.806 7.806 7.806 7.806 0 7.55
2014-02-26 7.726 7.726 7.726 7.726 0 7.472
2014-02-27 7.814 7.814 7.814 7.814 0 7.557
2014-02-28 7.98 7.98 7.98 7.98 0 7.718
2014-03-03 7.935 7.935 7.935 7.935 0 7.674
2014-03-04 7.862 7.862 7.862 7.862 0 7.604
2014-03-05 8.016 8.016 8.016 8.016 0 7.753
2014-03-06 7.915 7.915 7.915 7.915 0 7.655
2014-03-07 7.96 7.96 7.96 7.96 0 7.699
2014-03-10 7.838 7.838 7.838 7.838 0 7.581
2014-03-11 7.786 7.786 7.786 7.786 0 7.53
2014-03-12 7.705 7.705 7.705 7.705 0 7.452
2014-03-13 7.703 7.703 7.703 7.703 0 7.45
2014-03-14 7.612 7.612 7.612 7.612 0 7.362
2014-03-17 7.589 7.589 7.589 7.589 0 7.34
2014-03-18 7.662 7.662 7.662 7.662 0 7.41
2014-03-19 7.753 7.753 7.753 7.753 0 7.498
2014-03-20 7.714 7.714 7.714 7.714 0 7.461
2014-03-21 7.909 7.909 7.909 7.909 0 7.649
2014-03-24 8.078 8.078 8.078 8.078 0 7.813
2014-03-25 7.898 7.898 7.898 7.898 0 7.639
2014-03-26 7.962 7.962 7.962 7.962 0 7.7
2014-03-27 7.83 7.83 7.83 7.83 0 7.633
2014-03-28 7.9 7.9 7.9 7.9 0 7.701
2014-03-31 8.002 8.002 8.002 8.002 0 7.8
2014-04-01 8.162 8.162 8.162 8.162 0 7.956
2014-04-02 8.245 8.245 8.245 8.245 0 8.037
2014-04-03 8.316 8.316 8.316 8.316 0 8.106
2014-04-04 8.544 8.544 8.544 8.544 0 8.329
2014-04-07 8.333 8.333 8.333 8.333 0 8.123
2014-04-08 8.275 8.275 8.275 8.275 0 8.067
2014-04-09 8.289 8.289 8.289 8.289 0 8.08
2014-04-10 8.257 8.257 8.257 8.257 0 8.049
2014-04-11 8.1 8.1 8.1 8.1 0 7.896
2014-04-14 7.845 7.845 7.845 7.845 0 7.647
2014-04-15 8.174 8.174 8.174 8.174 0 7.968
2014-04-16 8.139 8.139 8.139 8.139 0 7.934
2014-04-17 8.269 8.269 8.269 8.269 0 8.061
2014-04-18 8.269 8.269 8.269 8.269 0 8.061
2014-04-21 8.269 8.269 8.269 8.269 0 8.061
2014-04-22 8.274 8.274 8.274 8.274 0 8.066
2014-04-23 8.335 8.335 8.335 8.335 0 8.125
2014-04-24 8.614 8.614 8.614 8.614 0 8.397
2014-04-25 8.625 8.625 8.625 8.625 0 8.408
2014-04-28 8.451 8.451 8.451 8.451 0 8.238
2014-04-29 8.61 8.61 8.61 8.61 0 8.393
2014-04-30 8.731 8.731 8.731 8.731 0 8.511
2014-05-01 8.731 8.731 8.731 8.731 0 8.511
