"Index" "MAE.Open" "MAE.High" "MAE.Low" "MAE.Close" "MAE.Volume" "MAE.Adjusted"
2013-12-26 0.26 0.26 0.26 0.26 0 260
2013-12-27 0.26 0.26 0.26 0.26 0 260
2013-12-30 0.26 0.26 0.26 0.26 0 260
2013-12-31 0.26 0.26 0.26 0.26 0 260
2014-01-01 0.26 0.26 0.26 0.26 0 260
2014-01-02 0.26 0.26 0.26 0.26 0 260
2014-01-03 0.26 0.26 0.26 0.26 0 260
2014-01-06 0.26 0.26 0.26 0.26 0 260
2014-01-07 0.26 0.26 0.26 0.26 0 260
2014-01-08 0.26 0.26 0.26 0.26 0 260
2014-01-09 0.26 0.26 0.26 0.26 0 260
2014-01-10 0.26 0.26 0.26 0.26 0 260
2014-01-13 0.26 0.26 0.26 0.26 0 260
2014-01-14 0.26 0.26 0.26 0.26 0 260
2014-01-15 0.26 0.26 0.26 0.26 0 260
2014-01-16 0.26 0.26 0.26 0.26 0 260
2014-01-17 0.26 0.26 0.26 0.26 0 260
2014-01-20 0.25 0.25 0.25 0.25 20000 250
2014-01-21 0.25 0.25 0.25 0.25 0 250
2014-01-22 0.25 0.25 0.25 0.25 0 250
2014-01-23 0.25 0.25 0.25 0.25 0 250
2014-01-24 0.25 0.25 0.25 0.25 0 250
2014-01-27 0.25 0.25 0.25 0.25 0 250
2014-01-28 0.25 0.25 0.25 0.25 0 250
2014-01-29 0.25 0.25 0.25 0.25 0 250
2014-01-30 0.25 0.25 0.25 0.25 0 250
2014-01-31 0.25 0.25 0.25 0.25 0 250
2014-02-03 0.25 0.25 0.25 0.25 0 250
2014-02-04 0.25 0.25 0.25 0.25 8000 250
2014-02-05 0.25 0.25 0.25 0.25 7000 250
2014-02-06 0.25 0.25 0.25 0.25 0 250
2014-02-07 0.25 0.25 0.25 0.25 0 250
2014-02-10 0.25 0.25 0.25 0.25 0 250
2014-02-11 0.28 0.28 0.28 0.28 28000 280
2014-02-12 0.28 0.28 0.28 0.28 0 280
2014-02-13 0.28 0.28 0.28 0.28 0 280
2014-02-14 0.28 0.28 0.28 0.28 0 280
2014-02-17 0.28 0.28 0.28 0.28 0 280
2014-02-18 0.25 0.25 0.23 0.23 13000 230
2014-02-19 0.23 0.23 0.23 0.23 9500 230
2014-02-20 0.28 0.28 0.28 0.28 6500 280
2014-02-21 0.28 0.28 0.28 0.28 0 280
2014-02-24 0.28 0.28 0.28 0.28 0 280
2014-02-25 0.28 0.28 0.28 0.28 0 280
2014-02-26 0.28 0.28 0.28 0.28 0 280
2014-02-27 0.28 0.28 0.28 0.28 0 280
2014-02-28 0.28 0.28 0.28 0.28 0 280
2014-03-03 0.28 0.28 0.28 0.28 0 280
2014-03-04 0.28 0.28 0.28 0.28 0 280
2014-03-05 0.28 0.28 0.28 0.28 0 280
2014-03-06 0.28 0.28 0.28 0.28 0 280
2014-03-07 0.28 0.28 0.28 0.28 0 280
2014-03-10 0.38 0.38 0.38 0.38 500 380
2014-03-11 0.38 0.38 0.38 0.38 0 380
2014-03-12 0.38 0.38 0.38 0.38 2600 380
2014-03-13 0.325 0.325 0.32 0.32 102000 320
2014-03-14 0.32 0.32 0.32 0.32 0 320
2014-03-17 0.32 0.32 0.32 0.32 0 320
2014-03-18 0.335 0.34 0.335 0.34 17000 340
2014-03-19 0.34 0.34 0.34 0.34 0 340
2014-03-20 0.34 0.34 0.34 0.34 0 340
2014-03-21 0.34 0.34 0.34 0.34 0 340
2014-03-24 0.34 0.34 0.34 0.34 0 340
2014-03-25 0.32 0.32 0.28 0.28 30000 280
2014-03-26 0.28 0.28 0.28 0.28 0 280
2014-03-27 0.28 0.28 0.28 0.28 0 280
2014-03-28 0.305 0.305 0.3 0.3 30000 300
2014-03-31 0.3 0.3 0.3 0.3 500 300
2014-04-01 0.315 0.315 0.315 0.315 5500 315
2014-04-02 0.315 0.315 0.315 0.315 0 315
2014-04-03 0.315 0.315 0.315 0.315 0 315
2014-04-04 0.315 0.315 0.315 0.315 0 315
2014-04-07 0.315 0.315 0.315 0.315 0 315
2014-04-08 0.315 0.315 0.315 0.315 0 315
2014-04-09 0.315 0.315 0.315 0.315 0 315
2014-04-10 0.315 0.315 0.315 0.315 0 315
2014-04-11 0.3 0.3 0.3 0.3 6500 300
2014-04-14 0.3 0.3 0.3 0.3 0 300
2014-04-15 0.3 0.3 0.3 0.3 3500 300
2014-04-16 0.28 0.28 0.28 0.28 15000 280
2014-04-17 0.28 0.28 0.28 0.28 0 280
2014-04-18 0.28 0.28 0.28 0.28 0 280
2014-04-21 0.28 0.28 0.28 0.28 0 280
2014-04-22 0.28 0.28 0.28 0.28 0 280
2014-04-23 0.28 0.28 0.28 0.28 0 280
