"Index" "PZ.Open" "PZ.High" "PZ.Low" "PZ.Close" "PZ.Volume" "PZ.Adjusted"
2014-01-16 37 37.72 37 37.72 575900 35.757
2014-01-17 37.72 38.15 37.72 38.15 1346200 36.165
2014-01-20 38.15 38.15 37.55 37.55 1562400 35.596
2014-01-21 37.55 38 37.55 38 815100 36.023
2014-01-22 38 38.99 37.95 38 1981300 36.023
2014-01-23 38 38 37.52 37.89 893200 35.918
2014-01-24 37.89 38 37.89 38 1706900 36.023
2014-01-27 38 38 37.85 38 714200 36.023
2014-01-28 38 38 37.56 37.56 431600 35.605
2014-01-29 37.56 37.56 37.56 37.56 389100 35.605
2014-01-30 37.56 38 37.5 37.7 1062400 35.738
2014-01-31 37.7 38 37.7 38 1234300 36.023
2014-02-03 38 38 38 38 715500 36.212
2014-02-04 38 38 38 38 525600 36.212
2014-02-05 38 38 38 38 453300 36.212
2014-02-06 38 38 38 38 1450400 36.212
2014-02-07 38 38 38 38 144800 36.212
2014-02-10 38 38 36.51 38 82500 36.212
2014-02-11 38 38 38 38 211800 36.212
2014-02-12 38 38 36.31 36.31 204100 34.602
2014-02-13 36.31 37.8 36.31 37 538600 35.259
2014-02-14 37 37 37 37 79300 35.259
2014-02-17 37 37 35.2 35.49 496500 33.82
2014-02-18 35.49 35.49 35.49 35.49 57600 33.82
2014-02-19 35.49 37.26 35.49 37.26 200600 35.507
2014-02-20 37.26 41.07 37.26 39.12 879100 37.28
2014-02-21 39.12 39.12 39.12 39.12 140900 37.28
2014-02-24 39.12 39.12 39.12 39.12 382000 37.28
2014-02-25 39.12 39.12 38 38 1232700 36.212
2014-02-26 38 38 38 38 380400 36.212
2014-02-27 38 38 38 38 231300 36.212
2014-02-28 38 38 38 38 0 36.212
2014-03-03 38 38 36 36 561600 34.306
2014-03-04 36 36 35.3 35.3 523800 33.639
2014-03-05 35.3 35.3 35.3 35.3 189200 33.639
2014-03-06 35.3 35.3 34.8 34.8 471100 33.163
2014-03-07 34.8 34.99 34.8 34.99 480200 33.344
2014-03-10 34.99 35.5 34.99 35.5 489600 33.83
2014-03-11 35.5 35.5 35 35 238100 33.353
2014-03-12 35 35 34 34 649300 32.4
2014-03-13 34 34 34 34 184600 32.4
2014-03-14 34 34 34 34 158000 32.4
2014-03-17 34 34 34 34 73700 32.4
2014-03-18 34 34 34 34 102100 32.4
2014-03-19 34 34 34 34 33500 32.4
2014-03-20 34 34 32.3 32.3 348400 30.78
2014-03-21 32.3 32.3 30.69 30.69 1482200 29.246
2014-03-24 30.69 30.69 30.69 30.69 76000 29.246
2014-03-25 30.69 30.69 30.69 30.69 191000 29.246
2014-03-26 30.69 31.11 30.69 31.11 470300 29.646
2014-03-27 31.11 31.11 31.1 31.1 376100 29.637
2014-03-28 31.1 31.1 30.08 31.1 186000 29.637
2014-03-31 31.1 31.1 31.1 31.1 289400 29.637
2014-04-01 31.1 31.1 31.1 31.1 284800 29.637
2014-04-02 31.1 31.1 31 31 335300 29.542
2014-04-03 31 31.03 31 31.03 539700 29.57
2014-04-04 31.03 31.03 31 31 219100 29.542
2014-04-07 31 31 31 31 182600 29.542
2014-04-08 31 32.18 31 32.18 421300 30.666
2014-04-09 32.18 33.78 32 32 916300 30.495
2014-04-10 32 32 32 32 205000 30.495
2014-04-11 32 32 32 32 105800 30.495
2014-04-14 32 32 32 32 97800 30.495
2014-04-15 32 33.45 32 33.45 596300 31.876
2014-04-16 33.45 33.45 33.45 33.45 193700 31.876
2014-04-17 33.45 33.45 33.45 33.45 191100 31.876
2014-04-18 33.45 33.45 33.45 33.45 0 31.876
2014-04-21 33.45 33.45 33.45 33.45 0 31.876
2014-04-22 33.45 35.12 33.45 35.12 132400 33.468
2014-04-23 35.12 36.2 35.12 36 712100 34.306
2014-04-24 36 36 36 36 404500 34.306
2014-04-25 36 37 36 37 720300 35.259
2014-04-28 37 37 37 37 330600 35.259
2014-04-29 37 37 36.02 36.02 369500 34.325
2014-04-30 36.02 36.02 36 36 335800 34.306
2014-05-01 36 36 36 36 0 34.306
2014-05-02 36 36 36 36 138800 34.306
2014-05-05 36 36 36 36 221200 34.306
2014-05-06 36 36 36 36 665600 34.306
2014-05-07 36 36 36 36 118000 34.306
2014-05-08 36 36 35.6 35.6 208600 33.925
2014-05-09 35.6 35.6 35.5 35.5 557700 33.83
2014-05-12 35.5 35.5 35.5 35.5 218400 33.83
2014-05-13 35.5 35.5 35.5 35.5 309400 33.83
2014-05-14 35.5 35.5 35.5 35.5 118200 33.83
2014-05-15 34.8 35.3 34.8 35.3 383900 33.639
2014-05-16 35.5 35.5 35.5 35.5 296000 33.83
2014-05-19 35.5 35.5 35.3 35.3 525800 33.639
2014-05-20 35.3 35.3 35.3 35.3 370200 33.639
2014-05-21 35.3 35.3 35.3 35.3 137100 33.639
2014-05-22 35.3 35.3 34.83 34.83 395500 33.191
2014-05-23 34.83 34.83 34.83 34.83 188300 33.191
2014-05-26 34.83 34.83 34.83 34.83 396700 33.191
2014-05-27 34.83 34.83 34.83 34.83 195900 33.191
2014-05-28 34.83 35.65 34.83 34.83 110700 33.191
2014-05-29 34.83 34.83 34.83 34.83 0 33.191
2014-05-30 34.83 36 34.83 36 449500 34.306
2014-06-02 36 36 36 36 215200 34.306
2014-06-03 36 36 36 36 443100 34.306
2014-06-04 36 36 36 36 131000 34.306
2014-06-05 36 36 36 36 223700 34.306
2014-06-06 36 36 36 36 104700 34.306
2014-06-09 36 36 36 36 240100 34.306
2014-06-10 36 36.94 36 36.94 423100 35.202
2014-06-11 36.94 36.94 36.94 36.94 94500 35.202
2014-06-12 36.94 38.5 36.94 38.5 375500 36.689
2014-06-13 38.5 38.5 38.5 38.5 138800 36.689
2014-06-16 38.5 38.5 38.5 38.5 197300 36.689
2014-06-17 38.5 38.5 38.5 38.5 107100 36.689
2014-06-18 38.5 38.5 38.5 38.5 153600 36.689
2014-06-19 38.5 38.5 38 38 484100 36.212
2014-06-20 38 38 38 38 264200 36.212
2014-06-23 38 38 36.4 36.4 261200 34.688
2014-06-24 36.4 36.4 36.4 36.4 291400 34.688
2014-06-25 36.4 36.4 34.4 34.4 769900 32.782
2014-06-26 34.4 35 34.4 35 251800 33.353
2014-06-27 35 36 35 36 278400 34.306
2014-06-30 36 37.4 36 37.4 318500 35.641
2014-07-01 37.4 37.4 37 37.4 144300 35.641
2014-07-02 37.4 37.4 36 36.55 395800 34.831
2014-07-03 36.55 36.55 36.55 36.55 119600 34.831
2014-07-04 36.55 36.55 36.55 36.55 158400 34.831
2014-07-07 36.55 36.55 36.55 36.55 166100 34.831
2014-07-08 36.55 36.55 35.21 35.8 206800 34.116
2014-07-09 35.8 36.75 35.8 36.75 331100 35.021
2014-07-10 36.75 36.75 36.75 36.75 303700 35.021
2014-07-11 36.75 36.75 36.75 36.75 291900 35.021
2014-07-14 36.75 36.75 36 36 389800 34.306
2014-07-15 36 36 36 36 329500 34.306
2014-07-16 36 36 36 36 331400 34.306
2014-07-17 36 37.99 36 37.99 468300 36.203
2014-07-18 37.99 38.5 37.99 38.5 6710600 36.689
2014-07-21 38.5 39 38.5 39 1718300 37.165
2014-07-22 39 39 39 39 1013100 37.165
2014-07-23 39 39 39 39 293700 37.165
2014-07-24 0.2 0.2 0.2 0.2 0 0.191
2014-07-25 39 39 39 39 382600 37.165
2014-07-28 0.2 0.2 0.2 0.2 0 0.191
2014-07-29 39 39 39 39 0 37.165
2014-07-30 39 39 39 39 3100 37.165
2014-07-31 39 39 39 39 20000 37.165
2014-08-01 39 39 39 39 400 37.165
2014-08-04 39 39 37.37 37.37 224200 35.612
2014-08-05 37.95 37.95 37.95 37.95 75000 36.165
2014-08-06 37.75 37.75 37.75 37.75 5000 35.974
2014-08-07 37.97 37.97 37.97 37.97 6000 36.184
2014-08-08 37.97 37.97 37.97 37.97 1200 36.184
2014-08-11 37.97 37.97 37.97 37.97 19400 36.184
