"Index" "EVC.Open" "EVC.High" "EVC.Low" "EVC.Close" "EVC.Volume" "EVC.Adjusted"
2014-04-30 5.23 5.35 5.17 5.31 654600 5.18501
2014-05-01 5.32 5.49 5.24 5.41 439400 5.282656
2014-05-02 5.44 5.48 5.38 5.42 330600 5.292421
2014-05-05 5.41 5.48 5.31 5.44 273100 5.31195
2014-05-06 5.41 5.43 5.25 5.28 462800 5.155717
2014-05-07 5.29 5.32 5.16 5.3 389200 5.175246
2014-05-08 5.27 5.34 4.95 5.06 1011700 4.940895
2014-05-09 4.85 5.32 4.27 5.25 636600 5.126423
2014-05-12 5.25 5.8 5.25 5.77 906400 5.634183
2014-05-13 5.73 5.74 5.29 5.32 714100 5.194775
2014-05-14 5.33 5.33 5.11 5.16 622100 5.038541
2014-05-15 5.11 5.21 5.01 5.19 548900 5.067835
2014-05-16 5.21 5.32 5.14 5.3 386900 5.175246
2014-05-19 5.31 5.42 5.21 5.3 319500 5.175246
2014-05-20 5.31 5.31 5.06 5.17 439300 5.048306
2014-05-21 5.22 5.33 5.15 5.21 260500 5.087364
2014-05-22 5.24 5.31 5.21 5.21 284600 5.087364
2014-05-23 5.23 5.35 5.16 5.24 408900 5.116658
2014-05-27 5.32 5.38 5.18 5.22 534500 5.097129
2014-05-28 5.23 5.32 5.09 5.25 724900 5.126423
2014-05-29 5.29 5.29 5.09 5.16 634200 5.038541
2014-05-30 5.2 5.38 5.15 5.36 885400 5.233834
2014-06-02 5.3 5.42 5.19 5.29 391800 5.165481
2014-06-03 5.23 5.3 5.17 5.25 394200 5.126423
2014-06-04 5.19 5.28 5.15 5.28 339600 5.155717
2014-06-05 5.31 5.38 5.16 5.37 426700 5.243598
2014-06-06 5.37 5.51 5.32 5.48 433800 5.351009
2014-06-09 5.55 5.74 5.55 5.66 514600 5.526772
2014-06-10 5.62 5.7 5.45 5.66 875400 5.526772
2014-06-11 5.7 5.82 5.51 5.56 562800 5.453212
2014-06-12 5.57 5.58 5.35 5.44 356300 5.335517
2014-06-13 5.48 5.5 5.31 5.36 352600 5.257054
2014-06-16 5.35 5.45 5.31 5.43 319600 5.325709
2014-06-17 5.44 5.45 5.3 5.41 439000 5.306093
2014-06-18 5.43 5.55 5.37 5.51 377300 5.404173
