"Index" "MDB.Open" "MDB.High" "MDB.Low" "MDB.Close" "MDB.Volume" "MDB.Adjusted"
2014-06-16 479 479 473 479 400 479
2014-06-17 475 475 462 475 700 475
2014-06-18 475 475 473 475 300 475
2014-06-19 471 471 466 471 100 471
2014-06-23 462 462 462 462 0 462
2014-06-24 475 475 471 475 100 475
2014-06-25 485 485 484 485 100 485
2014-06-26 480 480 480 480 200 480
2014-06-30 466 466 466 466 2300 466
2014-07-01 471 471 465 471 1000 471
2014-07-02 489 489 475 489 1000 489
2014-07-03 462 462 462 462 400 462
2014-07-07 485 485 475 485 100 485
2014-07-08 498 498 480 498 400 498
2014-07-09 498 498 480 498 400 498
2014-07-10 485 485 480 485 200 485
2014-07-14 481 481 481 481 100 481
2014-07-15 499 499 490 499 500 499
2014-07-16 490 490 490 490 1300 490
2014-07-17 490 490 490 490 1300 490
2014-07-21 529 529 505 529 400 529
2014-07-22 525 525 519 525 800 525
2014-07-23 536 536 506 536 500 536
2014-07-24 530 530 530 530 900 530
2014-07-28 577 577 555 577 100 577
2014-07-29 577 577 577 577 0 577
2014-07-30 574 574 574 574 2000 574
2014-07-31 575 575 565 575 500 575
2014-08-04 530 530 530 530 600 530
2014-08-05 551 551 525 551 200 551
2014-08-06 550 550 540 550 300 550
2014-08-07 545 545 540 545 200 545
2014-08-11 545 545 545 545 0 545
2014-08-12 540 540 540 540 0 540
2014-08-13 540 540 540 540 0 540
2014-08-14 530 530 519 530 1100 530
2014-08-18 501 501 501 501 800 501
2014-08-19 501 501 500 501 0 501
2014-08-20 492 492 492 492 300 492
2014-08-21 495 495 474 495 600 495
2014-08-25 454 454 454 454 500 454
2014-08-26 462 462 462 462 500 462
2014-08-27 480 480 469 480 700 480
2014-08-28 481 481 477 481 400 481
2014-09-01 460 460 460 460 700 460
2014-09-02 460 460 460 460 0 460
2014-09-03 461 461 460 461 0 461
2014-09-04 442 442 442 442 700 442
2014-09-08 442 442 442 442 0 442
2014-09-09 445 445 421 445 400 445
2014-09-10 441 441 441 441 0 441
2014-09-11 423 423 411 423 800 423
2014-09-15 452 452 421 452 400 452
2014-09-16 483 483 461 483 200 483
2014-09-17 500 500 465 500 900 500
2014-09-18 483 483 480 483 200 483
2014-09-22 455 455 451 455 400 455
2014-09-23 455 455 455 455 200 455
2014-09-24 455 455 454 455 200 455
2014-09-25 455 455 455 455 0 455
2014-09-29 452 452 445 452 300 452
2014-09-30 460 460 455 460 200 460
2014-10-01 460 460 460 460 0 460
2014-10-02 460 460 460 460 0 460
2014-10-06 460 460 460 460 0 460
2014-10-07 460 460 460 460 0 460
2014-10-08 461 461 452 461 100 461
2014-10-09 464 464 460 464 0 464
2014-10-13 464 464 464 464 0 464
2014-10-14 490 490 490 490 0 490
2014-10-15 472 472 472 472 300 472
2014-10-16 470 470 457 470 600 470
2014-10-20 461 461 461 461 0 461
2014-10-21 470 470 470 470 0 470
2014-10-22 460 460 460 460 100 460
2014-10-23 460 460 460 460 0 460
2014-10-27 460 460 460 460 0 460
2014-10-28 460 460 460 460 0 460
2014-10-29 460 460 460 460 0 460
2014-10-30 460 460 460 460 0 460
2014-11-03 445 445 445 445 0 445
2014-11-04 454 454 452 454 900 454
2014-11-05 463 463 463 463 0 463
2014-11-06 450 450 450 450 500 450
2014-11-10 446 446 446 446 0 446
2014-11-11 446 446 446 446 0 446
2014-11-12 453 453 446 453 100 453
2014-11-13 446 446 445 446 100 446
2014-11-17 412 412 411 412 200 412
2014-11-18 415 415 415 415 100 415
2014-11-19 423 423 420 423 100 423
2014-11-20 435 435 431 435 0 435
2014-11-24 451 451 451 451 0 451
2014-11-25 460 460 451 460 800 460
2014-11-26 460 460 460 460 0 460
2014-11-27 460 460 460 460 0 460
2014-12-01 460 460 460 460 0 460
2014-12-02 460 460 460 460 0 460
2014-12-03 460 460 460 460 0 460
2014-12-04 436 436 436 436 100 436
2014-12-08 424 424 424 424 200 424
2014-12-09 424 424 424 424 0 424
2014-12-10 441 441 433 441 200 441
2014-12-11 425 425 425 425 100 425
2014-12-15 467 467 433 467 200 467
2014-12-16 434 434 425 434 4800 434
2014-12-17 442 442 436 442 200 442
2014-12-18 445 445 445 445 0 445
2014-12-22 440 440 436 440 300 440
2014-12-23 433 433 425 433 400 433
2014-12-24 439 439 425 439 100 439
2014-12-25 439 439 439 439 0 439
2014-12-29 465 465 465 465 4000 465
2014-12-30 465 465 465 465 0 465
2014-12-31 366 366 366 366 100 366
2015-01-01 387 387 373 387 0 387
2015-01-05 410 410 405 410 0 410
2015-01-06 402 402 402 402 1000 402
2015-01-07 410 410 410 410 0 410
2015-01-08 426 426 418 426 0 426
2015-01-12 425 425 425 425 1500 425
2015-01-13 432 432 425 432 100 432
2015-01-14 456 456 435 456 100 456
2015-01-15 456 456 456 456 0 456
2015-01-19 465 465 460 465 700 465
2015-01-20 483 483 464 483 1200 483
2015-01-21 483 483 483 483 0 483
2015-01-22 474 474 474 474 0 474
2015-01-26 482 482 482 482 0 482
2015-01-27 492 492 491 492 1500 492
2015-01-28 492 492 485 492 200 492
2015-01-29 485 485 485 485 0 485
2015-02-02 490 490 490 490 100 490
2015-02-03 502 502 495 502 300 502
2015-02-04 495 495 492 495 100 495
2015-02-05 492 492 492 492 100 492
2015-02-09 492 492 492 492 100 492
2015-02-10 520 520 492 520 700 520
2015-02-11 512 512 512 512 0 512
2015-02-12 493 493 493 493 500 493
2015-02-16 502 502 496 502 200 502
2015-02-17 502 502 502 502 0 502
2015-02-18 507 507 507 507 200 507
2015-02-19 507 507 507 507 0 507
2015-02-23 497 497 497 497 100 497
2015-02-24 497 497 497 497 0 497
2015-02-25 500 500 499 500 500 500
2015-02-26 490 490 490 490 100 490
2015-03-02 490 490 490 490 0 490
2015-03-03 473 473 473 473 0 473
2015-03-04 473 473 473 473 0 473
2015-03-05 473 473 473 473 0 473
2015-03-09 491 491 482 491 100 491
2015-03-10 518 518 500 518 1700 518
2015-03-11 508 508 508 508 200 508
2015-03-12 540 540 515 540 900 540
2015-03-16 504 504 495 504 1800 504
2015-03-17 515 515 504 515 500 515
2015-03-18 510 510 506 510 1500 510
2015-03-19 506 506 506 506 100 506
2015-03-23 506 506 506 506 0 506
2015-03-24 490 490 490 490 1200 490
2015-03-25 499 499 481 499 700 499
2015-03-26 490 490 490 490 0 490
2015-03-30 490 490 485 490 1200 490
2015-03-31 485 485 485 485 0 485
2015-04-01 481 481 481 481 400 481
2015-04-02 492 492 474 492 200 492
2015-04-06 492 492 492 492 0 492
2015-04-07 492 492 492 492 0 492
2015-04-08 492 492 492 492 0 492
2015-04-09 492 492 492 492 0 492
2015-04-13 492 492 492 492 0 492
2015-04-14 492 492 492 492 0 492
2015-04-15 490 490 490 490 900 490
2015-04-16 485 485 485 485 600 485
2015-04-20 481 481 481 481 100 481
2015-04-21 481 481 481 481 0 481
2015-04-22 481 481 481 481 0 481
2015-04-23 474 474 474 474 200 474
2015-04-27 474 474 474 474 0 474
2015-04-28 474 474 474 474 0 474
2015-04-29 474 474 474 474 0 474
2015-04-30 474 474 474 474 0 474
2015-05-04 474 474 474 474 0 474
2015-05-05 474 474 474 474 0 474
2015-05-06 474 474 474 474 0 474
2015-05-07 474 474 474 474 0 474
2015-05-11 474 474 474 474 0 474
2015-05-12 474 474 474 474 0 474
2015-05-13 474 474 474 474 0 474
2015-05-14 474 474 474 474 0 474
2015-05-18 474 474 474 474 0 474
2015-05-19 474 474 474 474 0 474
2015-05-20 474 474 474 474 0 474
2015-05-21 474 474 474 474 0 474
2015-05-25 400 400 385 400 1400 400
2015-05-26 402 402 401 402 300 402
2015-05-27 400 400 400 400 0 400
2015-05-28 400 400 400 400 0 400
2015-06-01 449 449 424 449 600 449
2015-06-02 441 441 441 441 0 441
2015-06-03 441 441 441 441 0 441
2015-06-04 441 441 441 441 0 441
2015-06-08 493 493 457 493 600 493
2015-06-09 520 520 502 520 1800 520
2015-06-10 511 511 505 511 400 511
2015-06-11 506 506 503 506 300 506
2015-06-15 491 491 488 491 300 491
2015-06-16 491 491 491 491 0 491
2015-06-17 481 481 481 481 100 481
2015-06-18 489 489 480 489 100 489
2015-06-22 489 489 489 489 0 489
2015-06-23 485 485 480 485 100 485
2015-06-24 500 500 490 500 400 500
2015-06-25 505 505 500 505 800 505
2015-06-29 510 510 500 510 300 510
2015-06-30 510 510 510 510 200 510
2015-07-01 510 510 510 510 100 510
2015-07-02 490 490 486 490 700 490
2015-07-06 489 489 472 489 800 489
2015-07-07 500 500 494 500 600 500
2015-07-08 499 499 499 499 500 499
2015-07-09 492 492 490 492 1600 492
2015-07-13 490 490 490 490 0 490
2015-07-14 499 499 486 499 900 499
2015-07-15 500 500 495 500 400 500
2015-07-16 500 500 491 500 1500 500
2015-07-20 500 500 500 500 0 500
2015-07-21 500 500 500 500 0 500
2015-07-22 510 510 495 510 1100 510
2015-07-23 514 514 513 514 400 514
2015-07-27 534 544 534 534 200 534
2015-07-28 510 530 510 510 100 510
2015-07-29 495 500 487 495 700 495
2015-07-30 492 499 490 492 400 492
2015-08-03 490 500 490 490 100 490
2015-08-04 487 500 481 487 600 487
2015-08-05 490 490 483 490 500 490
2015-08-06 490 500 485 490 500 490
2015-08-10 482 490 477 482 1000 482
2015-08-11 482 482 473 482 500 482
2015-08-12 475 480 473 475 1100 475
2015-08-13 493 493 461 493 2300 493
2015-08-17 491 491 480 491 400 491
2015-08-18 525 525 490 525 2700 525
2015-08-19 520 525 515 520 1200 520
2015-08-20 500 530 485 500 1400 500
2015-08-24 548 548 508 548 0 548
2015-08-25 548 548 548 548 0 548
2015-08-26 548 551 541 548 400 548
2015-08-27 548 548 548 548 0 548
2015-08-31 566 566 558 566 100 566
2015-09-01 560 560 560 560 0 560
2015-09-02 571 571 571 571 0 571
2015-09-07 570 570 570 570 0 570
2015-09-08 572 572 572 572 0 572
2015-09-09 627 628 583 627 800 627
2015-09-10 655 664 639 655 900 655
2015-09-14 650 660 650 650 700 650
2015-09-15 648 650 640 648 1100 648
2015-09-16 641 650 641 641 800 641
2015-09-17 635 648 635 635 1600 635
2015-09-22 623 635 623 623 700 623
2015-09-23 632 632 620 632 200 632
2015-09-29 640 644 640 640 100 640
2015-09-30 638 640 638 638 100 638
2015-10-01 650 650 650 650 100 650
2015-10-13 650 650 650 650 0 650
2015-10-19 617 617 617 617 0 617
2015-10-20 617 617 617 617 0 617
2015-10-21 617 617 617 617 0 617
2015-10-22 617 617 617 617 0 617
2015-10-26 617 617 617 617 0 617
2015-10-27 617 617 617 617 0 617
2015-10-28 617 617 617 617 0 617
2015-10-29 617 617 617 617 0 617
