"Index" "SI.Open" "SI.High" "SI.Low" "SI.Close" "SI.Volume" "SI.Adjusted"
2013-08-30 0.1 0.1 0.1 0.1 1700 0.1
2013-09-02 0.1 0.1 0.1 0.1 0 0.1
2013-09-03 0.1 0.1 0.1 0.1 0 0.1
2013-09-04 0.1 0.1 0.1 0.1 0 0.1
2013-09-05 0.1 0.1 0.1 0.1 0 0.1
2013-09-06 0.1 0.1 0.095 0.095 13000 0.095
2013-09-09 0.095 0.095 0.095 0.095 0 0.095
2013-09-10 0.095 0.095 0.095 0.095 0 0.095
2013-09-11 0.125 0.125 0.125 0.125 10000 0.125
2013-09-12 0.125 0.125 0.125 0.125 1000 0.125
2013-09-13 0.125 0.125 0.125 0.125 0 0.125
2013-09-16 0.125 0.125 0.125 0.125 0 0.125
2013-09-17 0.125 0.125 0.125 0.125 0 0.125
2013-09-18 0.115 0.115 0.115 0.115 16300 0.115
2013-09-19 0.115 0.115 0.115 0.115 79500 0.115
2013-09-20 0.115 0.115 0.115 0.115 0 0.115
2013-09-23 0.12 0.12 0.12 0.12 17400 0.12
2013-09-24 0.12 0.12 0.12 0.12 0 0.12
2013-09-25 0.12 0.12 0.12 0.12 0 0.12
2013-09-26 0.13 0.2 0.13 0.2 56700 0.2
2013-09-27 0.15 0.15 0.15 0.15 12000 0.15
2013-09-30 0.15 0.15 0.15 0.15 0 0.15
2013-10-01 0.15 0.15 0.15 0.15 12000 0.15
2013-10-02 0.15 0.15 0.15 0.15 2300 0.15
2013-10-03 0.15 0.15 0.15 0.15 48000 0.15
2013-10-04 0.15 0.15 0.15 0.15 0 0.15
2013-10-07 0.15 0.15 0.15 0.15 0 0.15
2013-10-08 0.15 0.15 0.15 0.15 0 0.15
2013-10-09 0.14 0.14 0.135 0.135 36100 0.135
2013-10-10 0.135 0.135 0.135 0.135 0 0.135
2013-10-11 0.135 0.135 0.135 0.135 0 0.135
2013-10-14 0.135 0.135 0.135 0.135 0 0.135
2013-10-15 0.135 0.135 0.135 0.135 0 0.135
2013-10-16 0.135 0.135 0.135 0.135 0 0.135
2013-10-17 0.13 0.13 0.125 0.13 30000 0.13
2013-10-18 0.125 0.125 0.105 0.105 27200 0.105
2013-10-21 0.105 0.15 0.105 0.15 110500 0.15
2013-10-22 0.15 0.15 0.15 0.15 0 0.15
2013-10-23 0.105 0.11 0.105 0.11 10800 0.11
2013-10-24 0.11 0.11 0.11 0.11 0 0.11
2013-10-25 0.11 0.11 0.11 0.11 0 0.11
2013-10-28 0.11 0.11 0.11 0.11 0 0.11
2013-10-29 0.11 0.11 0.11 0.11 0 0.11
2013-10-30 0.11 0.11 0.11 0.11 0 0.11
2013-10-31 0.11 0.11 0.11 0.11 0 0.11
2013-11-01 0.125 0.125 0.12 0.12 79500 0.12
2013-11-04 0.12 0.12 0.12 0.12 0 0.12
2013-11-05 0.12 0.12 0.12 0.12 0 0.12
2013-11-06 0.125 0.125 0.12 0.12 66800 0.12
2013-11-07 0.11 0.11 0.105 0.11 20600 0.11
2013-11-08 0.09 0.1 0.09 0.1 140000 0.1
2013-11-11 0.1 0.1 0.1 0.1 0 0.1
2013-11-12 0.1 0.1 0.1 0.1 0 0.1
2013-11-13 0.1 0.1 0.1 0.1 0 0.1
2013-11-14 0.1 0.1 0.1 0.1 0 0.1
2013-11-15 0.1 0.1 0.1 0.1 0 0.1
2013-11-18 0.1 0.1 0.1 0.1 0 0.1
2013-11-19 0.1 0.1 0.1 0.1 0 0.1
2013-11-20 0.1 0.1 0.1 0.1 0 0.1
2013-11-21 0.1 0.1 0.1 0.1 0 0.1
2013-11-22 0.1 0.1 0.1 0.1 0 0.1
2013-11-25 0.1 0.1 0.1 0.1 0 0.1
2013-11-26 0.1 0.1 0.1 0.1 0 0.1
2013-11-27 0.1 0.1 0.1 0.1 0 0.1
2013-11-28 0.1 0.1 0.1 0.1 0 0.1
2013-11-29 0.1 0.1 0.1 0.1 0 0.1
2013-12-02 0.08 0.08 0.08 0.08 600 0.08
2013-12-03 0.08 0.08 0.08 0.08 0 0.08
2013-12-04 0.1 0.1 0.1 0.1 10100 0.1
2013-12-05 0.125 0.13 0.125 0.13 18300 0.13
2013-12-06 0.13 0.13 0.13 0.13 0 0.13
2013-12-09 0.13 0.13 0.13 0.13 0 0.13
2013-12-10 0.13 0.13 0.13 0.13 0 0.13
2013-12-11 0.13 0.13 0.13 0.13 0 0.13
