"Index" "NEN.Open" "NEN.High" "NEN.Low" "NEN.Close" "NEN.Volume" "NEN.Adjusted"
2014-03-04 45.700001 46 45.700001 46 700 44.377735
2014-03-05 46 46 46 46 0 44.377735
2014-03-06 46.200001 46.200001 46.200001 46.200001 300 44.570682
2014-03-07 46.279999 46.279999 46.279999 46.279999 200 44.647859
2014-03-10 45.060001 45.529999 45.02 45.529999 1100 43.924309
2014-03-11 46 46.290001 45.5 46.290001 700 44.657508
2014-03-12 46.290001 46.290001 46.290001 46.290001 0 44.657508
2014-03-13 46.290001 46.290001 46.290001 46.290001 0 44.900003
2014-03-14 45.52 45.52 45.259998 45.470001 1500 44.104626
2014-03-17 45.259998 45.299999 45.25 45.27 1700 43.910631
2014-03-18 45.25 45.400002 45.25 45.25 1200 43.891231
2014-03-19 45.400002 45.400002 45.400002 45.400002 100 44.036728
2014-03-20 45.25 45.299999 45.25 45.299999 1200 43.939729
2014-03-21 45.279999 45.299999 45.279999 45.299999 700 43.939729
2014-03-24 45.299999 45.400002 45.25 45.389999 1900 44.027026
2014-03-25 45.389999 45.490002 45.389999 45.490002 500 44.124026
2014-03-26 45.400002 45.400002 45.400002 45.400002 200 44.036728
2014-03-27 45.5 45.5 45.27 45.27 700 43.910631
2014-03-28 45.25 45.349998 45.25 45.349998 700 43.988227
2014-03-31 45.5 45.5 45.5 45.5 600 44.133724
2014-04-01 45.5 46.5 45.5 46.25 5500 44.861203
2014-04-02 46.400002 46.849998 46.400002 46.849998 800 45.443185
2014-04-03 46.75 46.75 46.75 46.75 200 45.346189
2014-04-04 46.669998 46.669998 46.669998 46.669998 300 45.268589
2014-04-07 46.25 46.27 44.52 44.540001 3800 43.202552
2014-04-08 44.259998 45.150002 44.259998 45 1800 43.648738
2014-04-09 45.48 45.48 45 45 500 43.648738
2014-04-10 45.450001 45.450001 45.450001 45.450001 200 44.085226
2014-04-11 45.5 45.5 45.5 45.5 300 44.133724
2014-04-14 44.790001 44.790001 44.790001 44.790001 100 43.445045
2014-04-15 45.5 45.5 45.5 45.5 300 44.133724
2014-04-16 46 46 44.810001 44.810001 200 43.464445
2014-04-17 46.470001 46.470001 46.470001 46.470001 300 45.074598
2014-04-21 46 46.040001 44.75 44.799999 4200 43.454743
2014-04-22 45 45.470001 45 45.470001 700 44.104626
2014-04-23 45.459999 45.459999 45.349998 45.349998 500 43.988227
2014-04-24 45.450001 45.470001 45.450001 45.470001 200 44.104626
2014-04-25 44.810001 44.950001 44.810001 44.950001 1100 43.60024
2014-04-28 44.950001 44.950001 44.900002 44.900002 2700 43.551742
2014-04-29 44.900002 45.259998 44.900002 44.919998 1300 43.571138
2014-04-30 44.91 44.91 44.91 44.91 100 43.56144
2014-05-01 44.959999 44.959999 44.959999 44.959999 300 43.609938
2014-05-02 44.950001 45.27 44.950001 45.27 500 43.910631
2014-05-05 45.27 45.27 45.259998 45.27 800 43.910631
2014-05-06 45.220001 45.25 45.040001 45.049999 1800 43.697236
2014-05-07 45.5 45.5 45.5 45.5 300 44.133724
2014-05-08 45.5 45.5 45.5 45.5 300 44.133724
2014-05-09 45.599998 45.599998 45.5 45.5 1300 44.133724
2014-05-12 45.5 45.98 45.5 45.5 500 44.133724
2014-05-13 46.599998 46.900002 45.049999 46.09 1100 44.706008
2014-05-14 46.439999 46.5 46.259998 46.5 500 45.103696
