"Index" "HMO.Open" "HMO.High" "HMO.Low" "HMO.Close" "HMO.Volume" "HMO.Adjusted"
2014-02-03 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-02-04 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-02-05 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-02-06 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-02-07 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-02-10 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-02-11 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-02-12 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-02-13 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-02-14 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-02-17 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-02-18 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-02-19 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-02-20 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-02-21 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-02-24 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-02-25 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-02-26 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-02-27 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-02-28 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-03-03 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-03-04 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-03-05 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-03-06 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-03-07 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-03-10 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-03-11 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-03-12 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-03-13 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-03-14 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-03-17 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-03-18 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-03-19 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-03-20 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-03-21 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-03-24 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-03-25 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-03-26 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-03-27 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-03-28 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-03-31 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-04-01 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-04-02 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-04-03 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-04-04 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-04-07 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-04-08 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-04-09 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-04-10 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-04-11 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-04-14 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-04-15 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-04-16 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-04-17 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-04-18 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-04-21 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-04-22 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-04-23 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-04-24 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-04-25 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-04-28 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-04-29 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-04-30 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-05-01 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-05-02 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-05-05 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-05-06 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-05-07 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-05-08 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-05-09 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-05-12 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-05-13 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-05-14 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-05-15 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-05-16 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-05-19 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-05-20 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-05-21 3442.83 3442.83 3442.83 3442.83 0 3442.83
