"Index" "HK.Open" "HK.High" "HK.Low" "HK.Close" "HK.Volume" "HK.Adjusted"
2014-01-27 3.65 3.69 3.55 3.62 4746400 3.62
2014-01-28 3.62 3.62 3.54 3.58 3459200 3.58
2014-01-29 3.52 3.56 3.43 3.48 3453500 3.48
2014-01-30 3.49 3.54 3.36 3.42 5077500 3.42
2014-01-31 3.38 3.48 3.25 3.37 3863400 3.37
2014-02-03 3.38 3.42 3.32 3.4 3881900 3.4
2014-02-04 3.54 3.55 3.42 3.45 4287000 3.45
2014-02-05 3.45 3.45 3.31 3.39 4437200 3.39
2014-02-06 3.43 3.57 3.41 3.49 4760700 3.49
2014-02-07 3.51 3.57 3.44 3.5 3727500 3.5
2014-02-10 3.5 3.53 3.43 3.49 2586400 3.49
2014-02-11 3.5 3.76 3.47 3.67 13856600 3.67
2014-02-12 3.75 3.81 3.65 3.69 6518200 3.69
2014-02-13 3.64 3.8 3.56 3.7 5204100 3.7
2014-02-14 3.72 3.8 3.65 3.71 3900500 3.71
2014-02-18 3.7 3.83 3.61 3.83 4486700 3.83
2014-02-19 3.83 3.92 3.68 3.7 4973700 3.7
2014-02-20 3.69 3.81 3.63 3.75 3530300 3.75
2014-02-21 3.8 3.85 3.75 3.76 2590200 3.76
2014-02-24 3.76 4.03 3.76 4 7222200 4
2014-02-25 4 4.14 3.92 4.11 8303400 4.11
2014-02-26 3.95 4.04 3.82 3.86 10771300 3.86
2014-02-27 3.62 3.72 3.51 3.67 11412200 3.67
2014-02-28 3.68 3.88 3.65 3.81 5805700 3.81
2014-03-03 3.78 3.9 3.72 3.83 4080000 3.83
2014-03-04 3.89 4.07 3.84 4.03 6934100 4.03
2014-03-05 4.05 4.16 4 4.07 6686200 4.07
2014-03-06 4.06 4.1 4 4.06 3246900 4.06
2014-03-07 4.12 4.12 4.03 4.08 3408600 4.08
2014-03-10 4.06 4.09 3.92 4.08 3381600 4.08
2014-03-11 4.08 4.12 3.85 3.88 5556800 3.88
2014-03-12 3.86 3.93 3.75 3.81 4025300 3.81
2014-03-13 3.82 3.84 3.67 3.73 3633300 3.73
2014-03-14 3.7 3.79 3.69 3.74 2462800 3.74
2014-03-17 3.75 3.89 3.62 3.63 4267900 3.63
2014-03-18 3.63 3.73 3.6 3.69 3324500 3.69
2014-03-19 3.71 3.84 3.64 3.8 4194300 3.8
2014-03-20 3.79 3.87 3.71 3.84 5227500 3.84
2014-03-21 3.85 3.94 3.84 3.88 4709600 3.88
2014-03-24 3.89 3.91 3.72 3.83 3130700 3.83
2014-03-25 3.87 3.9 3.78 3.84 2068100 3.84
2014-03-26 3.86 3.9 3.76 3.76 2289200 3.76
2014-03-27 3.78 3.97 3.72 3.92 5041500 3.92
2014-03-28 3.94 4.15 3.94 4.14 8623500 4.14
2014-03-31 4.15 4.34 4.11 4.33 6684200 4.33
2014-04-01 4.35 4.44 4.23 4.27 4385800 4.27
2014-04-02 4.26 4.45 4.17 4.33 5566800 4.33
2014-04-03 4.37 4.52 4.35 4.41 4740000 4.41
2014-04-04 4.51 4.54 4.26 4.42 5123600 4.42
2014-04-07 4.42 4.42 4.15 4.23 5275800 4.23
2014-04-08 4.23 4.5 4.18 4.48 5627300 4.48
2014-04-09 4.48 4.62 4.4 4.6 5768500 4.6
2014-04-10 4.6 4.63 4.48 4.53 5494400 4.53
2014-04-11 4.47 4.68 4.44 4.55 5412900 4.55
2014-04-14 4.72 5.22 4.65 4.99 13290500 4.99
2014-04-15 4.94 5.18 4.87 5.16 9720200 5.16
2014-04-16 5 5.35 4.99 5.31 15510000 5.31
2014-04-17 5.33 5.41 5.16 5.34 9293700 5.34
2014-04-21 5.4 5.4 5.27 5.38 6318600 5.38
2014-04-22 5.38 5.39 5.19 5.21 9062900 5.21
2014-04-23 5.22 5.38 5.18 5.33 5364900 5.33
2014-04-24 5.37 5.54 5.3 5.41 7851700 5.41
2014-04-25 5.38 5.54 5.22 5.43 8665400 5.43
2014-04-28 5.45 5.5 5.23 5.29 5491900 5.29
2014-04-29 5.39 5.54 5.39 5.45 6050000 5.45
2014-04-30 5.39 5.52 5.3 5.52 6392200 5.52
2014-05-01 5.53 5.55 5.32 5.39 6494200 5.39
2014-05-02 5.4 5.54 5.34 5.51 5163600 5.51
2014-05-05 5.5 5.68 5.41 5.52 6403900 5.52
2014-05-06 5.55 5.6 5.42 5.42 5280500 5.42
2014-05-07 5.45 5.48 5.23 5.29 8809900 5.29
2014-05-08 5.56 5.97 5.52 5.78 20959900 5.78
2014-05-09 5.82 5.87 5.65 5.69 7218100 5.69
2014-05-12 5.7 5.78 5.54 5.75 6639500 5.75
2014-05-13 5.78 6.04 5.73 5.95 12925200 5.95
2014-05-14 5.96 6.02 5.9 5.9 6380100 5.9
2014-05-15 5.9 5.92 5.65 5.69 6303800 5.69
2014-05-16 5.69 5.79 5.62 5.79 3582800 5.79
2014-05-19 5.81 5.95 5.79 5.86 6253200 5.86
2014-05-20 5.88 5.9 5.69 5.7 5041300 5.7
2014-05-21 5.72 5.81 5.58 5.68 4789800 5.68
