"Index" "FI.Open" "FI.High" "FI.Low" "FI.Close" "FI.Volume" "FI.Adjusted"
2015-01-30 15.9 16.52 15.8 16.370001 193300 15.950703
2015-02-02 16.190001 17.059999 16.190001 16.959999 317300 16.525589
2015-02-03 17.27 17.809999 16.52 16.620001 899500 16.1943
2015-02-04 16.290001 16.59 15.75 16.07 551800 15.658386
2015-02-05 16.219999 16.950001 16.15 16.889999 340500 16.457383
2015-02-06 16.9 17.74 16.219999 16.6 613200 16.174812
2015-02-09 16.700001 17.190001 16.549999 16.58 394300 16.155323
2015-02-10 16.559999 16.57 15.89 16.190001 276800 15.775313
2015-02-11 16.01 16.25 15.78 16 350300 15.590179
2015-02-12 16.23 17 16.17 16.23 340500 15.814288
2015-02-13 16.450001 16.58 16.02 16.35 427100 15.931215
2015-02-17 16.34 17.4 16.290001 17.360001 551300 16.915345
2015-02-18 17.120001 17.459999 16.870001 16.98 318500 16.545077
2015-02-19 16.610001 17.02 16.4 16.75 227000 16.320969
2015-02-20 16.75 16.879999 16.51 16.639999 110300 16.213786
2015-02-23 16.440001 16.860001 16.26 16.299999 247000 15.882495
2015-02-24 16.43 16.559999 16.190001 16.48 541900 16.057884
2015-02-25 16.040001 17.83 16.01 17.35 667800 16.905601
2015-02-26 17.290001 17.940001 17.02 17.860001 814900 17.402538
2015-02-27 17.690001 18.27 17.610001 17.76 695400 17.305099
2015-03-02 17.76 18.08 17.43 17.690001 637700 17.236893
2015-03-03 17.76 18.16 17.559999 18.09 801500 17.626647
2015-03-04 17.99 18.16 17.65 18.040001 1042600 17.7249
2015-03-05 18.01 18.18 17.98 18.030001 1083100 17.715075
2015-03-06 17.85 18.469999 17.75 18.41 1408300 18.088436
2015-03-09 18.57 18.57 17.92 18.1 1488800 17.783852
2015-03-10 17.879999 18.219999 17.549999 17.57 930900 17.263108
2015-03-11 17.65 17.969999 17.34 17.67 591700 17.361362
2015-03-12 17.98 18.110001 17.700001 17.73 628300 17.420313
2015-03-13 17.77 17.83 17.290001 17.33 514500 17.027301
2015-03-16 17.23 17.280001 16.639999 16.969999 464200 16.673588
2015-03-17 16.959999 17 16.5 16.73 584600 16.43778
2015-03-18 16.6 17.24 16.5 17.18 315100 16.879921
2015-03-19 16.959999 17.309999 16.959999 17.23 402600 16.929047
2015-03-20 17.48 17.940001 17.200001 17.84 1198700 17.528393
2015-03-23 17.84 18.110001 17.41 17.42 299000 17.115729
2015-03-24 17.4 17.77 17.09 17.57 688400 17.263108
