"Index" "OPM.Open" "OPM.High" "OPM.Low" "OPM.Close" "OPM.Volume" "OPM.Adjusted"
2014-01-31 1.76 1.76 1.76 1.76 100 1.4459
2014-02-03 1.76 1.76 1.76 1.76 0 1.4459
2014-02-04 1.76 1.76 1.76 1.76 0 1.4459
2014-02-05 1.76 1.76 1.76 1.76 0 1.4459
2014-02-06 1.76 1.76 1.76 1.76 0 1.4459
2014-02-07 1.76 1.76 1.76 1.76 0 1.4459
2014-02-10 1.76 1.76 1.76 1.76 0 1.4459
2014-02-11 1.85 1.85 1.84 1.85 1400 1.5198
2014-02-12 1.85 1.85 1.85 1.85 0 1.5198
2014-02-13 1.89 1.9 1.89 1.9 2500 1.5609
2014-02-14 1.9 1.9 1.9 1.9 0 1.5609
2014-02-17 1.9 1.9 1.9 1.9 0 1.5609
2014-02-18 1.9 1.9 1.9 1.9 0 1.5609
2014-02-19 1.9 1.9 1.9 1.9 0 1.5609
2014-02-20 1.9 1.9 1.9 1.9 0 1.5609
2014-02-21 1.9 1.9 1.9 1.9 0 1.5609
2014-02-24 1.9 1.9 1.9 1.9 0 1.5609
2014-02-25 1.85 1.85 1.85 1.85 400 1.5198
2014-02-26 1.82 1.82 1.82 1.82 100 1.4952
2014-02-27 1.85 1.86 1.83 1.83 1700 1.5034
2014-02-28 1.83 1.83 1.83 1.83 0 1.5034
2014-03-03 1.83 1.83 1.83 1.83 0 1.5034
2014-03-04 1.83 1.83 1.83 1.83 0 1.5034
2014-03-05 1.83 1.83 1.83 1.83 0 1.5034
2014-03-06 1.83 1.83 1.83 1.83 0 1.5034
2014-03-07 1.83 1.83 1.83 1.83 0 1.5034
2014-03-10 2.3 2.3 2 2.19 1100 1.7991
2014-03-11 2.19 2.19 2.19 2.19 0 1.7991
2014-03-12 2.19 2.19 2.19 2.19 0 1.7991
2014-03-13 2.19 2.19 2.19 2.19 0 1.7991
2014-03-14 2.19 2.19 2.19 2.19 0 1.7991
2014-03-17 2.19 2.19 2.19 2.19 0 1.7991
2014-03-18 2 2 2 2 100 1.6431
