"Index" "USD.CZK"
2014-12-28 22.7954
2014-12-29 22.7614
2014-12-30 22.7986
2014-12-31 22.8315
2015-01-01 22.8935
2015-01-02 22.9986
2015-01-03 23.0627
2015-01-04 23.0651
2015-01-05 23.1922
2015-01-06 23.2116
2015-01-07 23.4022
2015-01-08 23.6112
2015-01-09 23.7035
2015-01-10 23.7576
2015-01-11 23.7367
2015-01-12 23.8775
2015-01-13 23.9929
2015-01-14 23.9929
2015-01-15 24.0634
2015-01-16 24.0221
2015-01-17 24.1002
2015-01-18 24.1058
2015-01-19 24.0776
2015-01-20 24.1034
2015-01-21 24.1082
2015-01-22 24.1957
2015-01-23 24.6414
2015-01-24 24.727
2015-01-25 24.8565
2015-01-26 24.708
2015-01-27 24.6105
2015-01-28 24.5457
2015-01-29 24.5698
2015-01-30 24.5361
2015-01-31 24.5692
2015-02-01 24.5551
2015-02-02 24.5161
2015-02-03 24.3952
2015-02-04 24.2582
2015-02-05 24.34
2015-02-06 24.2755
2015-02-07 24.4776
2015-02-08 24.481
2015-02-09 24.4639
2015-02-10 24.4802
2015-02-11 24.4578
2015-02-12 24.3704
2015-02-13 24.2217
2015-02-14 24.2451
2015-02-15 24.2374
2015-02-16 24.2477
2015-02-17 24.2752
2015-02-18 24.1499
2015-02-19 23.9859
2015-02-20 24.1725
2015-02-21 24.1861
2015-02-22 24.1293
2015-02-23 24.2185
2015-02-24 24.2217
2015-02-25 24.1639
2015-02-26 24.2909
2015-02-27 24.542
2015-02-28 24.568
2015-03-01 24.5722
2015-03-02 24.5778
2015-03-03 24.5666
2015-03-04 24.6736
2015-03-05 24.8043
2015-03-06 24.9235
2015-03-07 25.2134
2015-03-08 25.2157
2015-03-09 25.1463
2015-03-10 25.3154
2015-03-11 25.6587
2015-03-12 25.7873
2015-03-13 25.8293
2015-03-14 26.0175
2015-03-15 26.0318
2015-03-16 25.8946
2015-03-17 25.7199
2015-03-18 25.6382
2015-03-19 25.5016
2015-03-20 25.6018
2015-03-21 25.3698
2015-03-22 25.3258
2015-03-23 25.2469
2015-03-24 25.0406
2015-03-25 25.0211
2015-03-26 25.0224
2015-03-27 25.2878
2015-03-28 25.2322
2015-03-29 25.233
2015-03-30 25.3266
2015-03-31 25.5472
2015-04-01 25.6048
2015-04-02 25.4767
2015-04-03 25.2348
2015-04-04 25.1028
2015-04-05 25.093
2015-04-06 25.0268
2015-04-07 25.2188
2015-04-08 25.2833
2015-04-09 25.5135
2015-04-10 25.7708
2015-04-11 25.7866
2015-04-12 25.8237
2015-04-13 25.8557
2015-04-14 25.7965
2015-04-15 25.7587
2015-04-16 25.6388
2015-04-17 25.4705
2015-04-18 25.3348
2015-04-19 25.3424
2015-04-20 25.4809
2015-04-21 25.5819
2015-04-22 25.5414
2015-04-23 25.4926
2015-04-24 25.3214
2015-04-25 25.2631
2015-04-26 25.2781
2015-04-27 25.2681
2015-04-28 25.1721
2015-04-29 24.8718
2015-04-30 24.5805
2015-05-01 24.44
2015-05-02 24.4153
2015-05-03 24.4197
2015-05-04 24.5104
2015-05-05 24.5556
2015-05-06 24.3424
2015-05-07 24.2127
2015-05-08 24.4127
2015-05-09 24.5024
2015-05-10 24.5091
2015-05-11 24.575
2015-05-12 24.4674
2015-05-13 24.3408
2015-05-14 24.1354
2015-05-15 24.0558
2015-05-16 23.9267
2015-05-17 23.9435
2015-05-18 24.0432
2015-05-19 24.401
2015-05-20 24.6077
2015-05-21 24.5878
2015-05-22 24.679
2015-05-23 24.9142
2015-05-24 24.9192
2015-05-25 24.9357
2015-05-26 25.0918
2015-05-27 25.1976
2015-05-28 25.1473
2015-05-29 25.0046
2015-05-30 24.9499
2015-05-31 24.9474
2015-06-01 25.0801
2015-06-02 24.9072
2015-06-03 24.5695
2015-06-04 24.3566
2015-06-05 24.5142
2015-06-06 24.6727
2015-06-07 24.6827
2015-06-08 24.5746
2015-06-09 24.2893
2015-06-10 24.1942
2015-06-11 24.2008
2015-06-12 24.2901
2015-06-13 24.2207
2015-06-14 24.3234
2015-06-15 24.2856
2015-06-16 24.2137
2015-06-17 24.193
2015-06-18 23.9558
2015-06-19 24.0065
2015-06-20 24.0092
2015-06-21 23.9599
2015-06-22 23.9625
2015-06-23 24.1962
2015-06-24 24.326
2015-06-25 24.3103
2015-06-26 24.3411
2015-06-27 24.3969
2015-06-28 24.4461
2015-06-29 24.5638
2015-06-30 24.3877
2015-07-01 24.542
2015-07-02 24.6144
2015-07-03 24.4914
2015-07-04 24.3893
2015-07-05 24.4342
2015-07-06 24.5704
2015-07-07 24.6652
2015-07-08 24.5986
2015-07-09 24.5441
2015-07-10 24.3711
2015-07-11 24.2753
2015-07-12 24.2905
2015-07-13 24.4573
2015-07-14 24.6022
2015-07-15 24.6259
2015-07-16 24.8162
2015-07-17 24.89
2015-07-18 24.9799
2015-07-19 24.965
2015-07-20 24.9687
2015-07-21 24.9306
2015-07-22 24.7863
2015-07-23 24.6559
2015-07-24 24.6522
2015-07-25 24.6293
2015-07-26 24.627
2015-07-27 24.4706
2015-07-28 24.4284
2015-07-29 24.4963
2015-07-30 24.7148
2015-07-31 24.6554
2015-08-01 24.65
2015-08-02 24.6502
2015-08-03 24.6682
2015-08-04 24.7005
2015-08-05 24.8588
2015-08-06 24.7805
2015-08-07 24.7314
2015-08-08 24.6544
2015-08-09 24.6537
2015-08-10 24.6341
2015-08-11 24.5227
2015-08-12 24.3118
2015-08-13 24.27
2015-08-14 24.2508
2015-08-15 24.3211
2015-08-16 24.3165
2015-08-17 24.3651
2015-08-18 24.4387
2015-08-19 24.4464
2015-08-20 24.2187
2015-08-21 23.9382
2015-08-22 23.73
2015-08-23 23.7308
2015-08-24 23.5275
2015-08-25 23.4957
2015-08-26 23.663
2015-08-27 23.9906
2015-08-28 24.0701
2015-08-29 24.1733
2015-08-30 24.1751
2015-08-31 24.0969
2015-09-01 23.993
2015-09-02 23.9925
2015-09-03 24.154
2015-09-04 24.2754
2015-09-05 24.2445
2015-09-06 24.2376
2015-09-07 24.2302
2015-09-08 24.1985
2015-09-09 24.2087
2015-09-10 24.1014
2015-09-11 23.9627
2015-09-12 23.9046
2015-09-13 23.9029
2015-09-14 23.906
2015-09-15 23.9489
2015-09-16 24.024
2015-09-17 23.9406
2015-09-18 23.7643
2015-09-19 23.9522
2015-09-20 23.9574
2015-09-21 24.0221
2015-09-22 24.2361
2015-09-23 24.33
2015-09-24 24.2606
2015-09-25 24.3773
2015-09-26 24.3518
2015-09-27 24.3487
2015-09-28 24.3299
2015-09-29 24.2106
2015-09-30 24.2424
2015-10-01 24.3297
2015-10-02 24.2374
2015-10-03 24.219
2015-10-04 24.217
2015-10-05 24.1825
2015-10-06 24.1737
2015-10-07 24.0798
2015-10-08 24.0767
2015-10-09 23.9528
2015-10-10 23.8444
2015-10-11 23.8548
2015-10-12 23.8359
2015-10-13 23.8403
2015-10-14 23.7582
2015-10-15 23.686
2015-10-16 23.8222
2015-10-17 23.8557
2015-10-18 23.8494
2015-10-19 23.874
2015-10-20 23.868
2015-10-21 23.8522
2015-10-22 24.0311
2015-10-23 24.4505
2015-10-24 24.6081
2015-10-25 24.608
2015-10-26 24.5649
2015-10-27 24.5192
2015-10-28 24.5649
2015-10-29 24.7624
2015-10-30 24.7624
2015-10-31 24.6393
2015-11-01 24.6018
