"Index" "ZAR.Open" "ZAR.High" "ZAR.Low" "ZAR.Close" "ZAR.Volume" "ZAR.Adjusted"
2013-07-26 81.45 81.95 81.45 81.85 0 81.85
2013-07-29 81.85 81.85 81.85 81.85 0 81.85
2013-07-30 81.85 81.85 81.85 81.85 0 81.85
2013-07-31 82.95 83.45 82.95 83.45 0 83.45
2013-08-01 83.45 83.45 82.95 82.95 0 82.95
2013-08-02 82.96 82.96 82.96 82.96 0 82.96
2013-08-05 85.05 85.05 83.95 83.95 0 83.95
2013-08-06 84.45 84.45 84.45 84.45 0 84.45
2013-08-07 83.15 83.15 83.15 83.15 0 83.15
2013-08-08 82.96 82.96 82.96 82.96 0 82.96
2013-08-09 84.45 84.95 84.45 84.95 0 84.95
2013-08-12 84.95 84.95 84.95 84.95 0 84.95
2013-08-13 84.95 84.95 84.95 84.95 0 84.95
2013-08-14 83.95 83.95 83.95 83.95 0 83.95
2013-08-15 84.45 84.45 84.45 84.45 0 84.45
2013-08-16 83.95 83.95 82.95 82.95 0 82.95
2013-08-19 82.95 83.45 82.95 83.45 0 83.45
2013-08-20 83.05 83.05 83.05 83.05 0 83.05
2013-08-21 83.05 83.05 83.05 83.05 0 83.05
2013-08-22 83.05 83.05 83.05 83.05 0 83.05
2013-08-23 83.05 83.05 83.05 83.05 0 83.05
2013-08-26 83.05 83.05 83.05 83.05 0 83.05
2013-08-27 83.05 83.05 83.05 83.05 0 83.05
2013-08-28 83.1 83.1 82.95 82.95 0 82.95
2013-08-29 82.95 82.95 82.95 82.95 0 82.95
2013-08-30 82.95 82.95 82.95 82.95 0 82.95
2013-09-02 82.77 82.77 82.77 82.77 0 82.77
2013-09-03 82.95 84.05 82.95 84.05 0 84.05
2013-09-04 82.95 83.45 82.95 83.45 0 83.45
2013-09-05 83.45 83.46 83.31 83.31 0 83.31
2013-09-06 82.81 82.81 82.77 82.77 0 82.77
2013-09-09 82.77 82.77 82.77 82.77 0 82.77
2013-09-10 82.95 82.95 82.95 82.95 0 82.95
2013-09-11 82.95 82.95 82.95 82.95 0 82.95
2013-09-12 83 83 83 83 0 83
2013-09-13 83.15 83.15 83.15 83.15 0 83.15
2013-09-16 83.15 83.15 83.05 83.05 0 83.05
2013-09-17 82.95 82.95 82.95 82.95 0 82.95
2013-09-18 82.95 82.95 82.95 82.95 0 82.95
2013-09-19 82.95 82.95 82.95 82.95 0 82.95
2013-09-20 82.95 82.95 82.45 82.45 0 82.45
2013-09-23 84.5 84.5 84.5 84.5 0 84.5
2013-09-24 82.5 82.5 82.5 82.5 0 82.5
2013-09-25 82.95 82.95 82.95 82.95 0 82.95
2013-09-26 84.05 84.05 83.05 83.05 0 83.05
2013-09-27 83.05 83.05 83.05 83.05 0 83.05
2013-09-30 83.05 83.05 83.05 83.05 0 83.05
2013-10-01 83.05 83.05 83.05 83.05 0 83.05
2013-10-02 82.95 82.95 82.95 82.95 0 82.95
2013-10-03 82.95 82.95 82.95 82.95 0 82.95
2013-10-04 82.95 82.95 82.95 82.95 0 82.95
2013-10-07 83.46 83.46 82.95 82.95 0 82.95
2013-10-08 82.95 82.95 82.95 82.95 0 82.95
2013-10-09 82.95 82.95 82.95 82.95 0 82.95
2013-10-10 82.95 82.95 82.95 82.95 0 82.95
2013-10-11 82.95 82.95 82.45 82.45 0 82.45
2013-10-14 82.45 82.45 82.45 82.45 0 82.45
2013-10-15 83.2 83.2 83.2 83.2 0 83.2
