"Index" "PH.Open" "PH.High" "PH.Low" "PH.Close" "PH.Volume" "PH.Adjusted"
2014-02-25 118.599998 118.769997 117.400002 117.800003 1175300 113.678797
2014-02-26 118.059998 119.440002 117.379997 118.970001 1237000 114.807863
2014-02-27 118.949997 120.480003 118.690002 120.169998 872000 115.965879
2014-02-28 119.940002 121.57 119.779999 120.550003 945500 116.332589
2014-03-03 119 120.440002 118.760002 119.389999 975100 115.213168
2014-03-04 121.169998 122.07 120.699997 121.129997 895900 116.892292
2014-03-05 121.440002 121.970001 120.709999 121.910004 626400 117.645011
2014-03-06 122.360001 122.849998 121.940002 122.449997 873700 118.166112
2014-03-07 123.190002 125.349998 123.050003 124.379997 1653200 120.028592
2014-03-10 124.190002 124.489998 122.470001 123.220001 695600 118.909178
2014-03-11 123.300003 123.510002 120.269997 120.75 1162000 116.525589
2014-03-12 120.150002 120.349998 118.43 119.300003 1130400 115.12632
2014-03-13 119.790001 120.019997 116.110001 116.809998 1056100 112.723427
2014-03-14 116.669998 117.629997 116.129997 116.190002 1024900 112.125122
2014-03-17 117.43 120.18 117.389999 119.830002 1366400 115.637777
2014-03-18 119.82 120.540001 119.040001 119.879997 921300 115.686023
2014-03-19 119.919998 120.919998 118.690002 119.660004 770700 115.473726
2014-03-20 119.300003 120.639999 118.879997 119.230003 620300 115.058769
2014-03-21 121.260002 121.650002 119.169998 119.379997 1459300 115.203516
2014-03-24 119.610001 120.150002 118.480003 118.919998 852200 114.75961
2014-03-25 120 122.099998 119.839996 121.129997 1301300 116.892292
2014-03-26 121.790001 121.970001 118.629997 118.730003 1039600 114.576262
2014-03-27 118.580002 118.879997 117.5 118.010002 893100 113.88145
2014-03-28 118.480003 120.199997 118.269997 119.239998 649300 115.068414
2014-03-31 120.440002 121.080002 119.599998 119.709999 1242000 115.521973
2014-04-01 120.589996 122.25 120.050003 121.989998 1283700 117.722206
2014-04-02 122.010002 124.18 122.010002 123.75 1126600 119.420635
2014-04-03 123.82 124.029999 122.489998 123.260002 727900 118.94778
2014-04-04 125.089996 125.089996 121.589996 121.800003 1099800 117.538858
2014-04-07 121.339996 121.720001 118.459999 119.300003 1165700 115.12632
2014-04-08 118.989998 120.889999 118.790001 119.669998 1299700 115.483371
2014-04-09 120.650002 122.82 120.239998 122.529999 1059500 118.243315
2014-04-10 122.050003 123.169998 119.690002 119.82 957100 115.628125
2014-04-11 119.089996 120.080002 118.620003 119.139999 1146700 114.971914
2014-04-14 120.18 121.050003 119.040001 120.330002 984200 116.120285
2014-04-15 121.150002 122.370003 119.480003 121.269997 1497000 117.027394
2014-04-16 122.519997 124.220001 122.480003 124.220001 1262900 119.874193
2014-04-17 124.220001 126 124.099998 125.349998 1343200 120.964658
2014-04-21 125.099998 125.720001 124.309998 125.190002 623100 120.810259
2014-04-22 125.129997 126.099998 124.800003 124.940002 751700 120.569006
2014-04-23 125.169998 126.160004 124.599998 124.769997 649400 120.404947
2014-04-24 125.510002 125.720001 123.839996 124.459999 688200 120.105795
2014-04-25 124.309998 124.870003 121.809998 122.400002 977900 118.117866
2014-04-28 123.040001 124.269997 121.449997 122.730003 1662900 118.436323
2014-04-29 125 126.489998 123.519997 125.860001 1600300 121.456818
2014-04-30 127.050003 127.099998 125.230003 126.879997 1104400 122.44113
2014-05-01 126.419998 127.279999 125.709999 126.089996 768000 121.678767
2014-05-02 126 126.330002 124.860001 125.080002 952600 120.704107
2014-05-05 124.419998 125.279999 123.449997 124.269997 1057800 119.92244
2014-05-06 123.93 124.660004 123.209999 123.400002 927400 119.082881
2014-05-07 123.07 123.949997 121.860001 123.889999 1091400 120.022602
2014-05-08 123.739998 126 123.349998 124.230003 815400 120.351992
2014-05-09 124.110001 124.389999 123.029999 124.199997 468000 120.322922
2014-05-12 125.040001 126.870003 125.040001 126.480003 541300 122.531755
2014-05-13 126.739998 126.75 125.940002 126.040001 588600 122.105488
2014-05-14 126.150002 126.370003 124.75 124.940002 637000 121.039827
2014-05-15 124.419998 124.800003 121.589996 122.559998 1191000 118.734118
2014-05-16 122.650002 123.43 121.959999 123.029999 821900 119.189447
2014-05-19 122.620003 123.949997 122.32 123.809998 407200 119.945097
