"Index" "MP.Open" "MP.High" "MP.Low" "MP.Close" "MP.Volume" "MP.Adjusted"
2013-10-09 0.03 0.03 0.03 0.03 1000 0.03
2013-10-10 0.03 0.03 0.03 0.03 0 0.03
2013-10-11 0.03 0.03 0.03 0.03 0 0.03
2013-10-14 0.03 0.03 0.03 0.03 0 0.03
2013-10-15 0.03 0.03 0.03 0.03 0 0.03
2013-10-16 0.03 0.03 0.03 0.03 0 0.03
2013-10-17 0.04 0.04 0.035 0.035 9500 0.035
2013-10-18 0.035 0.035 0.035 0.035 0 0.035
2013-10-21 0.035 0.035 0.035 0.035 0 0.035
2013-10-22 0.04 0.05 0.04 0.05 114500 0.05
2013-10-23 0.045 0.05 0.045 0.05 33900 0.05
2013-10-24 0.05 0.05 0.05 0.05 0 0.05
2013-10-25 0.05 0.05 0.05 0.05 0 0.05
2013-10-28 0.05 0.05 0.05 0.05 0 0.05
2013-10-29 0.05 0.05 0.05 0.05 0 0.05
2013-10-30 0.045 0.045 0.045 0.045 3500 0.045
2013-10-31 0.045 0.045 0.045 0.045 3000 0.045
2013-11-01 0.045 0.045 0.045 0.045 0 0.045
2013-11-04 0.045 0.045 0.045 0.045 0 0.045
2013-11-05 0.045 0.045 0.045 0.045 0 0.045
2013-11-06 0.045 0.045 0.045 0.045 0 0.045
2013-11-07 0.04 0.04 0.04 0.04 5000 0.04
2013-11-08 0.04 0.04 0.04 0.04 0 0.04
2013-11-11 0.04 0.04 0.04 0.04 0 0.04
2013-11-12 0.04 0.04 0.04 0.04 0 0.04
2013-11-13 0.04 0.04 0.04 0.04 0 0.04
2013-11-14 0.035 0.035 0.035 0.035 3700 0.035
2013-11-15 0.035 0.04 0.035 0.035 36000 0.035
2013-11-18 0.035 0.035 0.035 0.035 0 0.035
2013-11-19 0.04 0.04 0.04 0.04 15900 0.04
2013-11-20 0.03 0.035 0.03 0.035 72000 0.035
2013-11-21 0.03 0.035 0.03 0.035 16000 0.035
2013-11-22 0.04 0.04 0.04 0.04 10000 0.04
2013-11-25 0.04 0.04 0.04 0.04 8000 0.04
2013-11-26 0.03 0.03 0.03 0.03 27000 0.03
2013-11-27 0.035 0.035 0.035 0.035 45000 0.035
2013-11-28 0.035 0.035 0.035 0.035 0 0.035
2013-11-29 0.04 0.04 0.04 0.04 5100 0.04
2013-12-02 0.04 0.04 0.04 0.04 133100 0.04
2013-12-03 0.04 0.04 0.04 0.04 0 0.04
2013-12-04 0.04 0.04 0.04 0.04 10000 0.04
2013-12-05 0.035 0.035 0.03 0.03 44000 0.03
2013-12-06 0.03 0.03 0.025 0.03 40500 0.03
2013-12-09 0.03 0.03 0.03 0.03 3000 0.03
2013-12-10 0.03 0.03 0.03 0.03 0 0.03
2013-12-11 0.03 0.03 0.03 0.03 7000 0.03
2013-12-12 0.03 0.03 0.03 0.03 0 0.03
2013-12-13 0.03 0.03 0.03 0.03 0 0.03
2013-12-16 0.03 0.03 0.02 0.02 38400 0.02
2013-12-17 0.025 0.04 0.02 0.04 77200 0.04
2013-12-18 0.04 0.04 0.04 0.04 0 0.04
2013-12-19 0.04 0.04 0.04 0.04 0 0.04
2013-12-20 0.04 0.04 0.04 0.04 0 0.04
2013-12-23 0.03 0.03 0.025 0.03 56800 0.03
2013-12-24 0.03 0.03 0.03 0.03 0 0.03
2013-12-25 0.03 0.03 0.03 0.03 0 0.03
2013-12-26 0.03 0.03 0.03 0.03 0 0.03
2013-12-27 0.03 0.03 0.03 0.03 0 0.03
2013-12-30 0.03 0.03 0.03 0.03 0 0.03
2013-12-31 0.025 0.03 0.025 0.03 60000 0.03
2014-01-01 0.03 0.03 0.03 0.03 0 0.03
2014-01-02 0.03 0.03 0.03 0.03 12000 0.03
2014-01-03 0.03 0.03 0.03 0.03 0 0.03
2014-01-06 0.03 0.03 0.03 0.03 0 0.03
2014-01-07 0.03 0.03 0.03 0.03 0 0.03
2014-01-08 0.03 0.035 0.03 0.035 10000 0.035
2014-01-09 0.035 0.035 0.035 0.035 0 0.035
2014-01-10 0.035 0.035 0.035 0.035 0 0.035
2014-01-13 0.03 0.03 0.03 0.03 9000 0.03
2014-01-14 0.03 0.03 0.03 0.03 0 0.03
2014-01-15 0.03 0.03 0.03 0.03 28000 0.03
2014-01-16 0.03 0.03 0.03 0.03 0 0.03
2014-01-17 0.03 0.03 0.03 0.03 0 0.03
2014-01-20 0.025 0.025 0.025 0.025 15000 0.025
2014-01-21 0.025 0.025 0.025 0.025 0 0.025
2014-01-22 0.025 0.025 0.025 0.025 0 0.025
2014-01-23 0.03 0.03 0.03 0.03 2000 0.03
2014-01-24 0.03 0.03 0.03 0.03 0 0.03
2014-01-27 0.03 0.03 0.03 0.03 0 0.03
2014-01-28 0.03 0.03 0.03 0.03 0 0.03
2014-01-29 0.03 0.03 0.03 0.03 0 0.03
2014-01-30 0.03 0.03 0.03 0.03 28000 0.03
2014-01-31 0.03 0.03 0.03 0.03 0 0.03
2014-02-03 0.035 0.035 0.035 0.035 49000 0.035
2014-02-04 0.03 0.03 0.025 0.025 10000 0.025
2014-02-05 0.03 0.03 0.03 0.03 21000 0.03
2014-02-06 0.035 0.035 0.035 0.035 95500 0.035
2014-02-07 0.03 0.03 0.03 0.03 22700 0.03
2014-02-10 0.03 0.03 0.03 0.03 10000 0.03
2014-02-11 0.03 0.03 0.03 0.03 0 0.03
2014-02-12 0.03 0.03 0.03 0.03 0 0.03
2014-02-13 0.035 0.035 0.035 0.035 4500 0.035
2014-02-14 0.035 0.035 0.035 0.035 14000 0.035
2014-02-17 0.035 0.035 0.035 0.035 0 0.035
2014-02-18 0.035 0.035 0.035 0.035 0 0.035
2014-02-19 0.035 0.035 0.035 0.035 50000 0.035
2014-02-20 0.04 0.04 0.035 0.035 145000 0.035
2014-02-21 0.035 0.035 0.035 0.035 0 0.035
2014-02-24 0.035 0.035 0.035 0.035 12000 0.035
2014-02-25 0.035 0.035 0.035 0.035 0 0.035
2014-02-26 0.035 0.035 0.035 0.035 0 0.035
2014-02-27 0.035 0.035 0.035 0.035 0 0.035
2014-02-28 0.035 0.035 0.035 0.035 0 0.035
2014-03-03 0.035 0.035 0.035 0.035 0 0.035
2014-03-04 0.04 0.04 0.03 0.03 45500 0.03
2014-03-05 0.03 0.03 0.03 0.03 10000 0.03
2014-03-06 0.03 0.03 0.03 0.03 12900 0.03
2014-03-07 0.03 0.03 0.03 0.03 0 0.03
2014-03-10 0.03 0.03 0.03 0.03 0 0.03
2014-03-11 0.03 0.045 0.03 0.04 125400 0.04
2014-03-12 0.04 0.04 0.04 0.04 25000 0.04
2014-03-13 0.04 0.04 0.04 0.04 0 0.04
2014-03-14 0.03 0.035 0.03 0.035 23500 0.035
2014-03-17 0.035 0.035 0.035 0.035 0 0.035
2014-03-18 0.035 0.035 0.035 0.035 0 0.035
