"Index" "DEN.Open" "DEN.High" "DEN.Low" "DEN.Close" "DEN.Volume" "DEN.Adjusted"
2014-05-08 28.505 28.505 28.505 28.505 0 28.505
2014-05-09 28.6 28.6 28.6 28.6 0 28.6
2014-05-12 28.94 28.94 28.94 28.94 0 28.94
2014-05-13 28.67 28.67 28.67 28.67 0 28.67
2014-05-14 27.655 27.655 27.655 27.655 0 27.655
2014-05-15 27.275 27.275 27.275 27.275 0 27.275
2014-05-16 27.3 27.3 27.3 27.3 0 27.3
2014-05-19 27.335 27.335 27.335 27.335 0 27.335
2014-05-20 27.98 27.98 27.98 27.98 0 27.98
2014-05-21 28.52 28.52 28.52 28.52 0 28.52
2014-05-22 29.29 29.29 29.29 29.29 0 29.29
2014-05-23 29.49 29.49 29.49 29.49 0 29.49
2014-05-26 29.515 29.515 29.515 29.515 0 29.515
2014-05-27 28.885 28.885 28.885 28.885 0 28.885
2014-05-28 28.745 28.745 28.745 28.745 0 28.745
2014-05-29 28.6 28.6 28.6 28.6 0 28.6
2014-05-30 28.7 28.7 28.7 28.7 0 28.7
2014-06-02 29.705 29.705 29.705 29.705 0 29.705
2014-06-03 29.805 29.805 29.805 29.805 0 29.805
2014-06-04 29.715 29.715 29.715 29.715 0 29.715
2014-06-05 29.625 29.625 29.625 29.625 0 29.625
2014-06-06 29.465 29.465 29.465 29.465 0 29.465
2014-06-09 30.2 30.2 30.2 30.2 0 30.2
2014-06-10 30.075 30.075 30.075 30.075 0 30.075
2014-06-11 30.17 30.17 30.17 30.17 0 30.17
2014-06-12 29.99 29.99 29.99 29.99 0 29.99
2014-06-13 29.86 29.86 29.86 29.86 0 29.86
2014-06-16 29.2 29.2 29.2 29.2 0 29.2
2014-06-17 28.955 28.955 28.955 28.955 0 28.955
2014-06-18 28.775 28.775 28.775 28.775 0 28.775
2014-06-19 29.415 29.415 29.415 29.415 0 29.415
2014-06-20 29.2 29.2 29.2 29.2 0 29.2
2014-06-23 29.39 29.39 29.39 29.39 0 29.39
2014-06-24 29.46 29.46 29.46 29.46 0 29.46
2014-06-25 29.225 29.225 29.225 29.225 0 29.225
2014-06-26 29.93 29.93 29.93 29.93 0 29.93
2014-06-27 29.59 29.59 29.59 29.59 0 29.59
2014-06-30 29.455 30.15 29.455 30.15 0 30.15
2014-07-01 29.695 29.695 29.695 29.695 0 29.695
2014-07-02 30.115 30.115 30.115 30.115 0 30.115
2014-07-03 29.86 29.86 29.86 29.86 0 29.86
2014-07-04 30.105 30.105 30.105 30.105 0 30.105
2014-07-07 29.81 29.81 29.81 29.81 0 29.81
2014-07-08 29.52 29.52 29.52 29.52 0 29.52
2014-07-09 29.475 29.475 29.475 29.475 0 29.475
2014-07-10 29.295 29.295 29.295 29.295 0 29.295
2014-07-11 29.145 29.84 29.145 29.84 0 29.84
2014-07-14 29.035 29.035 29.035 29.035 0 29.035
2014-07-15 28.92 28.92 28.92 28.92 0 28.92
2014-07-16 29.065 29.065 29.065 29.065 0 29.065
2014-07-17 28.955 29.02 28.955 29.02 0 29.02
2014-07-18 28.65 28.65 28.65 28.65 0 28.65
2014-07-21 28.645 28.645 28.645 28.645 0 28.645
2014-07-22 28.81 28.81 28.81 28.81 0 28.81
2014-07-23 29.14 29.14 29.14 29.14 0 29.14
2014-07-24 29.24 29.24 29.24 29.24 0 29.24
2014-07-25 29.55 29.55 29.55 29.55 0 29.55
2014-07-28 29.79 29.79 29.79 29.79 0 29.79
2014-07-29 30.135 30.135 30.135 30.135 0 30.135
2014-07-30 30.155 30.155 30.155 30.155 0 30.155
2014-07-31 29.605 29.605 29.605 29.605 0 29.605
2014-08-01 29.455 29.455 29.455 29.455 0 29.455
2014-08-04 29.365 29.365 29.365 29.365 0 29.365
2014-08-05 29.36 29.36 29.36 29.36 0 29.36
2014-08-06 29.015 29.015 29.015 29.015 0 29.015
2014-08-07 29.415 29.415 29.415 29.415 0 29.415
2014-08-08 28.695 28.695 28.695 28.695 0 28.695
2014-08-11 29.245 29.245 29.245 29.245 0 29.245
2014-08-12 29.295 29.295 29.295 29.295 0 29.295
2014-08-13 30.26 30.26 30.26 30.26 0 30.26
2014-08-14 30.24 30.24 30.24 30.24 0 30.24
2014-08-15 30.23 30.23 30.23 30.23 0 30.23
2014-08-18 31.125 31.125 31.125 31.125 0 31.125
2014-08-19 31.58 31.58 31.58 31.58 0 31.58
2014-08-20 31.43 31.43 31.43 31.43 0 31.43
2014-08-21 31.33 31.33 31.33 31.33 0 31.33
2014-08-22 31.235 31.235 31.235 31.235 0 31.235
2014-08-25 31.43 31.43 31.43 31.43 0 31.43
2014-08-26 31.065 31.065 31.065 31.065 0 31.065
2014-08-27 30.825 30.825 30.825 30.825 0 30.825
2014-08-28 30.375 30.375 30.375 30.375 0 30.375
2014-08-29 30.52 30.52 30.52 30.52 0 30.52
2014-09-01 30.375 30.375 30.375 30.375 0 30.375
2014-09-02 30.26 30.26 30.26 30.26 0 30.26
2014-09-03 29.905 29.905 29.905 29.905 0 29.905
2014-09-04 29.775 29.775 29.775 29.775 0 29.775
2014-09-05 30.15 30.15 30.15 30.15 0 30.15
2014-09-08 29.995 29.995 29.995 29.995 0 29.995
2014-09-09 29.505 29.505 29.505 29.505 0 29.505
2014-09-10 29.035 29.71 29.035 29.71 0 29.71
2014-09-11 29.825 29.825 29.825 29.825 0 29.825
2014-09-12 29.535 29.535 29.535 29.535 0 29.535
2014-09-15 29.47 29.47 29.47 29.47 0 29.47
2014-09-16 29.685 29.685 29.685 29.685 0 29.685
2014-09-17 29.445 29.445 29.445 29.445 0 29.445
2014-09-18 29.705 29.705 29.705 29.705 0 29.705
2014-09-19 29.9 29.9 29.9 29.9 0 29.9
2014-09-22 29.94 29.94 29.94 29.94 0 29.94
2014-09-23 30.01 30.01 30.01 30.01 0 30.01
2014-09-24 30 30 30 30 0 30
2014-09-25 30.69 30.69 30.69 30.69 0 30.69
2014-09-26 30.21 30.25 30.21 30.25 0 30.25
2014-09-29 30.48 30.48 30.48 30.48 0 30.48
2014-09-30 29.71 29.71 29.71 29.71 0 29.71
2014-10-01 29.21 29.21 29.21 29.21 0 29.21
2014-10-02 28.595 28.595 28.595 28.595 0 28.595
2014-10-03 28.595 28.595 28.595 28.595 0 28.595
2014-10-06 29.055 29.055 29.055 29.055 0 29.055
2014-10-07 28.685 28.685 28.685 28.685 0 28.685
2014-10-08 28.06 28.645 28.06 28.645 0 28.645
2014-10-09 27.465 27.465 27.465 27.465 0 27.465
2014-10-10 27.23 27.23 27.23 27.23 0 27.23
2014-10-13 27.425 27.425 27.425 27.425 0 27.425
2014-10-14 26.965 27.785 26.965 27.785 0 27.785
2014-10-15 27.15 27.15 27.15 27.15 0 27.15
2014-10-16 26.52 27.18 26.52 27.18 0 27.18
2014-10-17 25.57 25.57 25.57 25.57 0 25.57
2014-10-20 26.825 26.825 26.825 26.825 0 26.825
2014-10-21 26.395 26.395 26.395 26.395 0 26.395
2014-10-22 27.36 27.36 27.36 27.36 0 27.36
2014-10-23 27.565 27.565 27.565 27.565 0 27.565
2014-10-24 27.57 27.57 27.57 27.57 0 27.57
2014-10-27 27.55 27.55 27.55 27.55 0 27.55
2014-10-28 27.68 27.68 27.575 27.575 0 27.575
2014-10-29 27.725 27.725 27.685 27.685 0 27.685
2014-10-30 27.88 27.88 27.88 27.88 0 27.88
2014-10-31 28.56 28.56 28.56 28.56 0 28.56
2014-11-03 28.385 28.385 28.385 28.385 0 28.385
2014-11-04 28.785 28.785 28.785 28.785 0 28.785
2014-11-05 28.8 28.8 28.8 28.8 0 28.8
2014-11-06 28.22 28.22 28.22 28.22 0 28.22
2014-11-07 28.695 28.695 28.695 28.695 0 28.695
2014-11-10 28.655 28.655 28.655 28.655 0 28.655
2014-11-11 29.22 29.22 29.22 29.22 0 29.22
2014-11-12 29.595 29.595 29.595 29.595 0 29.595
2014-11-13 30.61 30.61 30.61 30.61 0 30.61
2014-11-14 30.57 30.57 30.57 30.57 0 30.57
2014-11-17 29.625 29.625 29.625 29.625 0 29.625
2014-11-18 30.08 30.08 30.08 30.08 0 30.08
2014-11-19 29.765 29.765 29.765 29.765 0 29.765
2014-11-20 29.355 29.355 29.355 29.355 0 29.355
2014-11-21 29.58 29.58 29.58 29.58 0 29.58
2014-11-24 29.915 29.915 29.915 29.915 0 29.915
2014-11-25 29.52 29.52 29.52 29.52 0 29.52
2014-11-26 29.795 29.795 29.795 29.795 0 29.795
2014-11-27 29.125 29.125 29.125 29.125 0 29.125
2014-11-28 29.92 29.92 29.92 29.92 0 29.92
2014-12-01 29.815 29.815 29.815 29.815 0 29.815
2014-12-02 30.04 30.04 30.04 30.04 0 30.04
2014-12-03 30.37 30.37 30.37 30.37 0 30.37
2014-12-04 31.065 31.065 31.065 31.065 0 31.065
2014-12-05 31.15 31.15 31.15 31.15 0 31.15
2014-12-08 32.49 32.49 32.49 32.49 0 32.49
2014-12-09 33.155 33.155 33.155 33.155 0 33.155
2014-12-10 31.925 32.765 31.925 32.765 0 32.765
2014-12-11 31.33 31.33 31.33 31.33 0 31.33
2014-12-12 31.52 31.52 31.52 31.52 0 31.52
2014-12-15 31.17 31.17 31.17 31.17 0 31.17
2014-12-16 31.22 31.22 31.22 31.22 0 31.22
2014-12-17 31.69 31.69 31.69 31.69 0 31.69
2014-12-18 33.95 33.95 33.95 33.95 0 33.95
2014-12-19 34.11 34.11 34.11 34.11 0 34.11
2014-12-22 34.19 34.19 34.19 34.19 0 34.19
2014-12-23 34.07 34.07 34.07 34.07 0 34.07
2014-12-24 34.07 34.07 34.07 34.07 0 34.07
2014-12-25 34.07 34.07 34.07 34.07 0 34.07
2014-12-26 34.07 34.07 34.07 34.07 0 34.07
2014-12-29 34.955 34.955 34.955 34.955 0 34.955
2014-12-30 34.455 34.59 34.455 34.59 0 34.59
2014-12-31 34.59 34.59 34.59 34.59 0 34.59
2015-01-01 34.59 34.59 34.59 34.59 0 34.59
2015-01-02 34.665 35.735 34.665 35.735 0 35.735
2015-01-05 34.695 34.695 34.695 34.695 0 34.695
2015-01-06 33.91 34.975 33.91 34.975 0 34.975
2015-01-07 33.995 33.995 33.995 33.995 0 33.995
2015-01-08 34.305 34.305 34.305 34.305 0 34.305
2015-01-09 34.225 34.225 34.225 34.225 0 34.225
2015-01-12 34.36 34.36 34.36 34.36 0 34.36
2015-01-13 33.395 33.395 33.395 33.395 0 33.395
2015-01-14 33.545 33.545 33.545 33.545 0 33.545
2015-01-15 34.78 34.78 34.78 34.78 0 34.78
2015-01-16 34.285 34.285 34.285 34.285 0 34.285
2015-01-19 34.865 34.865 34.865 34.865 0 34.865
2015-01-20 35.265 35.265 35.265 35.265 0 35.265
2015-01-21 35.11 35.11 35.11 35.11 0 35.11
2015-01-22 34.725 34.725 34.725 34.725 0 34.725
2015-01-23 35.1 35.1 35.1 35.1 0 35.1
2015-01-26 35.605 35.605 35.605 35.605 0 35.605
