"Index" "ZN.Open" "ZN.High" "ZN.Low" "ZN.Close" "ZN.Volume" "ZN.Adjusted"
2013-11-13 1.57 1.57 1.5 1.51 60700 1.51
2013-11-14 1.5 1.51 1.5 1.5 49400 1.5
2013-11-15 1.52 1.6 1.5 1.56 41600 1.56
2013-11-18 1.53 1.59 1.51 1.52 68600 1.52
2013-11-19 1.51 1.56 1.51 1.55 25200 1.55
2013-11-20 1.55 1.57 1.51 1.51 45000 1.51
2013-11-21 1.51 1.57 1.51 1.54 15100 1.54
2013-11-22 1.57 1.6 1.52 1.53 31500 1.53
2013-11-25 1.52 1.57 1.5 1.51 36200 1.51
2013-11-26 1.51 1.56 1.51 1.54 48900 1.54
2013-11-27 1.55 1.56 1.52 1.52 16300 1.52
2013-11-29 1.54 1.56 1.52 1.52 17400 1.52
2013-12-02 1.52 1.55 1.49 1.49 39700 1.49
2013-12-03 1.49 1.49 1.45 1.47 49200 1.47
2013-12-04 1.48 1.48 1.36 1.42 56000 1.42
2013-12-05 1.43 1.43 1.37 1.38 42100 1.38
2013-12-06 1.38 1.4 1.38 1.4 21600 1.4
2013-12-09 1.41 1.47 1.41 1.41 29400 1.41
2013-12-10 1.42 1.5 1.38 1.39 46700 1.39
2013-12-11 1.38 1.4 1.38 1.39 15300 1.39
2013-12-12 1.4 1.99 1.4 1.9 952200 1.9
2013-12-13 1.9 1.97 1.73 1.74 286500 1.74
2013-12-16 1.78 1.79 1.61 1.64 150800 1.64
2013-12-17 1.66 1.66 1.6 1.64 37600 1.64
2013-12-18 1.61 1.61 1.4 1.48 174500 1.48
2013-12-19 1.45 1.47 1.41 1.46 49700 1.46
2013-12-20 1.48 1.54 1.45 1.45 68000 1.45
2013-12-23 1.45 1.53 1.42 1.47 80400 1.47
2013-12-24 1.44 1.52 1.43 1.46 74400 1.46
2013-12-26 1.48 1.51 1.48 1.48 27400 1.48
2013-12-27 1.47 1.49 1.44 1.47 92700 1.47
2013-12-30 1.44 1.48 1.41 1.44 66500 1.44
2013-12-31 1.44 1.48 1.37 1.41 228500 1.41
2014-01-02 1.42 1.46 1.41 1.44 42900 1.44
2014-01-03 1.45 1.46 1.42 1.43 55000 1.43
2014-01-06 1.45 1.65 1.45 1.53 293800 1.53
