"Index" "NRS.Open" "NRS.High" "NRS.Low" "NRS.Close" "NRS.Volume" "NRS.Adjusted"
2013-12-16 0.391 0.391 0.391 0.391 0 0.391
2013-12-17 0.375 0.375 0.375 0.375 0 0.375
2013-12-18 0.375 0.375 0.375 0.375 0 0.375
2013-12-19 0.376 0.376 0.376 0.376 0 0.376
2013-12-20 0.382 0.382 0.382 0.382 0 0.382
2013-12-23 0.38 0.38 0.38 0.38 0 0.38
2013-12-24 0.38 0.38 0.38 0.38 0 0.38
2013-12-25 0.38 0.38 0.38 0.38 0 0.38
2013-12-26 0.38 0.38 0.38 0.38 0 0.38
2013-12-27 0.38 0.38 0.377 0.377 0 0.377
2013-12-30 0.38 0.407 0.38 0.407 0 0.407
2013-12-31 0.407 0.407 0.407 0.407 0 0.407
2014-01-01 0.407 0.407 0.407 0.407 0 0.407
2014-01-02 0.382 0.382 0.382 0.382 0 0.382
2014-01-03 0.382 0.382 0.382 0.382 0 0.382
2014-01-06 0.375 0.375 0.375 0.375 0 0.375
2014-01-07 0.384 0.384 0.384 0.384 0 0.384
2014-01-08 0.39 0.39 0.39 0.39 0 0.39
2014-01-09 0.407 0.407 0.407 0.407 0 0.407
2014-01-10 0.432 0.432 0.432 0.432 0 0.432
2014-01-13 0.456 0.456 0.456 0.456 0 0.456
2014-01-14 0.455 0.455 0.455 0.455 0 0.455
2014-01-15 0.45 0.45 0.45 0.45 0 0.45
2014-01-16 0.45 0.45 0.45 0.45 0 0.45
2014-01-17 0.444 0.444 0.444 0.444 0 0.444
2014-01-20 0.45 0.45 0.45 0.45 0 0.45
2014-01-21 0.45 0.45 0.45 0.45 0 0.45
2014-01-22 0.445 0.445 0.445 0.445 0 0.445
2014-01-23 0.449 0.449 0.449 0.449 0 0.449
2014-01-24 0.431 0.431 0.431 0.431 0 0.431
2014-01-27 0.413 0.413 0.413 0.413 0 0.413
2014-01-28 0.418 0.418 0.418 0.418 0 0.418
2014-01-29 0.418 0.418 0.418 0.418 0 0.418
2014-01-30 0.411 0.411 0.411 0.411 0 0.411
2014-01-31 0.419 0.419 0.419 0.419 0 0.419
2014-02-03 0.419 0.419 0.419 0.419 0 0.419
2014-02-04 0.413 0.413 0.413 0.413 0 0.413
2014-02-05 0.413 0.413 0.413 0.413 0 0.413
2014-02-06 0.419 0.419 0.419 0.419 0 0.419
2014-02-07 0.417 0.417 0.417 0.417 0 0.417
2014-02-10 0.419 0.419 0.419 0.419 0 0.419
2014-02-11 0.413 0.413 0.413 0.413 0 0.413
2014-02-12 0.415 0.415 0.415 0.415 0 0.415
2014-02-13 0.412 0.412 0.412 0.412 0 0.412
2014-02-14 0.412 0.412 0.412 0.412 0 0.412
2014-02-17 0.413 0.413 0.413 0.413 0 0.413
2014-02-18 0.412 0.412 0.412 0.412 0 0.412
2014-02-19 0.413 0.413 0.413 0.413 0 0.413
2014-02-20 0.414 0.414 0.414 0.414 0 0.414
2014-02-21 0.413 0.413 0.413 0.413 0 0.413
2014-02-24 0.407 0.407 0.407 0.407 0 0.407
2014-02-25 0.407 0.407 0.407 0.407 0 0.407
