"Index" "PLE.Open" "PLE.High" "PLE.Low" "PLE.Close" "PLE.Volume" "PLE.Adjusted"
2015-04-09 0.98 0.98 0.9 0.9 2600 0.71
2015-04-10 0.95 1.06 0.92 0.92 4800 0.72
2015-04-13 0.92 0.93 0.9 0.9 4100 0.71
2015-04-14 0.9 0.95 0.88 0.95 5400 0.75
2015-04-15 0.95 0.95 0.94 0.94 1200 0.74
2015-04-16 0.95 1.1 0.87 1.04 29100 0.82
2015-04-17 1.05 1.05 0.99 0.99 700 0.78
2015-04-20 0.99 0.99 0.98 0.99 1100 0.78
2015-04-21 0.99 0.99 0.99 0.99 0 0.78
2015-04-22 1.02 1.02 1.01 1.02 1800 0.8
2015-04-23 1.04 1.05 1.01 1.01 5200 0.79
2015-04-24 1 1.03 1 1.03 100 0.81
2015-04-27 1.05 1.05 1.04 1.05 3700 0.83
2015-04-28 1.05 1.05 1.04 1.05 200 0.83
2015-04-29 1.01 1.13 0.95 1.07 8100 0.84
2015-04-30 0.97 0.99 0.96 0.99 7600 0.78
2015-05-01 0.99 0.99 0.99 0.99 0 0.78
2015-05-04 0.99 0.99 0.99 0.99 0 0.78
2015-05-05 1 1 0.95 0.95 1000 0.75
2015-05-06 0.93 0.99 0.9 0.99 3300 0.78
2015-05-07 1.01 1.01 1.01 1.01 0 0.79
2015-05-08 0.98 0.98 0.97 0.98 1400 0.77
2015-05-11 0.98 0.98 0.87 0.95 6000 0.75
2015-05-12 0.88 0.95 0.88 0.88 4500 0.69
2015-05-13 0.88 0.88 0.88 0.88 0 0.69
2015-05-14 0.88 0.94 0.88 0.94 1200 0.74
2015-05-15 0.94 0.94 0.94 0.94 0 0.74
2015-05-18 0.94 0.94 0.94 0.94 0 0.74
2015-05-19 0.94 0.94 0.94 0.94 0 0.74
2015-05-20 0.9 0.9 0.87 0.87 1500 0.68
2015-05-21 0.87 0.87 0.87 0.87 0 0.68
2015-05-22 0.88 0.93 0.88 0.9 400 0.71
2015-05-25 0.9 0.9 0.9 0.9 0 0.71
2015-05-26 0.9 0.9 0.85 0.85 200 0.67
2015-05-27 0.85 0.85 0.77 0.84 3800 0.66
2015-05-28 0.83 0.89 0.79 0.89 1900 0.7
2015-05-29 0.89 0.89 0.89 0.89 0 0.7
2015-06-01 0.9 0.9 0.77 0.89 10900 0.7
2015-06-02 0.89 0.89 0.89 0.89 0 0.7
2015-06-03 0.89 0.89 0.89 0.89 0 0.7
2015-06-04 0.89 0.89 0.89 0.89 0 0.7
2015-06-05 0.88 0.94 0.88 0.94 6700 0.74
2015-06-08 0.93 0.93 0.75 0.91 9500 0.72
2015-06-09 0.91 0.91 0.85 0.88 700 0.69
2015-06-10 0.88 0.88 0.88 0.88 0 0.69
2015-06-11 0.87 0.87 0.85 0.85 100 0.67
2015-06-12 0.85 0.85 0.8 0.8 3000 0.63
2015-06-15 0.78 0.81 0.78 0.81 300 0.64
2015-06-16 0.82 0.82 0.82 0.82 100 0.65
2015-06-17 0.82 0.84 0.66 0.84 6200 0.66
2015-06-18 0.7 0.82 0.7 0.82 3200 0.65
2015-06-19 0.82 0.82 0.71 0.82 2300 0.65
2015-06-22 0.72 0.85 0.67 0.85 6400 0.67
2015-06-23 0.8 0.85 0.73 0.85 11600 0.67
2015-06-24 0.85 0.85 0.85 0.85 0 0.67
2015-06-25 0.85 0.85 0.85 0.85 0 0.67
2015-06-26 0.85 0.85 0.85 0.85 100 0.67
2015-06-29 0.85 0.85 0.85 0.85 0 0.67
2015-06-30 0.85 0.85 0.7 0.85 5000 0.67
2015-07-01 0.85 0.85 0.7 0.78 5500 0.61
2015-07-02 0.75 0.9 0.7 0.86 90800 0.68
2015-07-03 0.85 0.85 0.84 0.85 1800 0.67
2015-07-06 0.86 0.86 0.8 0.86 1900 0.68
2015-07-07 0.84 0.93 0.84 0.87 16700 0.68
2015-07-08 0.9 0.9 0.81 0.89 9900 0.7
2015-07-09 0.89 0.89 0.83 0.88 1100 0.69
2015-07-10 0.88 0.88 0.87 0.88 2500 0.69
2015-07-13 0.89 0.92 0.87 0.92 5600 0.82
2015-07-14 0.89 0.89 0.87 0.87 3100 0.77
2015-07-15 0.87 0.88 0.84 0.84 5500 0.75
2015-07-16 0.81 0.84 0.81 0.84 6300 0.75
2015-07-17 0.84 0.84 0.84 0.84 0 0.75
2015-07-20 0.84 0.84 0.84 0.84 0 0.75
2015-07-21 0.88 0.9 0.87 0.87 5200 0.77
2015-07-22 0.9 0.9 0.88 0.88 12500 0.78
2015-07-23 0.87 0.87 0.86 0.86 5700 0.76
2015-07-24 0.86 0.86 0.86 0.86 200 0.76
2015-07-27 0.86 0.89 0.8 0.89 15200 0.79
2015-07-28 0.9 0.9 0.85 0.85 1700 0.75
2015-07-29 0.89 0.89 0.88 0.89 1100 0.79
2015-07-30 0.91 0.91 0.87 0.87 13100 0.87
2015-07-31 0.86 0.86 0.78 0.78 3700 0.78
2015-08-03 0.81 0.81 0.71 0.71 2800 0.71
2015-08-04 0.72 0.8 0.72 0.8 200 0.8
2015-08-05 0.8 0.8 0.8 0.8 0 0.8
2015-08-06 0.8 0.8 0.8 0.8 0 0.8
2015-08-07 0.76 0.76 0.68 0.68 5700 0.68
2015-08-10 0.68 0.68 0.66 0.66 4000 0.66
2015-08-11 0.66 0.66 0.66 0.66 0 0.66
2015-08-12 0.66 0.66 0.66 0.66 0 0.66
2015-08-13 0.65 0.65 0.59 0.59 5400 0.59
2015-08-14 0.59 0.59 0.56 0.58 1300 0.58
2015-08-17 0.59 0.66 0.59 0.66 500 0.66
2015-08-18 0.6 0.61 0.51 0.61 5200 0.61
2015-08-19 0.61 0.61 0.61 0.61 200 0.61
2015-08-20 0.61 0.61 0.61 0.61 0 0.61
2015-08-21 0.61 0.61 0.6 0.6 100 0.6
2015-08-24 0.6 0.6 0.53 0.53 5000 0.53
2015-08-25 0.51 0.61 0.42 0.61 3800 0.61
2015-08-26 0.59 0.65 0.59 0.65 5400 0.65
2015-08-27 0.64 0.65 0.64 0.65 200 0.65
2015-08-28 0.65 0.67 0.56 0.66 13700 0.66
2015-08-31 0.7 0.76 0.65 0.74 3100 0.74
2015-09-01 0.74 0.81 0.74 0.81 4500 0.81
2015-09-02 0.8 0.8 0.76 0.76 200 0.76
2015-09-03 0.75 0.76 0.61 0.76 2400 0.76
2015-09-04 0.75 0.75 0.69 0.69 1100 0.69
2015-09-07 0.7 0.73 0.7 0.73 1300 0.73
2015-09-08 0.72 0.75 0.72 0.75 1700 0.75
2015-09-09 0.75 0.75 0.7 0.7 1500 0.7
2015-09-10 0.73 0.75 0.73 0.75 400 0.75
2015-09-11 0.75 0.75 0.75 0.75 100 0.75
2015-09-14 0.75 0.75 0.75 0.75 0 0.75
2015-09-15 0.76 0.83 0.73 0.78 8900 0.78
2015-09-16 0.78 0.78 0.77 0.78 500 0.78
2015-09-17 0.8 0.8 0.66 0.72 7000 0.72
2015-09-18 0.72 0.72 0.72 0.72 2000 0.72
