"Index" "ME.Open" "ME.High" "ME.Low" "ME.Close" "ME.Volume" "ME.Adjusted"
2014-03-27 39911 39911 39911 39911 0 39911
2014-03-28 40048.199 40048.199 40048.199 40048.199 0 40048.199
2014-03-31 40461.602 40461.602 40461.602 40461.602 0 40461.602
2014-04-01 40470 40470 40470 40470 0 40470
2014-04-02 40900.5 40900.5 40900.5 40900.5 0 40900.5
2014-04-03 40563.102 40563.102 40563.102 40563.102 0 40563.102
2014-04-04 40598.301 40598.301 40598.301 40598.301 0 40598.301
2014-04-07 40595.699 40595.699 40595.699 40595.699 0 40595.699
2014-04-08 40906.801 40906.801 40906.801 40906.801 0 40906.801
2014-04-09 40937.801 40937.801 40937.801 40937.801 0 40937.801
2014-04-10 40448 40448 40448 40448 0 40448
2014-04-11 40380.801 40380.801 40380.801 40380.801 0 40380.801
2014-04-14 40530.699 40530.699 40530.699 40530.699 0 40530.699
2014-04-15 40481.801 40481.801 40481.801 40481.801 0 40481.801
2014-04-16 40890.5 40890.5 40890.5 40890.5 0 40890.5
2014-04-17 40890.5 40890.5 40890.5 40890.5 0 40890.5
2014-04-21 40654.102 40654.102 40654.102 40654.102 0 40654.102
2014-04-22 40468.199 40468.199 40468.199 40468.199 0 40468.199
2014-04-23 40297 40297 40297 40297 0 40297
2014-04-24 40407.898 40407.898 40407.898 40407.898 0 40407.898
2014-04-25 40198.398 40198.398 40198.398 40198.398 0 40198.398
2014-04-28 40136.602 40136.602 40136.602 40136.602 0 40136.602
2014-04-29 40702.699 40702.699 40702.699 40702.699 0 40702.699
2014-04-30 40711.602 40711.602 40711.602 40711.602 0 40711.602
2014-05-01 40711.602 40711.602 40711.602 40711.602 0 40711.602
2014-05-02 40967.898 40967.898 40967.898 40967.898 0 40967.898
2014-05-05 41047.898 41047.898 41047.898 41047.898 0 41047.898
2014-05-06 41470.801 41470.801 41470.801 41470.801 0 41470.801
2014-05-07 41803.102 41803.102 41803.102 41803.102 0 41803.102
2014-05-08 41659.898 41659.898 41659.898 41659.898 0 41659.898
2014-05-09 41641.102 41641.102 41641.102 41641.102 0 41641.102
2014-05-12 42086.199 42086.199 42086.199 42086.199 0 42086.199
2014-05-13 42236.801 42236.801 42236.801 42236.801 0 42236.801
2014-05-14 42144.5 42144.5 42144.5 42144.5 0 42144.5
2014-05-15 41561.801 41561.801 41561.801 41561.801 0 41561.801
2014-05-16 41898.801 41898.801 41898.801 41898.801 0 41898.801
2014-05-19 41840.102 41840.102 41840.102 41840.102 0 41840.102
2014-05-20 41733.898 41733.898 41733.898 41733.898 0 41733.898
2014-05-21 41829 41829 41829 41829 0 41829
2014-05-22 41944 41944 41944 41944 0 41944
2014-05-23 41917.898 41917.898 41917.898 41917.898 0 41917.898
2014-05-26 42004.602 42004.602 42004.602 42004.602 0 42004.602
2014-05-27 41959 41959 41959 41959 0 41959
2014-05-28 41960.398 41960.398 41960.398 41960.398 0 41960.398
2014-05-29 42009.898 42009.898 42009.898 42009.898 0 42009.898
2014-05-30 41362.5 41362.5 41362.5 41362.5 0 41362.5
2014-06-02 41936.699 41936.699 41936.699 41936.699 0 41936.699
2014-06-03 42126.102 42126.102 42126.102 42126.102 0 42126.102
2014-06-04 41953.301 41953.301 41953.301 41953.301 0 41953.301
2014-06-05 42173 42173 42173 42173 0 42173
2014-06-06 42778.301 42778.301 42778.301 42778.301 0 42778.301
2014-06-09 43010 43010 43010 43010 0 43010
2014-06-10 43045.301 43045.301 43045.301 43045.301 0 43045.301
2014-06-11 42944.801 42944.801 42944.801 42944.801 0 42944.801
2014-06-12 42617.602 42617.602 42617.602 42617.602 0 42617.602
2014-06-13 42485.699 42485.699 42485.699 42485.699 0 42485.699
2014-06-16 42596.199 42596.199 42596.199 42596.199 0 42596.199
2014-06-17 42612.602 42612.602 42612.602 42612.602 0 42612.602
2014-06-18 42802.602 42802.602 42802.602 42802.602 0 42802.602
2014-06-19 42957.398 42957.398 42957.398 42957.398 0 42957.398
2014-06-20 42865.699 42865.699 42865.699 42865.699 0 42865.699
2014-06-23 42916.699 42916.699 42916.699 42916.699 0 42916.699
2014-06-24 42884.801 42884.801 42884.801 42884.801 0 42884.801
2014-06-25 42854.199 42854.199 42854.199 42854.199 0 42854.199
2014-06-26 42613.801 42613.801 42613.801 42613.801 0 42613.801
2014-06-27 42493.898 42493.898 42493.898 42493.898 0 42493.898
2014-06-30 42737.199 42737.199 42737.199 42737.199 0 42737.199
2014-07-01 42872.801 42872.801 42872.801 42872.801 0 42872.801
2014-07-02 43279.5 43279.5 43279.5 43279.5 0 43279.5
2014-07-03 43660.699 43660.699 43660.699 43660.699 0 43660.699
2014-07-04 43518.102 43518.102 43518.102 43518.102 0 43518.102
2014-07-07 43452.602 43452.602 43452.602 43452.602 0 43452.602
2014-07-08 43403.398 43403.398 43403.398 43403.398 0 43403.398
2014-07-09 43686.801 43686.801 43686.801 43686.801 0 43686.801
2014-07-10 43474.301 43474.301 43474.301 43474.301 0 43474.301
2014-07-11 43481.801 43481.801 43481.801 43481.801 0 43481.801
2014-07-14 43967.398 43967.398 43967.398 43967.398 0 43967.398
2014-07-15 43960.398 43960.398 43960.398 43960.398 0 43960.398
2014-07-16 44009.199 44009.199 44009.199 44009.199 0 44009.199
2014-07-17 43920.801 43920.801 43920.801 43920.801 0 43920.801
2014-07-18 44278.898 44278.898 44278.898 44278.898 0 44278.898
2014-07-21 44125.699 44125.699 44125.699 44125.699 0 44125.699
2014-07-22 44257.102 44257.102 44257.102 44257.102 0 44257.102
2014-07-23 44199 44199 44199 44199 0 44199
2014-07-24 44420.398 44420.398 44420.398 44420.398 0 44420.398
2014-07-25 44386.602 44386.602 44386.602 44386.602 0 44386.602
2014-07-28 44545 44545 44545 44545 0 44545
2014-07-29 44481.301 44481.301 44481.301 44481.301 0 44481.301
2014-07-30 44311.102 44311.102 44311.102 44311.102 0 44311.102
2014-07-31 43817.699 43817.699 43817.699 43817.699 0 43817.699
2014-08-01 43986.102 43986.102 43986.102 43986.102 0 43986.102
2014-08-04 44594.699 44594.699 44594.699 44594.699 0 44594.699
2014-08-05 44481.699 44481.699 44481.699 44481.699 0 44481.699
2014-08-06 44425.801 44425.801 44425.801 44425.801 0 44425.801
2014-08-07 44116.102 44116.102 44116.102 44116.102 0 44116.102
2014-08-08 44105.898 44105.898 44105.898 44105.898 0 44105.898
2014-08-11 44679.199 44679.199 44679.199 44679.199 0 44679.199
2014-08-12 44734 44734 44734 44734 0 44734
2014-08-13 44724 44724 44724 44724 0 44724
2014-08-14 44793 44793 44793 44793 0 44793
2014-08-15 44629.301 44629.301 44629.301 44629.301 0 44629.301
2014-08-18 44854.801 44854.801 44854.801 44854.801 0 44854.801
2014-08-19 44962.898 44962.898 44962.898 44962.898 0 44962.898
2014-08-20 45248.102 45248.102 45248.102 45248.102 0 45248.102
2014-08-21 45410.398 45410.398 45410.398 45410.398 0 45410.398
2014-08-22 45375 45375 45375 45375 0 45375
2014-08-25 45504.301 45504.301 45504.301 45504.301 0 45504.301
2014-08-26 45464.801 45464.801 45464.801 45464.801 0 45464.801
2014-08-27 45601 45601 45601 45601 0 45601
2014-08-28 45501.301 45501.301 45501.301 45501.301 0 45501.301
2014-08-29 45628.102 45628.102 45628.102 45628.102 0 45628.102
2014-09-01 45438 45438 45438 45438 0 45438
2014-09-02 45825.102 45825.102 45825.102 45825.102 0 45825.102
2014-09-03 46049.301 46049.301 46049.301 46049.301 0 46049.301
2014-09-04 46313.398 46313.398 46313.398 46313.398 0 46313.398
