"Index" "USD.SEK"
2014-09-24 7.1584
2014-09-25 7.2034
2014-09-26 7.2292
2014-09-27 7.267
2014-09-28 7.2679
2014-09-29 7.257
2014-09-30 7.2352
2014-10-01 7.2161
2014-10-02 7.1988
2014-10-03 7.2253
2014-10-04 7.2798
2014-10-05 7.2797
2014-10-06 7.2449
2014-10-07 7.1912
2014-10-08 7.2045
2014-10-09 7.1739
2014-10-10 7.2271
2014-10-11 7.2327
2014-10-12 7.2316
2014-10-13 7.1927
2014-10-14 7.19
2014-10-15 7.2296
2014-10-16 7.1743
2014-10-17 7.1618
2014-10-18 7.1793
2014-10-19 7.18
2014-10-20 7.1899
2014-10-21 7.1991
2014-10-22 7.2515
2014-10-23 7.2675
2014-10-24 7.2574
2014-10-25 7.2518
2014-10-26 7.2474
2014-10-27 7.2634
2014-10-28 7.3227
2014-10-29 7.3325
2014-10-30 7.3691
2014-10-31 7.3907
2014-11-01 7.3938
2014-11-02 7.4028
2014-11-03 7.4002
2014-11-04 7.4047
2014-11-05 7.3806
2014-11-06 7.3837
2014-11-07 7.4276
2014-11-08 7.4062
2014-11-09 7.4045
2014-11-10 7.3985
2014-11-11 7.4134
2014-11-12 7.405
2014-11-13 7.4212
2014-11-14 7.4227
2014-11-15 7.3862
2014-11-16 7.3856
2014-11-17 7.3999
2014-11-18 7.3976
2014-11-19 7.3879
2014-11-20 7.396
2014-11-21 7.4234
2014-11-22 7.4653
2014-11-23 7.4756
2014-11-24 7.4554
2014-11-25 7.4466
2014-11-26 7.4198
2014-11-27 7.4198
2014-11-28 7.4198
2014-11-29 7.4198
2014-11-30 7.4529
2014-12-01 7.4399
2014-12-02 7.4658
2014-12-03 7.5217
2014-12-04 7.5156
2014-12-05 7.5221
2014-12-06 7.5563
2014-12-07 7.5606
2014-12-08 7.564
2014-12-09 7.5307
2014-12-10 7.5251
2014-12-11 7.529
2014-12-12 7.5426
2014-12-13 7.5481
2014-12-14 7.5345
2014-12-15 7.5773
2014-12-16 7.6211
2014-12-17 7.6372
2014-12-18 7.6757
2014-12-19 7.7114
2014-12-20 7.7349
2014-12-21 7.735
2014-12-22 7.7543
2014-12-23 7.7915
2014-12-24 7.796
2014-12-25 7.8039
2014-12-26 7.8182
2014-12-27 7.8082
2014-12-28 7.8283
2014-12-29 7.8322
2014-12-30 7.8027
2014-12-31 7.7596
2015-01-01 7.8061
2015-01-02 7.8601
2015-01-03 7.932
2015-01-04 7.9185
2015-01-05 7.9462
2015-01-06 7.9161
2015-01-07 7.9474
2015-01-08 7.9973
2015-01-09 8.0371
2015-01-10 8.0603
2015-01-11 8.0488
2015-01-12 8.0603
2015-01-13 8.0443
2015-01-14 8.0443
2015-01-15 8.1354
2015-01-16 8.1231
2015-01-17 8.0959
2015-01-18 8.0967
2015-01-19 8.111
2015-01-20 8.1504
2015-01-21 8.1673
2015-01-22 8.1746
2015-01-23 8.2758
2015-01-24 8.3365
2015-01-25 8.3586
2015-01-26 8.3198
2015-01-27 8.2508
2015-01-28 8.2077
2015-01-29 8.272
2015-01-30 8.2681
2015-01-31 8.2784
2015-02-01 8.2723
2015-02-02 8.2731
2015-02-03 8.2729
2015-02-04 8.2382
2015-02-05 8.2703
2015-02-06 8.2935
2015-02-07 8.4002
2015-02-08 8.401
2015-02-09 8.3813
2015-02-10 8.3459
2015-02-11 8.3562
2015-02-12 8.4239
2015-02-13 8.4228
2015-02-14 8.426
2015-02-15 8.4203
2015-02-16 8.4025
2015-02-17 8.3755
2015-02-18 8.363
2015-02-19 8.379
2015-02-20 8.4119
2015-02-21 8.3809
2015-02-22 8.3641
2015-02-23 8.4125
2015-02-24 8.4088
2015-02-25 8.3598
2015-02-26 8.3263
2015-02-27 8.3676
2015-02-28 8.3356
2015-03-01 8.337
2015-03-02 8.3465
2015-03-03 8.306
2015-03-04 8.3023
2015-03-05 8.342
2015-03-06 8.3928
2015-03-07 8.4637
2015-03-08 8.4646
2015-03-09 8.47
2015-03-10 8.5235
2015-03-11 8.593
2015-03-12 8.6134
2015-03-13 8.6422
2015-03-14 8.7151
2015-03-15 8.7196
2015-03-16 8.6825
2015-03-17 8.6595
2015-03-18 8.6887
2015-03-19 8.6664
2015-03-20 8.6577
2015-03-21 8.6255
2015-03-22 8.6058
2015-03-23 8.5742
2015-03-24 8.5044
2015-03-25 8.4926
2015-03-26 8.5035
2015-03-27 8.589
2015-03-28 8.5856
2015-03-29 8.5866
2015-03-30 8.5994
2015-03-31 8.6252
2015-04-01 8.6249
2015-04-02 8.6376
2015-04-03 8.5981
2015-04-04 8.5487
2015-04-05 8.5458
2015-04-06 8.5352
2015-04-07 8.6033
2015-04-08 8.6486
2015-04-09 8.7064
2015-04-10 8.7859
2015-04-11 8.8229
2015-04-12 8.8227
2015-04-13 8.8288
2015-04-14 8.8018
2015-04-15 8.7749
2015-04-16 8.6624
2015-04-17 8.6042
2015-04-18 8.6326
2015-04-19 8.6307
2015-04-20 8.6591
2015-04-21 8.6902
2015-04-22 8.6733
2015-04-23 8.7081
2015-04-24 8.6402
2015-04-25 8.6271
2015-04-26 8.6373
2015-04-27 8.625
2015-04-28 8.5862
2015-04-29 8.432
2015-04-30 8.3336
2015-05-01 8.3481
2015-05-02 8.4011
2015-05-03 8.3959
2015-05-04 8.384
2015-05-05 8.3741
2015-05-06 8.2894
2015-05-07 8.2333
2015-05-08 8.2673
2015-05-09 8.2544
2015-05-10 8.2538
2015-05-11 8.2808
2015-05-12 8.2971
2015-05-13 8.2817
2015-05-14 8.2327
2015-05-15 8.2447
2015-05-16 8.1923
2015-05-17 8.2013
2015-05-18 8.2199
2015-05-19 8.2962
2015-05-20 8.3547
2015-05-21 8.3274
2015-05-22 8.3316
2015-05-23 8.3912
2015-05-24 8.3977
2015-05-25 8.4075
2015-05-26 8.4432
2015-05-27 8.4925
2015-05-28 8.4918
2015-05-29 8.4886
2015-05-30 8.52
2015-05-31 8.5204
2015-06-01 8.5591
2015-06-02 8.5224
2015-06-03 8.3992
2015-06-04 8.2851
2015-06-05 8.3383
2015-06-06 8.3801
2015-06-07 8.3837
2015-06-08 8.3777
2015-06-09 8.2996
2015-06-10 8.2762
2015-06-11 8.245
2015-06-12 8.21
2015-06-13 8.1817
2015-06-14 8.2084
2015-06-15 8.1943
2015-06-16 8.1778
2015-06-17 8.1726
2015-06-18 8.0993
2015-06-19 8.1329
2015-06-20 8.1177
2015-06-21 8.1132
2015-06-22 8.1197
2015-06-23 8.2072
2015-06-24 8.2449
2015-06-25 8.2388
2015-06-26 8.2736
2015-06-27 8.3013
2015-06-28 8.3096
2015-06-29 8.3177
2015-06-30 8.2547
2015-07-01 8.3227
2015-07-02 8.4148
2015-07-03 8.4502
2015-07-04 8.454
2015-07-05 8.4621
2015-07-06 8.486
2015-07-07 8.5022
2015-07-08 8.5018
2015-07-09 8.4758
2015-07-10 8.4416
2015-07-11 8.4286
2015-07-12 8.4356
2015-07-13 8.4628
2015-07-14 8.5041
2015-07-15 8.5117
2015-07-16 8.5288
2015-07-17 8.5811
2015-07-18 8.6524
2015-07-19 8.639
2015-07-20 8.6372
2015-07-21 8.6028
2015-07-22 8.5758
2015-07-23 8.5827
2015-07-24 8.5861
2015-07-25 8.5934
2015-07-26 8.593
2015-07-27 8.5427
2015-07-28 8.5412
2015-07-29 8.5816
2015-07-30 8.6417
2015-07-31 8.6075
2015-08-01 8.6258
2015-08-02 8.6258
2015-08-03 8.6343
2015-08-04 8.6526
2015-08-05 8.719
2015-08-06 8.723
2015-08-07 8.7602
2015-08-08 8.7654
2015-08-09 8.7638
2015-08-10 8.7453
2015-08-11 8.6913
2015-08-12 8.6146
2015-08-13 8.5457
2015-08-14 8.4781
2015-08-15 8.5068
2015-08-16 8.508
2015-08-17 8.5185
2015-08-18 8.5333
2015-08-19 8.5482
2015-08-20 8.5137
2015-08-21 8.4534
2015-08-22 8.3545
2015-08-23 8.3554
2015-08-24 8.3007
2015-08-25 8.3275
2015-08-26 8.4162
2015-08-27 8.4772
2015-08-28 8.4547
2015-08-29 8.4635
2015-08-30 8.4647
2015-08-31 8.4553
2015-09-01 8.4469
2015-09-02 8.4391
2015-09-03 8.4147
2015-09-04 8.4338
2015-09-05 8.4371
