"Index" "HP.Open" "HP.High" "HP.Low" "HP.Close" "HP.Volume" "HP.Adjusted"
2014-05-23 106.440002 106.5 105.470001 105.949997 531000 100.039829
2014-05-27 105.93 107.410004 105.629997 107.099998 840500 101.12568
2014-05-28 107.040001 109.220001 106.57 108.839996 991700 102.768617
2014-05-29 109.040001 109.980003 107.5 109.879997 835100 103.750604
2014-05-30 109.449997 110.379997 108.75 109.949997 778100 103.816698
2014-06-02 109.900002 110.32 109.019997 109.190002 563400 103.099098
2014-06-03 108.760002 109.260002 107.349998 109.07 1107100 102.98579
2014-06-04 108.68 110.440002 107.720001 110.239998 992500 104.090522
2014-06-05 110.410004 111.349998 109.889999 111.190002 934000 104.987533
2014-06-06 111.480003 112.120003 111.029999 111.620003 761500 105.393547
2014-06-09 111.68 113.940002 111.25 112.919998 1217100 106.621025
2014-06-10 112.480003 112.580002 111.150002 111.610001 793000 105.384103
2014-06-11 111.300003 111.769997 110.690002 111.300003 475300 105.091398
2014-06-12 111.330002 113.629997 111.330002 112.07 702000 105.818442
2014-06-13 112.349998 113.099998 111.169998 113.080002 566000 106.772103
2014-06-16 112.959999 113.660004 112.089996 113.639999 955600 107.300863
2014-06-17 113.290001 114.169998 112.709999 113.470001 627900 107.140348
2014-06-18 113.82 114.5 113.260002 114.339996 529600 107.961812
2014-06-19 115.089996 116.230003 114.010002 116.209999 1075400 109.727501
2014-06-20 117.07 118.019997 116.5 116.720001 2061300 110.209054
2014-06-23 116.010002 116.989998 115.139999 115.699997 1201500 109.245948
2014-06-24 115.360001 115.75 111.690002 111.739998 1096900 105.506848
2014-06-25 111.690002 114.43 111.650002 114.080002 941800 107.716321
2014-06-26 114.519997 115.860001 113.290001 115.349998 804000 108.915474
2014-06-27 114.739998 115.849998 114.32 115.480003 1605600 109.038227
2014-06-30 115.389999 116.230003 114.849998 116.110001 710200 109.633081
2014-07-01 116.910004 118.019997 116.349998 116.510002 848400 110.010769
2014-07-02 116.739998 118.949997 116.739998 117.75 1077000 111.181597
2014-07-03 118.610001 118.610001 116.800003 118.290001 426000 111.691475
2014-07-07 117.220001 117.410004 115.309998 115.449997 825200 109.009894
2014-07-08 115.529999 115.959999 114.199997 115.5 1061800 109.057108
2014-07-09 116.099998 116.230003 114.900002 115.75 1182700 109.293162
2014-07-10 114.160004 115.279999 113.040001 114.610001 949600 108.216755
2014-07-11 114.489998 114.559998 112.599998 113.480003 784900 107.149792
2014-07-14 114.239998 115.379997 113.629997 114.129997 693500 107.763527
2014-07-15 113.940002 114.629997 111.870003 112.93 979200 106.630469
2014-07-16 113.919998 116.279999 113.57 116.230003 943500 109.74639
2014-07-17 115.790001 116.489998 113.339996 113.519997 751300 107.187554
2014-07-18 113.709999 114.68 112.800003 114.230003 735400 107.857955
2014-07-21 114.040001 114.760002 113.43 114.5 520800 108.11289
2014-07-22 115.239998 116.339996 115.010002 116.040001 543700 109.566986
2014-07-23 116.190002 116.690002 114.529999 116.25 513100 109.765271
2014-07-24 116.900002 118.07 115.900002 116.959999 810200 110.435664
2014-07-25 116.459999 117.209999 115.220001 116.800003 649800 110.284593
2014-07-28 117.150002 117.5 114.730003 116.220001 589100 109.736946
2014-07-29 115.989998 116.129997 115.080002 115.169998 709300 108.745514
2014-07-30 116.580002 116.639999 113.809998 114.5 911400 108.11289
2014-07-31 113.5 113.510002 104.809998 106.260002 2640600 100.332541
2014-08-01 105.459999 106.050003 102.769997 105.480003 1764200 99.596053
2014-08-04 105.400002 107.400002 103.860001 107.260002 1440600 101.276759
2014-08-05 106.360001 106.68 103.529999 104.110001 1356900 98.302472
2014-08-06 103.18 106.209999 103.099998 103.989998 814100 98.189164
2014-08-07 104.290001 104.709999 100.870003 101.93 1737800 96.244078
2014-08-08 102.110001 103.5 101.199997 103.230003 1294000 97.471564
2014-08-11 103.550003 103.989998 102.099998 102.639999 1125300 96.914472
2014-08-12 103.099998 103.099998 100.860001 101.220001 974300 95.573685
2014-08-13 101.699997 102.809998 101.410004 102.260002 1066900 97.216461
2014-08-14 103.080002 103.419998 98.339996 98.629997 1281600 93.765491
2014-08-15 98.870003 99.93 98.550003 99.379997 1817100 94.478501
2014-08-18 99.839996 100.129997 98.309998 99.330002 1214800 94.430971
2014-08-19 99.650002 100.209999 99.18 99.279999 885600 94.383434
2014-08-20 99.839996 101.190002 98.559998 101.050003 1238300 96.06614
2014-08-21 100.790001 100.889999 99 100.040001 1207800 95.105952
2014-08-22 100 100.260002 98.480003 99.879997 820500 94.95384
2014-08-25 100.120003 101.529999 99.879997 101.139999 905100 96.151698
2014-08-26 101.32 103.82 101.32 101.949997 906300 96.921746
2014-08-27 102.120003 103.690002 101.199997 102.860001 793700 97.786867
2014-08-28 102.220001 103.440002 101.839996 103.07 824000 97.986509
2014-08-29 103.290001 105.209999 102.160004 105.050003 1055500 99.868857
2014-09-02 104.739998 105 102.769997 103.82 1220200 98.699519
2014-09-03 104 105.5 103.830002 105.120003 1035500 99.935405
2014-09-04 105.150002 105.290001 101.730003 102.660004 1289200 97.596735
2014-09-05 102.660004 103.900002 101.519997 103.900002 764100 98.775575
2014-09-08 103.230003 103.279999 101.07 101.839996 962400 96.817171
2014-09-09 101.809998 102.290001 100.010002 100.639999 1072400 95.676358
2014-09-10 100.940002 101.360001 99.419998 101 872100 96.018604
2014-09-11 100.839996 102.980003 99.82 102.870003 904800 97.796376
2014-09-12 102.830002 102.839996 100.610001 100.82 960600 95.847481
2014-09-15 100.650002 102.199997 100.07 101.620003 820900 96.608027
2014-09-16 101.540001 105 101.489998 104.040001 942800 98.908669
2014-09-17 104.599998 104.599998 102.720001 103.269997 1069900 98.176642
2014-09-18 103.900002 104.089996 102.800003 102.870003 795500 97.796376
2014-09-19 103.349998 103.919998 101.040001 101.120003 1184300 96.132688
2014-09-22 100.889999 100.889999 97.18 98.220001 1551200 93.375716
2014-09-23 98.18 99.5 97.809998 98.559998 1006700 93.698944
2014-09-24 98.889999 100.220001 96.790001 99.879997 1311500 94.95384
2014-09-25 99.989998 100.07 97.07 97.669998 930700 92.85284
2014-09-26 97.699997 99.720001 97.099998 99 1086400 94.117245
2014-09-29 97.669998 99 96.949997 98.800003 764300 93.927112
2014-09-30 99.190002 100.080002 97.239998 97.870003 1258100 93.04298
2014-10-01 98 98.470001 94.199997 94.580002 1342400 89.915245
2014-10-02 93.720001 93.730003 88.68 91.010002 2290600 86.52132
2014-10-03 91.360001 92.25 89.540001 90.440002 1466200 85.979433
2014-10-06 91.110001 92.43 89.980003 90.57 1532600 86.103019
2014-10-07 90.339996 92.190002 88.669998 88.699997 1455300 84.325246
2014-10-08 88.269997 89.550003 85.139999 89.410004 2292900 85.000235
2014-10-09 89.330002 89.330002 84.5 85.360001 2039200 81.149981
2014-10-10 85.529999 85.879997 82.199997 83.870003 2209500 79.733471
2014-10-13 83.510002 85.290001 78.860001 78.93 2288600 75.037113
2014-10-14 80.150002 82.790001 77.510002 78.370003 2968400 74.504735
2014-10-15 77.290001 82.739998 76.949997 82.400002 3368100 78.335971
2014-10-16 80.370003 87.07 79.519997 86.589996 2629700 82.319312
2014-10-17 87.900002 89.760002 83.760002 84.68 2107800 80.503519
2014-10-20 84.910004 87.769997 84.419998 87.470001 1487500 83.155915
2014-10-21 88.470001 90.540001 87.889999 90.419998 1378900 85.960415
2014-10-22 92.190002 92.190002 85.870003 85.949997 2049700 81.710878
2014-10-23 87.550003 89.300003 85.93 88.610001 1381200 84.239688
2014-10-24 88.150002 88.290001 85.169998 86.980003 1294200 82.690084
2014-10-27 85.18 85.18 81.599998 82.279999 1700800 78.221887
2014-10-28 81.610001 85.849998 81.260002 85.769997 2157100 81.539755
2014-10-29 86.459999 88.370003 84.370003 85.690002 1821700 81.463707
2014-10-30 84.860001 86.32 83.440002 84.809998 1054500 80.627104
2014-10-31 85.18 86.970001 83.529999 86.82 1342100 82.537972
2014-11-03 87.290001 87.75 83.919998 84.290001 2064800 80.132754
2014-11-04 82.43 82.610001 80.519997 80.690002 1775900 76.71031
2014-11-05 82.25 85.699997 81 84.260002 1695200 80.104235
2014-11-06 83.32 85.75 82.489998 85.720001 1371400 81.492226
2014-11-07 85.440002 87.839996 85.440002 86.699997 1377100 82.423887
2014-11-10 87.860001 89.349998 85.739998 86.400002 1560700 82.138688
2014-11-11 86.300003 86.870003 84.620003 86.010002 1531300 81.767924
2014-11-12 84.400002 87.419998 84.209999 85.559998 1887900 81.996006
2014-11-13 82.080002 84.470001 77.330002 79.790001 4410300 76.466358
2014-11-14 79.790001 81.110001 77.769997 79.010002 2787700 75.71885
2014-11-17 78.709999 79.160004 76.669998 78.25 3433100 74.990505
2014-11-18 76.260002 78.989998 76.260002 77.900002 2326700 74.655086
2014-11-19 78.239998 78.5 77.040001 77.970001 1470900 74.72217
2014-11-20 77.970001 80.589996 77.809998 80.360001 1540200 77.012614
2014-11-21 81.949997 84.120003 80.800003 81.809998 1918600 78.402212
2014-11-24 81.349998 82.339996 80.029999 80.550003 1895000 77.194702
2014-11-25 80.839996 81.410004 79.010002 79.489998 1626300 76.178851
2014-11-26 79.660004 80.410004 77.300003 77.730003 2008500 74.492169
2014-11-28 73.839996 73.989998 68.790001 69.550003 2847400 66.652906
2014-12-01 68.879997 69.769997 66.989998 69.07 3036800 66.192897
2014-12-02 68.019997 71.440002 68.019997 68.830002 2571500 65.962896
2014-12-03 69.220001 70.690002 68.830002 69.989998 1845100 67.074573
2014-12-04 69 70.110001 68.300003 68.910004 1704700 66.039565
2014-12-05 68.470001 68.989998 66.209999 67.440002 2066600 64.630797
2014-12-08 66.260002 66.260002 62.139999 62.419998 2618500 59.8199
2014-12-09 62.369999 64.82 61.439999 64.529999 3433700 61.842009
2014-12-10 63.18 63.18 61.23 61.98 3934800 59.39823
2014-12-11 63.939999 64.190002 61.349998 61.669998 2521700 59.101141
2014-12-12 60.740002 62.389999 60.34 60.34 2015100 57.826544
2014-12-15 60.689999 62 60.09 60.41 1826200 57.893628
2014-12-16 60 63.529999 59.240002 60.490002 2658700 57.970298
2014-12-17 61.5 66.190002 61.169998 65.019997 2591400 62.311596
2014-12-18 67.489998 68.040001 64.75 66.43 2198600 63.662866
2014-12-19 67.690002 71.910004 67.010002 71.849998 3402700 68.857095
2014-12-22 71.050003 71.050003 67.93 69.93 2759600 67.017074
2014-12-23 69.75 70.410004 66.849998 67.910004 2042300 65.08122
2014-12-24 67.690002 67.889999 65.669998 67.25 810500 64.448709
2014-12-26 67.459999 68.790001 66.5 67.190002 1202000 64.391211
2014-12-29 67.779999 69.309998 67.300003 68.239998 1340600 65.397469
2014-12-30 67.870003 68.010002 66.559998 66.959999 1165700 64.170788
2014-12-31 66.470001 68.669998 65.25 67.419998 1777300 64.611626
2015-01-02 67.019997 68.260002 65.989998 67.339996 1312500 64.534957
2015-01-05 66.010002 66.199997 64.5 65.480003 1995000 62.752441
2015-01-06 64.989998 66.290001 62.470001 63.66 2165400 61.00825
2015-01-07 62.41 62.84 58.400002 59.459999 5164700 56.9832
2015-01-08 60.099998 61.889999 59.93 60.799999 4431900 58.267382
2015-01-09 60.860001 61.240002 59.16 60.799999 3105800 58.267382
2015-01-12 59.669998 59.689999 58.189999 59.369999 2729500 56.896948
2015-01-13 59.380001 61.419998 59.080002 61 2782600 58.459052
2015-01-14 60.349998 61.349998 59.150002 61.23 3192400 58.679471
2015-01-15 61.23 62.5 60.119999 60.18 2078000 57.673209
2015-01-16 60.849998 63.689999 60.700001 63.470001 2019500 60.826166
2015-01-20 63.450001 63.450001 60.84 61.830002 1731700 59.25448
2015-01-21 62.619999 64 62.029999 63.919998 1755100 61.257418
