"Index" "USD.KRW"
2015-06-22 1100.355
2015-06-23 1104.85
2015-06-24 1109.14
2015-06-25 1111.05
2015-06-26 1118.445
2015-06-27 1123.025
2015-06-28 1125.18
2015-06-29 1128.225
2015-06-30 1118.255
2015-07-01 1122.085
2015-07-02 1123.345
2015-07-03 1122.275
2015-07-04 1123
2015-07-05 1123.85
2015-07-06 1128.29
2015-07-07 1131.86
2015-07-08 1135.395
2015-07-09 1133.72
2015-07-10 1129.37
2015-07-11 1131.795
2015-07-12 1137.205
2015-07-13 1134.11
2015-07-14 1140.965
2015-07-15 1144.235
2015-07-16 1147.385
2015-07-17 1147.775
2015-07-18 1150.42
2015-07-19 1149.625
2015-07-20 1153.605
2015-07-21 1154.205
2015-07-22 1153.47
2015-07-23 1160.97
2015-07-24 1168.365
2015-07-25 1171.375
2015-07-26 1171.235
2015-07-27 1168.705
2015-07-28 1164.685
2015-07-29 1158.885
2015-07-30 1169.73
2015-07-31 1168.225
2015-08-01 1167
2015-08-02 1167
2015-08-03 1168.365
2015-08-04 1166.455
2015-08-05 1172.265
2015-08-06 1167.68
2015-08-07 1165.095
2015-08-08 1164.685
2015-08-09 1164.685
2015-08-10 1163.47
2015-08-11 1175.23
2015-08-12 1181.125
2015-08-13 1176.405
2015-08-14 1178.48
2015-08-15 1179.595
2015-08-16 1179.455
2015-08-17 1182.385
2015-08-18 1184.485
2015-08-19 1185.115
2015-08-20 1186.735
2015-08-21 1192.32
2015-08-22 1196.315
2015-08-23 1196.46
2015-08-24 1195.745
2015-08-25 1188.71
2015-08-26 1187.86
2015-08-27 1179.94
2015-08-28 1177.235
2015-08-29 1180.29
2015-08-30 1180.29
2015-08-31 1180.36
2015-09-01 1178.065
2015-09-02 1181.685
2015-09-03 1188.85
2015-09-04 1193.605
2015-09-05 1201.92
2015-09-06 1201.42
2015-09-07 1202.865
2015-09-08 1199.255
2015-09-09 1190.975
2015-09-10 1189.275
2015-09-11 1183.5
2015-09-12 1182.66
2015-09-13 1182.66
2015-09-14 1182.105
2015-09-15 1181.405
2015-09-16 1175.435
2015-09-17 1167.135
2015-09-18 1165.775
2015-09-19 1173.295
2015-09-20 1173.71
2015-09-21 1176.545
2015-09-22 1181.825
2015-09-23 1190.265
2015-09-24 1194.245
2015-09-25 1192.25
2015-09-26 1193.39
2015-09-27 1193.675
2015-09-28 1194.455
2015-09-29 1196.315
2015-09-30 1187.72
2015-10-01 1179.455
2015-10-02 1179.595
2015-10-03 1172.885
2015-10-04 1172.745
2015-10-05 1166.25
2015-10-06 1164.685
2015-10-07 1158.21
2015-10-08 1158.48
2015-10-09 1148.305
2015-10-10 1147.975
2015-10-11 1147.845
2015-10-12 1144.56
2015-10-13 1148.24
2015-10-14 1145.475
2015-10-15 1128.035
2015-10-16 1129.435
2015-10-17 1131.675
2015-10-18 1130.97
2015-10-19 1128.735
2015-10-20 1130.33
2015-10-21 1135.46
2015-10-22 1135.915
2015-10-23 1129.75
2015-10-24 1136.045
2015-10-25 1137.98
2015-10-26 1133.08
2015-10-27 1133.34
2015-10-28 1133.34
2015-10-29 1143.705
2015-10-30 1143.705
2015-10-31 1141.425
2015-11-01 1140.055
